kolejka,gospodarz,gosc,gole_gosp,gole_gosc,wynik_1x2,lambda_home,lambda_away,p_home_log,p_draw_log,p_away_log,log_loss_log,log_loss_base
1,Jagiellonia Białystok,Bruk-Bet Termalica Nieciecza,0,4,A,2.1569037030765394,0.8375283857474379,0.6762,0.1906,0.1332,2.0158,2.0158
1,Lech Poznań,Cracovia,1,4,A,1.6274031861919598,0.9633744592588591,0.5292,0.2474,0.2234,1.4989,1.4989
1,Widzew Łódź,Zagłębie Lubin,1,0,H,1.4336241259805356,1.0561048896176357,0.4572,0.2648,0.278,0.7827,0.7827
1,Wisła Płock,Korona Kielce,2,0,H,1.0556317637136527,1.0987014374121593,0.3416,0.2949,0.3635,1.0741,1.0741
1,GKS Katowice,Raków Częstochowa,0,1,A,1.089749762386281,1.254814739038145,0.32,0.2793,0.4008,0.9144,0.9144
1,Górnik Zabrze,Lechia Gdańsk,2,1,H,1.7385788087548146,1.0600336714528171,0.5327,0.2367,0.2306,0.6298,0.6298
1,Motor Lublin,Arka Gdynia,1,0,H,1.6876987761551903,0.9673445127784246,0.543,0.2413,0.2157,0.6107,0.6107
1,Legia Warszawa,Piast Gliwice,0,1,A,1.6212431120712074,0.9534628621132245,0.5301,0.2481,0.2218,1.5059,1.5059
1,Radomiak Radom,Pogoń Szczecin,5,1,H,1.2141988188747206,1.4741133993996585,0.312,0.2563,0.4317,1.1647,1.1647
2,Arka Gdynia,Radomiak Radom,1,1,D,1.1316936090833905,1.1123821266091054,0.3609,0.2879,0.3512,1.2453,1.2453
2,Lechia Gdańsk,Lech Poznań,3,4,A,1.1994022739720398,1.6021465487122193,0.2858,0.247,0.4672,0.7609,0.7609
2,Pogoń Szczecin,Motor Lublin,4,1,H,1.9435099386700192,1.0911171370842294,0.572,0.2187,0.2093,0.5587,0.5587
2,Korona Kielce,Legia Warszawa,0,2,A,1.228265883300119,1.4174466392317824,0.3261,0.2599,0.414,0.8819,0.8819
2,Cracovia,Bruk-Bet Termalica Nieciecza,2,0,H,1.344894892623841,1.0336818296585528,0.4385,0.2739,0.2876,0.8244,0.8244
