kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away
1,Lech Poznań,Cracovia,612,1,4,5,A,1,1,1,1,1,2.1715,1.0401,3.2116,0.6313,0.1976,0.1711,H,0,1.7655,0.5729,0.0403,0.1697,0.3775,0.6,0.9597,0.8303,0.6225,0.4,1.1715,2.9599
1,Widzew Łódź,Zagłębie Lubin,612,1,0,1,H,0,1,0,0,0,1.4555,0.9648,2.4203,0.4848,0.265,0.2502,H,1,0.724,0.4745,0.0889,0.3041,0.5644,0.7745,0.9111,0.6959,0.4356,0.2255,0.4555,0.9648
1,GKS Katowice,Raków Częstochowa,612,0,1,1,A,0,1,0,0,0,1.0239,1.3036,2.3275,0.2924,0.2782,0.4294,A,1,0.8454,0.4668,0.0975,0.3246,0.5888,0.7937,0.9025,0.6754,0.4112,0.2063,1.0239,0.3036
1,Górnik Zabrze,Lechia Gdańsk,612,2,1,3,H,1,1,1,1,0,1.7997,0.98,2.7797,0.5663,0.2304,0.2034,H,1,0.5687,0.5214,0.0621,0.2346,0.4743,0.6965,0.9379,0.7654,0.5257,0.3035,0.2003,0.02
1,Legia Warszawa,Piast Gliwice,612,0,1,1,A,0,1,0,0,0,1.4256,0.8807,2.3063,0.4977,0.2699,0.2324,H,0,1.4592,0.4448,0.0996,0.3294,0.5944,0.7981,0.9004,0.6706,0.4056,0.2019,1.4256,0.1193
1,Radomiak Radom,Pogoń Szczecin,612,5,1,6,H,1,1,1,1,1,1.3119,1.7464,3.0583,0.2888,0.2344,0.4769,A,0,1.2421,0.6033,0.047,0.1906,0.4103,0.6342,0.953,0.8094,0.5897,0.3658,3.6881,0.7464
2,Arka Gdynia,Radomiak Radom,621,1,1,2,D,1,1,1,0,0,0.0,0.7699,0.7699,0.0,0.4631,0.5369,A,0,0.7699,0.0,0.4631,0.8196,0.9568,0.992,0.5369,0.1804,0.0432,0.008,1.0,0.2301
2,Lechia Gdańsk,Lech Poznań,621,3,4,7,A,1,1,1,1,1,1.215,1.8856,3.1006,0.2448,0.2247,0.5305,A,1,0.6339,0.5966,0.045,0.1846,0.4011,0.6247,0.955,0.8154,0.5989,0.3753,1.785,2.1144
2,Pogoń Szczecin,Motor Lublin,621,4,1,5,H,1,1,1,1,1,2.4197,1.1648,3.5845,0.6503,0.1818,0.1679,H,1,0.4304,0.6268,0.0278,0.1273,0.3056,0.5186,0.9722,0.8727,0.6944,0.4814,1.5803,0.1648
2,Korona Kielce,Legia Warszawa,621,0,2,2,A,0,1,1,0,0,1.1785,1.3467,2.5252,0.3265,0.2673,0.4062,A,1,0.9009,0.5122,0.08,0.2822,0.5374,0.7522,0.92,0.7178,0.4626,0.2478,1.1785,0.6533
2,Cracovia,Bruk-Bet Termalica Nieciecza,621,2,0,2,H,0,1,1,0,0,0.0,4.5442,4.5442,0.0,0.0108,0.9892,A,0,21.0803,0.0,0.0108,0.06,0.1718,0.3411,0.9892,0.94,0.8282,0.6589,2.0,4.5442
2,GKS Katowice,Zagłębie Lubin,621,2,2,4,D,1,1,1,1,1,1.6974,0.9106,2.608,0.5594,0.2399,0.2007,H,0,1.4275,0.4882,0.0737,0.2659,0.5164,0.7343,0.9263,0.7341,0.4836,0.2657,0.3026,1.0894
2,Raków Częstochowa,Wisła Płock,621,1,2,3,A,1,1,1,1,0,0.0,0.9785,0.9785,0.0,0.3759,0.6241,A,1,0.4714,0.0,0.3759,0.7437,0.9236,0.9823,0.6241,0.2563,0.0764,0.0177,1.0,1.0215
2,Jagiellonia Białystok,Widzew Łódź,621,3,2,5,H,1,1,1,1,1,2.1175,0.9756,3.0931,0.6357,0.2002,0.1642,H,1,0.4531,0.5481,0.0454,0.1857,0.4027,0.6264,0.9546,0.8143,0.5973,0.3736,0.8825,1.0244
2,Piast Gliwice,Górnik Zabrze,621,0,1,1,A,0,1,0,0,0,1.0441,0.816,1.8601,0.4017,0.3193,0.279,H,0,1.2766,0.3614,0.1557,0.4452,0.7145,0.8815,0.8443,0.5548,0.2855,0.1185,1.0441,0.184
3,Wisła Płock,Piast Gliwice,630,2,0,2,H,0,1,1,0,0,2.0572,0.3524,2.4096,0.7797,0.1678,0.0525,H,1,0.2489,0.2591,0.0899,0.3064,0.5672,0.7767,0.9101,0.6936,0.4328,0.2233,0.0572,0.3524
3,Bruk-Bet Termalica Nieciecza,Pogoń Szczecin,630,1,1,2,D,1,1,1,0,0,2.3308,0.7666,3.0974,0.7243,0.17,0.1057,H,0,1.7722,0.4834,0.0452,0.1851,0.4018,0.6255,0.9548,0.8149,0.5982,0.3745,1.3308,0.2334
3,Legia Warszawa,Arka Gdynia,630,0,0,0,D,0,0,0,0,0,1.2857,0.3284,1.6141,0.6137,0.2924,0.0939,H,0,1.2295,0.2025,0.1991,0.5204,0.7797,0.9192,0.8009,0.4796,0.2203,0.0808,1.2857,0.3284
3,Motor Lublin,Jagiellonia Białystok,630,1,1,2,D,1,1,1,0,0,1.6077,2.0794,3.6871,0.3008,0.211,0.4882,A,0,1.556,0.6997,0.025,0.1174,0.2877,0.4969,0.975,0.8826,0.7123,0.5031,0.6077,1.0794
3,Zagłębie Lubin,Korona Kielce,630,1,1,2,D,1,1,1,0,0,1.149,1.0042,2.1532,0.3897,0.2941,0.3162,H,0,1.224,0.4328,0.1161,0.3661,0.6353,0.8285,0.8839,0.6339,0.3647,0.1715,0.149,0.0042
3,Radomiak Radom,Raków Częstochowa,630,3,1,4,H,1,1,1,1,1,0.9982,1.5142,2.5124,0.2495,0.2585,0.4921,A,0,1.3884,0.4925,0.0811,0.2848,0.5406,0.7549,0.9189,0.7152,0.4594,0.2451,2.0018,0.5142
3,Cracovia,Lechia Gdańsk,630,2,2,4,D,1,1,1,1,1,2.4546,1.2568,3.7114,0.6367,0.1823,0.181,H,0,1.7018,0.654,0.0244,0.1152,0.2836,0.4919,0.9756,0.8848,0.7164,0.5081,0.4546,0.7432
3,Lech Poznań,Górnik Zabrze,630,2,1,3,H,1,1,1,1,0,1.6583,0.9423,2.6006,0.542,0.2442,0.2138,H,1,0.6124,0.494,0.0742,0.2673,0.5183,0.7359,0.9258,0.7327,0.4817,0.2641,0.3417,0.0577
3,Widzew Łódź,GKS Katowice,630,3,0,3,H,0,1,1,1,0,1.374,1.2584,2.6324,0.3962,0.2615,0.3423,H,1,0.9259,0.5347,0.0719,0.2612,0.5103,0.7289,0.9281,0.7388,0.4897,0.2711,1.626,1.2584
4,Arka Gdynia,Pogoń Szczecin,639,2,1,3,H,1,1,1,1,0,0.321,0.6431,0.9641,0.1589,0.4642,0.3769,D,0,1.8395,0.1302,0.3813,0.749,0.9262,0.9831,0.6187,0.251,0.0738,0.0169,1.679,0.3569
4,Legia Warszawa,GKS Katowice,639,3,1,4,H,1,1,1,1,1,1.9248,1.0779,3.0027,0.571,0.2202,0.2089,H,1,0.5604,0.5634,0.0497,0.1988,0.4226,0.6467,0.9503,0.8012,0.5774,0.3533,1.0752,0.0779
4,Lechia Gdańsk,Motor Lublin,639,3,3,6,D,1,1,1,1,1,2.0008,1.6014,3.6022,0.4728,0.2152,0.312,H,0,1.5362,0.6904,0.0273,0.1255,0.3024,0.5148,0.9727,0.8745,0.6976,0.4852,0.9992,1.3986
4,Górnik Zabrze,Bruk-Bet Termalica Nieciecza,639,0,1,1,A,0,1,0,0,0,0.7935,1.2943,2.0878,0.2287,0.2879,0.4833,A,1,0.727,0.3976,0.124,0.3828,0.6529,0.8409,0.876,0.6172,0.3471,0.1591,0.7935,0.2943
4,Korona Kielce,Radomiak Radom,639,3,0,3,H,0,1,1,1,0,1.402,1.2334,2.6354,0.4088,0.2607,0.3304,H,1,0.8944,0.5343,0.0717,0.2606,0.5096,0.7283,0.9283,0.7394,0.4904,0.2717,1.598,1.2334
4,Raków Częstochowa,Zagłębie Lubin,639,0,1,1,A,0,1,0,0,0,1.793,0.6098,2.4028,0.6597,0.2199,0.1204,H,0,2.117,0.3805,0.0905,0.3079,0.569,0.7782,0.9095,0.6921,0.431,0.2218,1.793,0.3902
4,Jagiellonia Białystok,Cracovia,639,5,2,7,H,1,1,1,1,1,2.1792,1.4386,3.6178,0.5443,0.2051,0.2507,H,1,0.6083,0.6765,0.0268,0.124,0.2996,0.5115,0.9732,0.876,0.7004,0.4885,2.8208,0.5614
4,Piast Gliwice,Lech Poznań,639,1,0,1,H,0,1,0,0,0,1.0004,1.1366,2.137,0.3176,0.2955,0.3869,A,0,1.1471,0.4294,0.118,0.3702,0.6396,0.8316,0.882,0.6298,0.3604,0.1684,0.0004,1.1366
4,Widzew Łódź,Wisła Płock,639,1,1,2,D,1,1,1,0,0,0.3962,2.1251,2.5213,0.0567,0.1637,0.7797,A,0,1.8099,0.2881,0.0804,0.283,0.5384,0.7531,0.9196,0.717,0.4616,0.2469,0.6038,1.1251
5,Wisła Płock,Legia Warszawa,648,1,0,1,H,0,1,0,0,0,2.169,0.5762,2.7452,0.7421,0.1734,0.0846,H,1,0.2983,0.3879,0.0642,0.2406,0.4827,0.7042,0.9358,0.7594,0.5173,0.2958,1.169,0.5762
5,Bruk-Bet Termalica Nieciecza,Raków Częstochowa,648,2,3,5,A,1,1,1,1,1,1.2458,0.5324,1.7782,0.5403,0.301,0.1587,H,0,1.8408,0.2941,0.1689,0.4693,0.7364,0.8948,0.8311,0.5307,0.2636,0.1052,0.7542,2.4676
5,Motor Lublin,Piast Gliwice,648,0,0,0,D,0,0,0,0,0,1.182,1.1397,2.3217,0.3694,0.282,0.3486,H,0,1.2657,0.4715,0.0981,0.3259,0.5903,0.7949,0.9019,0.6741,0.4097,0.2051,1.182,1.1397
5,Zagłębie Lubin,Lechia Gdańsk,648,6,2,8,H,1,1,1,1,1,1.6338,1.297,2.9308,0.4533,0.2424,0.3043,H,1,0.7913,0.5848,0.0534,0.2097,0.4389,0.6627,0.9466,0.7903,0.5611,0.3373,4.3662,0.703
5,Radomiak Radom,Jagiellonia Białystok,648,1,2,3,A,1,1,1,1,0,1.6776,1.9246,3.6022,0.3413,0.2177,0.441,A,1,0.8186,0.6945,0.0273,0.1255,0.3024,0.5148,0.9727,0.8745,0.6976,0.4852,0.6776,0.0754
5,Pogoń Szczecin,Górnik Zabrze,648,0,3,3,A,0,1,1,1,0,1.6488,1.012,2.6608,0.5226,0.2452,0.2322,H,0,1.4602,0.5141,0.0699,0.2559,0.5033,0.7227,0.9301,0.7441,0.4967,0.2773,1.6488,1.988
5,Cracovia,Widzew Łódź,648,1,0,1,H,0,1,0,0,0,1.8613,1.1879,3.0492,0.5312,0.2265,0.2423,H,1,0.6326,0.5871,0.0474,0.1919,0.4123,0.6362,0.9526,0.8081,0.5877,0.3638,0.8613,1.1879
5,GKS Katowice,Arka Gdynia,648,4,1,5,H,1,1,1,1,1,0.7384,0.6605,1.3989,0.332,0.3828,0.2852,D,0,1.1025,0.2524,0.2469,0.5922,0.8338,0.9464,0.7531,0.4078,0.1662,0.0536,3.2616,0.3395
5,Lech Poznań,Korona Kielce,648,1,1,2,D,1,1,1,0,0,1.8415,0.8073,2.6488,0.6188,0.2221,0.1592,H,0,1.5047,0.4661,0.0707,0.2581,0.5063,0.7254,0.9293,0.7419,0.4937,0.2746,0.8415,0.1927
