kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,rho,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away,jest_beniaminek,ben_druzyna,n_mecze_ben,waga_priora
1,Jagiellonia Białystok,Bruk-Bet Termalica Nieciecza,612,0,4,4,A,0,1,1,1,1,2.2682,0.8369,3.1051,-0.0426,0.6933,0.1872,0.1195,H,0,2.1244,0.5083,0.0485,0.1804,0.4001,0.6238,0.9515,0.8196,0.5999,0.3762,2.2682,3.1631,1,Bruk-Bet Termalica Nieciecza,0.0,1.0
1,Lech Poznań,Cracovia,612,1,4,5,A,1,1,1,1,1,2.1757,1.0432,3.2189,-0.0426,0.6276,0.2051,0.1674,H,0,1.7876,0.5742,0.0439,0.1649,0.376,0.5984,0.9561,0.8351,0.624,0.4016,1.1757,2.9568,0,,,
1,Widzew Łódź,Zagłębie Lubin,612,1,0,1,H,0,1,0,0,0,1.4467,0.9604,2.4071,-0.0426,0.4782,0.2767,0.2451,H,1,0.7377,0.472,0.0954,0.3016,0.5679,0.7772,0.9046,0.6984,0.4321,0.2228,0.4467,0.9604,0,,,
1,Wisła Płock,Korona Kielce,612,2,0,2,H,0,1,1,0,0,1.0975,1.0467,2.1442,-0.0426,0.3594,0.3072,0.3335,H,1,1.0235,0.4324,0.1229,0.3626,0.6377,0.8302,0.8771,0.6374,0.3623,0.1698,0.9025,1.0467,1,Wisła Płock,0.0,1.0
1,GKS Katowice,Raków Częstochowa,612,0,1,1,A,0,1,0,0,0,1.023,1.3056,2.3286,-0.0426,0.2862,0.2891,0.4246,A,1,0.8566,0.4669,0.103,0.3188,0.5885,0.7935,0.897,0.6812,0.4115,0.2065,1.023,0.3056,0,,,
1,Górnik Zabrze,Lechia Gdańsk,612,2,1,3,H,1,1,1,1,0,1.7919,0.9802,2.7721,-0.0426,0.5597,0.2405,0.1998,H,1,0.5803,0.5207,0.0672,0.2312,0.4761,0.6981,0.9328,0.7688,0.5239,0.3019,0.2081,0.0198,0,,,
1,Motor Lublin,Arka Gdynia,612,1,0,1,H,0,1,0,0,0,1.7543,1.1102,2.8645,-0.0426,0.5198,0.2448,0.2354,H,1,0.6543,0.5545,0.0618,0.2156,0.4542,0.6776,0.9382,0.7844,0.5458,0.3224,0.7543,1.1102,1,Arka Gdynia,0.0,1.0
1,Legia Warszawa,Piast Gliwice,612,0,1,1,A,0,1,0,0,0,1.4278,0.8827,2.3105,-0.0426,0.4924,0.2803,0.2273,H,0,1.4816,0.4457,0.1045,0.3231,0.5932,0.7972,0.8955,0.6769,0.4068,0.2028,1.4278,0.1173,0,,,
1,Radomiak Radom,Pogoń Szczecin,612,5,1,6,H,1,1,1,1,1,1.306,1.7441,3.0501,-0.0426,0.2832,0.2438,0.473,A,0,1.2617,0.6017,0.052,0.1872,0.4121,0.636,0.948,0.8128,0.5879,0.364,3.694,0.7441,0,,,
2,Arka Gdynia,Radomiak Radom,621,1,1,2,D,1,1,1,0,0,0.7518,0.4805,1.2323,-0.0249,0.3789,0.4121,0.209,D,1,0.8865,0.2016,0.2942,0.6483,0.8724,0.9634,0.7058,0.3517,0.1276,0.0366,0.2482,0.5195,1,Arka Gdynia,1.0,0.9091
2,Lechia Gdańsk,Lech Poznań,621,3,4,7,A,1,1,1,1,1,1.2175,1.8837,3.1012,-0.0249,0.2431,0.2299,0.527,A,1,0.6406,0.597,0.0476,0.182,0.4009,0.6246,0.9524,0.818,0.5991,0.3754,1.7825,2.1163,0,,,
2,Pogoń Szczecin,Motor Lublin,621,4,1,5,H,1,1,1,1,1,2.4171,1.1641,3.5812,-0.0249,0.648,0.1859,0.1661,H,1,0.4339,0.6265,0.0298,0.1256,0.3062,0.5193,0.9702,0.8744,0.6938,0.4807,1.5829,0.1641,0,,,
2,Korona Kielce,Legia Warszawa,621,0,2,2,A,0,1,1,0,0,1.1801,1.346,2.5261,-0.0249,0.3239,0.2736,0.4025,A,1,0.9101,0.5125,0.0831,0.2788,0.5371,0.752,0.9169,0.7212,0.4629,0.248,1.1801,0.654,0,,,
2,Cracovia,Bruk-Bet Termalica Nieciecza,621,2,0,2,H,0,1,1,0,0,0.61,0.9544,1.5644,-0.0249,0.2233,0.356,0.4207,A,0,1.4994,0.2808,0.2123,0.5335,0.7925,0.926,0.7877,0.4665,0.2075,0.074,1.39,0.9544,1,Bruk-Bet Termalica Nieciecza,1.0,0.9091
2,GKS Katowice,Zagłębie Lubin,621,2,2,4,D,1,1,1,1,1,1.6922,0.9089,2.6011,-0.0249,0.5557,0.2461,0.1982,H,0,1.4019,0.4871,0.077,0.2643,0.5181,0.7358,0.923,0.7357,0.4819,0.2642,0.3078,1.0911,0,,,
2,Raków Częstochowa,Wisła Płock,621,1,2,3,A,1,1,1,1,0,0.5504,0.3917,0.9421,-0.0249,0.313,0.4827,0.2043,D,0,1.5879,0.1372,0.3919,0.7549,0.93,0.9844,0.6081,0.2451,0.07,0.0156,0.4496,1.6083,1,Wisła Płock,1.0,0.9091
2,Jagiellonia Białystok,Widzew Łódź,621,3,2,5,H,1,1,1,1,1,2.1154,0.9728,3.0882,-0.0249,0.6336,0.2049,0.1615,H,1,0.4564,0.547,0.0479,0.184,0.4038,0.6275,0.9521,0.816,0.5962,0.3725,0.8846,1.0272,0,,,
2,Piast Gliwice,Górnik Zabrze,621,0,1,1,A,0,1,0,0,0,1.0447,0.8166,1.8613,-0.0249,0.3984,0.3258,0.2757,H,0,1.2883,0.3618,0.1588,0.4415,0.7141,0.8812,0.8412,0.5585,0.2859,0.1188,1.0447,0.1834,0,,,
3,Wisła Płock,Piast Gliwice,630,2,0,2,H,0,1,1,0,0,1.0449,0.8224,1.8673,-0.0193,0.3979,0.3239,0.2783,H,1,0.9217,0.3634,0.1571,0.4405,0.7125,0.8802,0.8429,0.5595,0.2875,0.1198,0.9551,0.8224,1,Wisła Płock,2.0,0.8333
3,Bruk-Bet Termalica Nieciecza,Pogoń Szczecin,630,1,1,2,D,1,1,1,0,0,1.2721,1.3846,2.6567,-0.0193,0.3415,0.2649,0.3936,A,0,1.3284,0.5395,0.0726,0.2542,0.5043,0.7236,0.9274,0.7458,0.4957,0.2764,0.2721,0.3846,1,Bruk-Bet Termalica Nieciecza,2.0,0.8333
3,Legia Warszawa,Arka Gdynia,630,0,0,0,D,0,0,0,0,0,1.7339,0.7319,2.4658,-0.0193,0.6118,0.2363,0.1519,H,0,1.4426,0.4274,0.087,0.2923,0.5526,0.7649,0.913,0.7077,0.4474,0.2351,1.7339,0.7319,1,Arka Gdynia,2.0,0.8333
3,Motor Lublin,Jagiellonia Białystok,630,1,1,2,D,1,1,1,0,0,1.6055,2.078,3.6835,-0.0193,0.2989,0.2143,0.4868,A,0,1.5403,0.6992,0.0268,0.1161,0.2883,0.4976,0.9732,0.8839,0.7117,0.5024,0.6055,1.078,0,,,
3,Zagłębie Lubin,Korona Kielce,630,1,1,2,D,1,1,1,0,0,1.1476,1.0031,2.1507,-0.0193,0.387,0.2994,0.3136,H,0,1.2058,0.4323,0.119,0.3642,0.636,0.829,0.881,0.6358,0.364,0.171,0.1476,0.0031,0,,,
3,Radomiak Radom,Raków Częstochowa,630,3,1,4,H,1,1,1,1,1,0.996,1.5148,2.5108,-0.0193,0.2464,0.2632,0.4904,A,0,1.4007,0.492,0.0836,0.2827,0.5411,0.7553,0.9164,0.7173,0.4589,0.2447,2.004,0.5148,0,,,
3,Cracovia,Lechia Gdańsk,630,2,2,4,D,1,1,1,1,1,2.4524,1.258,3.7104,-0.0193,0.6346,0.1855,0.1799,H,0,1.6849,0.6542,0.0259,0.1138,0.2838,0.4921,0.9741,0.8862,0.7162,0.5079,0.4524,0.742,0,,,
3,Lech Poznań,Górnik Zabrze,630,2,1,3,H,1,1,1,1,0,1.6584,0.9428,2.6012,-0.0193,0.5397,0.2487,0.2116,H,1,0.6168,0.4942,0.0764,0.2649,0.5181,0.7357,0.9236,0.7351,0.4819,0.2643,0.3416,0.0572,0,,,
3,Widzew Łódź,GKS Katowice,630,3,0,3,H,0,1,1,1,0,1.3744,1.2575,2.6319,-0.0193,0.3941,0.2663,0.3396,H,1,0.9312,0.5346,0.0743,0.2589,0.5104,0.729,0.9257,0.7411,0.4896,0.271,1.6256,1.2575,0,,,
