kolejka,gospodarz,gosc,wynik_1x2,p_home,p_draw,p_away,log_loss
1,Lech Poznań,Cracovia,A,0.5292005125154158,0.24741610121599641,0.22338338626858795,1.4988657627552942
1,Widzew Łódź,Zagłębie Lubin,H,0.45716335849988193,0.2648168221702087,0.27801981932990955,0.7827144935367247
1,GKS Katowice,Raków Częstochowa,A,0.3199676662243033,0.2792647415726876,0.400767592203009,0.9143735902575719
1,Górnik Zabrze,Lechia Gdańsk,H,0.5326798742209876,0.23673677124077558,0.23058335453823664,0.6298346464731219
1,Legia Warszawa,Piast Gliwice,A,0.5301466768196751,0.24804566623611662,0.22180765694420826,1.5059446828213015
1,Radomiak Radom,Pogoń Szczecin,H,0.31201756172331246,0.25628745211626375,0.4316949861604237,1.1646958051820213
2,Arka Gdynia,Radomiak Radom,D,0.15650288609848836,0.27708322309564987,0.5664138908058618,1.2834373735305482
2,Lechia Gdańsk,Lech Poznań,A,0.28582836994816163,0.24695562863994414,0.4672160014118942,0.7609635984572476
2,Pogoń Szczecin,Motor Lublin,H,0.5720120624025522,0.2187256250570302,0.2092623125404176,0.5585951997083404
2,Korona Kielce,Legia Warszawa,A,0.3261688851696434,0.2598694238457541,0.4139616909846025,0.8819818432919609
2,Cracovia,Bruk-Bet Termalica Nieciecza,H,0.07489501033787288,0.1437461012708181,0.7813588883913091,2.591668008329915
2,GKS Katowice,Zagłębie Lubin,D,0.47863277791487063,0.2518119644378979,0.2695552576472315,1.3790726428617317
2,Raków Częstochowa,Wisła Płock,A,0.034702085737561235,0.21185400888906256,0.7534439053733764,0.2831007091103067
2,Jagiellonia Białystok,Widzew Łódź,H,0.617889603870714,0.20691413068689848,0.17519626544238742,0.48144547199489907
2,Piast Gliwice,Górnik Zabrze,A,0.39538719568991737,0.2946757118246268,0.30993709248545565,1.1713859295617814
3,Wisła Płock,Piast Gliwice,H,0.8759471733577867,0.09636001354426019,0.027692813097953052,0.13244949425021643
