window,eta_form,k_form,cap_form,log_loss_val,accuracy_val
10,0.25,3,1.25,1.0319182364720738,0.4738562091503268
10,0.25,5,1.25,1.0319521449872466,0.47058823529411764
10,0.25,8,1.25,1.032023880267659,0.47058823529411764
10,0.5,8,1.25,1.0320326589789321,0.47058823529411764
10,0.25,5,1.35,1.0320344201423648,0.4673202614379085
10,0.25,3,1.35,1.032047313592364,0.47058823529411764
10,0.25,8,1.35,1.0320691272612956,0.47058823529411764
10,0.5,5,1.25,1.032285276219975,0.47058823529411764
10,0.25,8,1.5,1.032335807586839,0.47058823529411764
10,0.25,5,1.5,1.03237658861365,0.4673202614379085
10,0.5,8,1.35,1.032385930281666,0.47058823529411764
10,0.25,3,1.5,1.0324710697343713,0.4673202614379085
10,0.5,3,1.25,1.0326719222626999,0.47058823529411764
10,0.5,5,1.35,1.032841033741117,0.4738562091503268
10,0.75,8,1.25,1.0328875163256768,0.477124183006536
10,0.5,8,1.5,1.033133300401569,0.47058823529411764
3,0.25,8,1.25,1.0331929526197285,0.46405228758169936
3,0.25,8,1.5,1.0333205158756942,0.4673202614379085
5,0.25,8,1.25,1.0333868801751143,0.46078431372549017
3,0.25,8,1.35,1.0333954675244093,0.4673202614379085
3,0.25,5,1.25,1.0334072831804895,0.4673202614379085
5,0.25,8,1.35,1.0334480546276454,0.46405228758169936
5,0.25,8,1.5,1.0334658622190964,0.46405228758169936
10,0.5,3,1.35,1.0334728127977415,0.48366013071895425
8,0.25,8,1.35,1.0335521826934855,0.46405228758169936
5,0.25,5,1.25,1.0336436816766144,0.46078431372549017
3,0.25,5,1.5,1.033689746030751,0.47058823529411764
8,0.25,8,1.5,1.033710134872689,0.46405228758169936
3,0.25,5,1.35,1.0337322442658836,0.4673202614379085
3,0.25,3,1.25,1.0337351141213031,0.47058823529411764
5,0.25,5,1.35,1.0337723903489562,0.46078431372549017
8,0.25,8,1.25,1.0338018622575367,0.46405228758169936
10,0.75,8,1.35,1.0338158451062558,0.48366013071895425
5,0.25,5,1.5,1.0338456546794033,0.46078431372549017
8,0.25,5,1.35,1.0338471452825986,0.46405228758169936
10,0.5,5,1.5,1.0338477129845889,0.4738562091503268
10,0.75,5,1.25,1.0338651154119327,0.477124183006536
3,0.5,8,1.25,1.03387405421251,0.4673202614379085
5,0.25,3,1.25,1.033974866525853,0.45751633986928103
8,0.25,5,1.5,1.0340708154708398,0.46405228758169936
8,0.25,5,1.25,1.0341185083296416,0.46405228758169936
8,0.25,3,1.35,1.0341885153893327,0.46405228758169936
5,0.25,3,1.35,1.034204654876677,0.45751633986928103
3,0.25,3,1.35,1.0342451047036259,0.46405228758169936
3,0.25,3,1.5,1.0342883495069377,0.46405228758169936
5,0.25,3,1.5,1.034367317372259,0.4542483660130719
5,0.5,8,1.25,1.0344377708144228,0.4542483660130719
3,0.5,8,1.35,1.0344576898562747,0.46405228758169936
8,0.25,3,1.25,1.0344641477413246,0.46405228758169936
8,0.25,3,1.5,1.0344913143913028,0.46078431372549017
3,0.5,8,1.5,1.0345359074648066,0.4673202614379085
10,1.0,8,1.25,1.0345965954035439,0.4738562091503268
3,0.5,5,1.25,1.0346098609756218,0.4673202614379085
10,0.5,3,1.5,1.034773649396341,0.48366013071895425
5,0.5,8,1.35,1.0348039525124055,0.4542483660130719
3,0.75,8,1.25,1.0348981669136987,0.4673202614379085
5,0.5,8,1.5,1.0350825040927303,0.4542483660130719
10,0.75,3,1.25,1.0351320499118355,0.47058823529411764
8,0.5,8,1.35,1.0352480320486876,0.4673202614379085
10,0.75,8,1.5,1.035264815708981,0.48366013071895425
10,0.75,5,1.35,1.0352929963297588,0.4803921568627451
5,0.5,5,1.25,1.0353164595690143,0.4542483660130719
8,0.5,8,1.25,1.0354882746755791,0.4673202614379085
3,0.5,5,1.35,1.035598488575826,0.4673202614379085
3,0.5,3,1.25,1.035775436852309,0.4673202614379085
8,0.5,8,1.5,1.0357814773272938,0.47058823529411764
3,0.5,5,1.5,1.0359456412476404,0.4673202614379085
5,0.5,5,1.35,1.035989545258108,0.46405228758169936
5,0.75,8,1.25,1.0360082878707821,0.46078431372549017
3,0.75,8,1.35,1.036041601602089,0.4673202614379085
3,1.0,8,1.25,1.0362653667902573,0.4673202614379085
10,1.0,8,1.35,1.0363732235052394,0.4738562091503268
8,0.5,5,1.35,1.0363791685110741,0.4738562091503268
3,0.75,5,1.25,1.0364626601125178,0.4673202614379085
5,0.5,3,1.25,1.0364912770432735,0.46405228758169936
3,0.75,8,1.5,1.036500670823729,0.4673202614379085
8,0.5,5,1.25,1.0365205675040867,0.4673202614379085
5,0.5,5,1.5,1.03655044265439,0.4673202614379085
10,1.0,5,1.25,1.0367065921040544,0.4738562091503268
5,0.75,8,1.35,1.036923513018342,0.46405228758169936
10,0.75,3,1.35,1.0371585104282566,0.4738562091503268
8,0.5,5,1.5,1.0371655797590194,0.4738562091503268
10,0.75,5,1.5,1.0372985908224308,0.4803921568627451
3,0.5,3,1.35,1.037400435806206,0.46078431372549017
5,0.5,3,1.35,1.0376083861426133,0.46405228758169936
8,0.5,3,1.25,1.0376968478994377,0.47058823529411764
5,0.75,8,1.5,1.0377056429310243,0.4673202614379085
8,0.5,3,1.35,1.0377224805342085,0.4738562091503268
5,0.75,5,1.25,1.0378751034094371,0.46405228758169936
8,0.75,8,1.25,1.0379194302237096,0.47058823529411764
8,0.75,8,1.35,1.0379494508234421,0.4738562091503268
5,1.0,8,1.25,1.038099659569263,0.46405228758169936
3,1.0,8,1.35,1.038147701446552,0.45751633986928103
3,0.5,3,1.5,1.0382580887168473,0.46078431372549017
3,0.75,5,1.35,1.0384543332806015,0.45751633986928103
5,0.5,3,1.5,1.038589945646277,0.4673202614379085
10,1.0,8,1.5,1.038754310073022,0.4803921568627451
8,0.5,3,1.5,1.0388194982783665,0.477124183006536
3,1.0,5,1.25,1.0389664581478988,0.4542483660130719
3,0.75,3,1.25,1.0389767113108577,0.4542483660130719
8,0.75,8,1.5,1.0390775116245439,0.477124183006536
3,1.0,8,1.5,1.0392156198966949,0.46405228758169936
10,1.0,3,1.25,1.0393223305438988,0.4869281045751634
10,1.0,5,1.35,1.0394168692262706,0.4803921568627451
5,0.75,5,1.35,1.0395093336834729,0.46405228758169936
3,0.75,5,1.5,1.0396231843185961,0.46405228758169936
10,0.75,3,1.5,1.0398077160403536,0.49019607843137253
5,1.0,8,1.35,1.0398090142553686,0.46405228758169936
8,0.75,5,1.25,1.0400711216662857,0.4673202614379085
5,0.75,3,1.25,1.040408516220249,0.46078431372549017
8,0.75,5,1.35,1.0404644608952487,0.4673202614379085
5,0.75,5,1.5,1.040973068429837,0.4673202614379085
