podania_sk_gosp,podania_wszy_gosp,podania_sk_gosc,podania_wszy_gosc,dl_pod_sk_gosp,dl_pod_wszy_gosp,dl_pod_sk_gosc,dl_pod_wszy_gosc,pod_strefa_sk_gosp,pod_strefa_wszy_gosp,pod_strefa_sk_gosc,pod_strefa_wszy_gosc,dosrod_sk_gosp,dosrod_wszy_gosp,dosrod_sk_gosc,dosrod_wszy_gosc,odbiory_sk_gosp,odbiory_wszy_gosp,odbiory_sk_gosc,odbiory_wszy_gosc,flash_id,url
209,304,334,407,38,75,24,52,44.0,75.0,128.0,180.0,2.0,8.0,12.0,41.0,6,11,6,10,C4whHmi3,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=C4whHmi3
235,338,431,525,19,56,17,56,37.0,83.0,88.0,132.0,2.0,10.0,8.0,22.0,9,13,4,10,bqKn6Nr2,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=bqKn6Nr2
382,447,414,481,28,48,19,36,119.0,145.0,86.0,112.0,3.0,7.0,2.0,12.0,14,23,8,12,6ou8D5jS,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=6ou8D5jS
322,394,239,309,20,54,22,53,74.0,105.0,67.0,101.0,2.0,20.0,9.0,24.0,7,11,6,14,vwIF9dkf,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=vwIF9dkf
489,545,209,256,27,41,24,46,163.0,201.0,60.0,84.0,4.0,21.0,7.0,13.0,7,10,14,16,Ei2ZTQz9,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=Ei2ZTQz9
394,451,257,332,28,49,10,32,119.0,150.0,41.0,72.0,4.0,19.0,1.0,13.0,3,9,10,17,YJR0FRLF,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=YJR0FRLF
289,359,331,406,17,44,17,43,57.0,83.0,40.0,83.0,3.0,12.0,3.0,17.0,7,12,12,15,QVLv8qEk,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=QVLv8qEk
398,477,237,309,24,59,17,54,86.0,125.0,48.0,85.0,5.0,9.0,3.0,19.0,8,11,5,9,INT6BIKs,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=INT6BIKs
170,260,336,428,17,67,26,56,40.0,78.0,81.0,119.0,4.0,19.0,3.0,20.0,13,20,8,18,n3LN7zK6,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=n3LN7zK6
239,325,330,424,28,69,36,72,64.0,109.0,58.0,109.0,5.0,18.0,5.0,16.0,9,11,13,17,nsSrjBh4,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=nsSrjBh4
373,470,186,275,24,59,13,50,92.0,132.0,47.0,80.0,6.0,18.0,6.0,19.0,13,22,10,15,vcthnTiT,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=vcthnTiT
235,304,370,449,19,48,21,56,53.0,79.0,86.0,124.0,2.0,13.0,8.0,18.0,11,13,6,9,lWice6Uq,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=lWice6Uq
427,512,184,267,21,48,25,65,202.0,252.0,28.0,61.0,,,,,6,9,3,7,pbo6gpad,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=pbo6gpad
338,397,273,343,18,38,22,47,87.0,121.0,88.0,129.0,4.0,18.0,5.0,7.0,6,13,5,12,b1DI2lxA,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=b1DI2lxA
282,350,344,408,32,54,24,48,53.0,94.0,146.0,182.0,2.0,12.0,6.0,30.0,6,20,9,10,KfQjlkNG,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=KfQjlkNG
406,486,192,267,22,46,24,53,80.0,126.0,63.0,100.0,8.0,19.0,8.0,23.0,12,20,13,22,AuXNt7Fj,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=AuXNt7Fj
224,295,310,389,26,61,19,56,46.0,77.0,74.0,112.0,4.0,20.0,4.0,23.0,13,17,11,16,h06R0S6M,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=h06R0S6M
159,237,496,563,19,60,32,57,31.0,65.0,166.0,205.0,6.0,17.0,4.0,27.0,6,10,4,6,jyAA4A7c,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=jyAA4A7c
433,497,268,349,27,39,20,61,184.0,226.0,65.0,95.0,17.0,40.0,2.0,8.0,10,16,9,14,lAbIws3s,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=lAbIws3s
193,278,399,486,39,78,27,60,49.0,86.0,116.0,163.0,2.0,10.0,0.0,22.0,7,16,10,15,rZlKQZ7e,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/gornik-zabrze-2LH3Ywq4/szczegoly/statystyki/?mid=rZlKQZ7e
346,427,207,296,23,50,7,57,122.0,164.0,53.0,93.0,6.0,29.0,3.0,12.0,8,12,9,14,Imegufvn,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=Imegufvn
406,514,290,361,26,65,25,58,107.0,164.0,67.0,98.0,11.0,29.0,4.0,11.0,12,15,4,13,IkjZZb26,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=IkjZZb26
287,356,220,276,24,53,18,38,78.0,104.0,42.0,64.0,12.0,29.0,7.0,19.0,10,14,9,11,dz2QyLXg,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=dz2QyLXg
371,470,214,301,27,65,23,70,92.0,139.0,34.0,67.0,4.0,19.0,3.0,12.0,5,8,10,16,O8tlUTVp,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=O8tlUTVp
429,492,211,280,21,46,21,45,176.0,216.0,48.0,69.0,10.0,42.0,5.0,15.0,8,19,6,18,46lsYxXI,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=46lsYxXI
399,472,293,360,18,50,22,51,96.0,129.0,56.0,87.0,5.0,22.0,4.0,14.0,8,13,6,13,vy5HZk8N,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=vy5HZk8N
343,429,297,391,22,54,16,53,85.0,123.0,95.0,142.0,7.0,19.0,5.0,20.0,9,14,12,23,jFYZiXNi,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=jFYZiXNi
574,661,91,159,16,30,18,57,213.0,272.0,21.0,55.0,10.0,45.0,4.0,11.0,2,10,12,16,j1g1wY8b,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=j1g1wY8b
348,431,359,445,27,59,26,60,104.0,149.0,82.0,117.0,5.0,22.0,2.0,15.0,10,16,13,27,nTnAyCwB,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=nTnAyCwB
171,252,403,469,18,57,15,30,29.0,71.0,181.0,217.0,3.0,9.0,12.0,46.0,8,13,7,11,z7YrPsll,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=z7YrPsll
271,339,245,319,23,50,15,52,69.0,97.0,58.0,99.0,4.0,17.0,6.0,24.0,14,19,7,13,rXyiNLI0,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=rXyiNLI0
143,223,379,443,26,62,17,34,36.0,77.0,169.0,205.0,6.0,13.0,12.0,43.0,5,8,6,8,jZdCU3QQ,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=jZdCU3QQ
225,298,304,389,20,50,24,51,42.0,70.0,75.0,121.0,4.0,9.0,6.0,29.0,5,9,5,10,UPHoq3uK,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=UPHoq3uK
