match_id,sezon,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,flash_id,flash_url,has_observed_xg,xg_source,xg_gosp_obs,xg_gosc_obs,xg_gosp_hybrid,xg_gosc_hybrid
1684,2023/24,1,2023-07-21,Warta Poznań,Pogoń Szczecin,0.0,1.0,9.0,12.0,1.0,3.0,EwR7QQRA,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=EwR7QQRA,0,imputed_constrained,,,0.9540722542175362,1.603748824544699
1685,2023/24,1,2023-07-21,Legia Warszawa,ŁKS Łódź,3.0,0.0,18.0,7.0,9.0,1.0,Q3FiU8So,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/lks-lodz-ShUKWHDG/szczegoly/statystyki/?mid=Q3FiU8So,0,imputed_constrained,,,2.271482367670197,0.7647878012945649
1686,2023/24,1,2023-07-22,Stal Mielec,Cracovia,2.0,2.0,8.0,20.0,4.0,8.0,p4M3R6C4,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=p4M3R6C4,0,imputed_constrained,,,0.9807187965193012,1.8249121471973888
1687,2023/24,1,2023-07-22,Raków Częstochowa,Jagiellonia Białystok,3.0,0.0,11.0,7.0,6.0,1.0,6DNaSncb,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=6DNaSncb,0,imputed_constrained,,,1.1129782493596023,0.8356902953994003
1688,2023/24,1,2023-07-22,Piast Gliwice,Lech Poznań,1.0,2.0,15.0,7.0,5.0,2.0,OlYfTSsh,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=OlYfTSsh,0,imputed_constrained,,,2.213929680300115,0.72399574075244
1689,2023/24,1,2023-07-23,Górnik Zabrze,Radomiak Radom,0.0,2.0,4.0,20.0,0.0,4.0,hGpwBoSN,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=hGpwBoSN,0,imputed_constrained,,,0.6897914929322048,2.1778992919730964
1690,2023/24,1,2023-07-23,Zagłębie Lubin,Ruch Chorzów,2.0,1.0,16.0,6.0,3.0,1.0,AiurA5sU,https://www.flashscore.pl/mecz/pilka-nozna/ruch-chorzow-S4zygtuJ/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=AiurA5sU,0,imputed_constrained,,,1.969426922608291,1.3619474257031088
1691,2023/24,1,2023-07-23,Widzew Łódź,Puszcza Niepołomice,3.0,2.0,12.0,14.0,6.0,4.0,hUPBPpsH,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=hUPBPpsH,0,imputed_constrained,,,1.8496366325248967,1.6626294401479993
1692,2023/24,1,2023-07-24,Korona Kielce,Śląsk Wrocław,1.0,1.0,11.0,4.0,5.0,2.0,C0R95Pko,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=C0R95Pko,0,imputed_constrained,,,1.2819279233332581,0.9934847109440691
1693,2023/24,2,2023-07-29,Jagiellonia Białystok,Puszcza Niepołomice,4.0,1.0,12.0,11.0,6.0,6.0,ldJKNOBT,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/puszcza-dtqx13O8/szczegoly/statystyki/?mid=ldJKNOBT,0,imputed_constrained,,,1.7800578141341605,1.0621221500470988
