match_id,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,flash_id,flash_url,strzaly_gosp_flash,strzaly_gosc_flash,celne_gosp_flash,celne_gosc_flash,xg_gosp_flash,xg_gosc_flash
1684,1,2023-07-21,Warta Poznań,Pogoń Szczecin,0.0,1.0,9.0,12.0,1.0,3.0,EwR7QQRA,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=EwR7QQRA,9,12,1,3,,
1685,1,2023-07-21,Legia Warszawa,ŁKS Łódź,3.0,0.0,18.0,7.0,9.0,1.0,Q3FiU8So,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/lks-lodz-ShUKWHDG/szczegoly/statystyki/?mid=Q3FiU8So,18,7,9,1,,
1686,1,2023-07-22,Stal Mielec,Cracovia,2.0,2.0,8.0,20.0,4.0,8.0,p4M3R6C4,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=p4M3R6C4,8,17,4,8,,
1687,1,2023-07-22,Raków Częstochowa,Jagiellonia Białystok,3.0,0.0,11.0,7.0,6.0,1.0,6DNaSncb,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=6DNaSncb,9,0,4,0,,
1688,1,2023-07-22,Piast Gliwice,Lech Poznań,1.0,2.0,15.0,7.0,5.0,2.0,OlYfTSsh,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=OlYfTSsh,11,5,5,2,,
1689,1,2023-07-23,Górnik Zabrze,Radomiak Radom,0.0,2.0,4.0,20.0,0.0,4.0,hGpwBoSN,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=hGpwBoSN,4,20,0,4,,
1690,1,2023-07-23,Zagłębie Lubin,Ruch Chorzów,2.0,1.0,16.0,6.0,3.0,1.0,AiurA5sU,https://www.flashscore.pl/mecz/pilka-nozna/ruch-chorzow-S4zygtuJ/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=AiurA5sU,16,6,3,1,,
1691,1,2023-07-23,Widzew Łódź,Puszcza Niepołomice,3.0,2.0,12.0,14.0,6.0,4.0,hUPBPpsH,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=hUPBPpsH,12,14,6,4,,
1692,1,2023-07-24,Korona Kielce,Śląsk Wrocław,1.0,1.0,11.0,4.0,5.0,2.0,C0R95Pko,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=C0R95Pko,11,4,5,2,,
1693,2,2023-07-29,Jagiellonia Białystok,Puszcza Niepołomice,4.0,1.0,12.0,11.0,6.0,6.0,ldJKNOBT,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/puszcza-dtqx13O8/szczegoly/statystyki/?mid=ldJKNOBT,12,11,6,6,,
