team_name,team_norm,official_team_name,official_xg,official_xga,n_matches_total,observed_xg_known,observed_xga_known,n_matches_known,n_matches_missing,residual_xg_to_impute,residual_xga_to_impute,known_share_xg,known_share_xga,flag_negative_residual_xg,flag_negative_residual_xga,mapping_ok
Cracovia,cracovia,Cracovia,42.7,43.7,34,25.09,26.740000000000002,22,12,17.610000000000003,16.96,0.5875878220140515,0.6118993135011441,0,0,1
Górnik Zabrze,gornik zabrze,Górnik Zabrze,40.3,42.4,34,24.0,21.92,21,13,16.299999999999997,20.479999999999997,0.5955334987593053,0.5169811320754718,0,0,1
Jagiellonia Białystok,jagiellonia bialystok,Jagiellonia Białystok,56.7,40.7,34,35.75,26.17,21,13,20.950000000000003,14.530000000000001,0.6305114638447972,0.642997542997543,0,0,1
Korona Kielce,korona kielce,Korona Kielce,40.9,37.5,34,25.7,22.53,22,12,15.2,14.969999999999999,0.628361858190709,0.6008,0,0,1
Lech Poznań,lech poznan,Lech Poznań,38.3,44.3,34,20.19,24.09,21,13,18.109999999999996,20.209999999999997,0.5271540469973891,0.5437923250564335,0,0,1
Legia Warszawa,legia warszawa,Legia Warszawa,52.0,33.4,34,31.63,18.74,22,12,20.37,14.66,0.6082692307692308,0.5610778443113772,0,0,1
Piast Gliwice,piast gliwice,Piast Gliwice,47.9,30.1,34,23.38,20.88,21,13,24.52,9.220000000000002,0.4881002087682672,0.6936877076411959,0,0,1
Pogoń Szczecin,pogon szczecin,Pogoń Szczecin,57.0,38.4,34,30.69,24.21,21,13,26.31,14.189999999999998,0.538421052631579,0.63046875,0,0,1
Puszcza Niepołomice,puszcza niepolomice,Puszcza Niepołomice,36.0,48.4,34,18.13,26.83,21,13,17.87,21.57,0.5036111111111111,0.5543388429752066,0,0,1
Radomiak Radom,radomiak radom,Radomiak Radom,44.8,52.3,34,22.47,29.35,21,13,22.33,22.949999999999996,0.5015625,0.5611854684512428,0,0,1
Raków Częstochowa,rakow czestochowa,Raków Częstochowa,55.5,33.8,34,37.79,19.65,22,12,17.71,14.149999999999999,0.6809009009009009,0.5813609467455622,0,0,1
Ruch Chorzów,ruch chorzow,Ruch Chorzów,42.2,51.1,34,22.46,25.16,22,12,19.740000000000002,25.94,0.5322274881516588,0.4923679060665362,0,0,1
Stal Mielec,stal mielec,Stal Mielec,31.2,49.9,34,18.48,28.22,21,13,12.719999999999999,21.68,0.5923076923076923,0.5655310621242485,0,0,1
Warta Poznań,warta poznan,Warta Poznań,30.5,39.8,34,14.22,23.59,21,13,16.28,16.209999999999997,0.4662295081967213,0.592713567839196,0,0,1
Widzew Łódź,widzew lodz,Widzew Łódź,40.1,45.8,34,23.47,24.83,22,12,16.630000000000003,20.97,0.585286783042394,0.5421397379912664,0,0,1
Zagłębie Lubin,zaglebie lubin,,,,34,27.36,25.43,21,13,,,,,0,0,0
ŁKS Łódź,lks lodz,ŁKS Łódź,33.8,63.7,34,20.47,38.81,21,13,13.329999999999998,24.89,0.605621301775148,0.6092621664050235,0,0,1
Śląsk Wrocław,slask wroclaw,Śląsk Wrocław,44.5,38.0,34,24.75,18.88,21,13,19.75,19.12,0.5561797752808989,0.49684210526315786,0,0,1
