team_name,klub_slug,hybrid_xg,hybrid_xga,official_xg,official_xga,delta_xg,delta_xga
Cracovia,cracovia,42.7,43.7,42.7,43.7,0.0,0.0
Górnik Zabrze,gornik-zabrze,40.3,42.4,40.3,42.4,0.0,0.0
Jagiellonia Białystok,jagiellonia-bialystok,56.7,40.7,56.7,40.7,0.0,0.0
Korona Kielce,korona-kielce,40.9,37.5,40.9,37.5,0.0,0.0
Lech Poznań,lech-poznan,38.3,44.3,38.3,44.3,0.0,0.0
Legia Warszawa,legia-warszawa,52.0,33.4,52.0,33.4,0.0,0.0
Piast Gliwice,piast-gliwice,47.9,30.1,47.9,30.1,0.0,0.0
Pogoń Szczecin,pogon-szczecin,57.0,38.4,57.0,38.4,0.0,0.0
Puszcza Niepołomice,puszcza-niepolomice,36.0,48.4,36.0,48.4,0.0,0.0
Radomiak Radom,radomiak-radom,44.8,52.3,44.8,52.3,0.0,0.0
Raków Częstochowa,rakow-czestochowa,55.5,33.8,55.5,33.8,0.0,0.0
Ruch Chorzów,ruch-chorzow,42.2,51.1,42.2,51.1,0.0,0.0
Stal Mielec,stal-mielec,31.2,49.9,31.2,49.9,0.0,0.0
Warta Poznań,warta-poznan,30.5,39.8,30.5,39.8,0.0,0.0
Widzew Łódź,widzew-lodz,40.1,45.800000000000004,40.1,45.8,0.0,7.105427357601002e-15
Zagłębie Lubin,zagebie-lubin,44.4,45.5,44.4,45.5,0.0,0.0
ŁKS Łódź,lks-lodz,33.800000000000004,63.7,33.8,63.7,7.105427357601002e-15,0.0
Śląsk Wrocław,slask-wroclaw,44.5,38.0,44.5,38.0,0.0,0.0
