flash_team,klub_slug_expected,flash_name
Arka Gdynia,arka-gdynia,Gohlike O.
Arka Gdynia,arka-gdynia,Gozdecki N.
Arka Gdynia,arka-gdynia,Krzepisz K.
Arka Gdynia,arka-gdynia,Percan
Arka Gdynia,arka-gdynia,Petrovic Z.
Arka Gdynia,arka-gdynia,Ratajczyk A.
Arka Gdynia,arka-gdynia,Stolc P.
Arka Gdynia,arka-gdynia,Vlad A.
Arka Gdynia,arka-gdynia,Zacharewicz W.
Bruk-Bet Termalica Nieciecza,nieciecza,Janicki M.
Bruk-Bet Termalica Nieciecza,nieciecza,Kozik M.
Bruk-Bet Termalica Nieciecza,nieciecza,Mrosek N.
Bruk-Bet Termalica Nieciecza,nieciecza,Surowiec K.
Bruk-Bet Termalica Nieciecza,nieciecza,Surowiec P.
Cracovia,cracovia,Cymerys K.
Cracovia,cracovia,Golonka K.
Cracovia,cracovia,Janasik P.
Cracovia,cracovia,Jugas J.
Cracovia,cracovia,Skovgaard A.
GKS Katowice,gks-katowice,Jaroszek B.
GKS Katowice,gks-katowice,Jirka E.
GKS Katowice,gks-katowice,Marzec M.
GKS Katowice,gks-katowice,Pankowski W.
GKS Katowice,gks-katowice,Shkurin I.
GKS Katowice,gks-katowice,Swatowski M.
GKS Katowice,gks-katowice,Szczuka P.
GKS Katowice,gks-katowice,Trepka L.
GKS Katowice,gks-katowice,Wdowiak M.
Górnik Zabrze,gornik-zabrze,Balabuch A.
Górnik Zabrze,gornik-zabrze,Pietryga P.
Górnik Zabrze,gornik-zabrze,Rakoczy M.
Jagiellonia Białystok,jagiellonia-bialystok,Costa S. T.
Jagiellonia Białystok,jagiellonia-bialystok,Damasiewicz A.
Jagiellonia Białystok,jagiellonia-bialystok,Dieguez A.
Jagiellonia Białystok,jagiellonia-bialystok,Hirosawa T.
Jagiellonia Białystok,jagiellonia-bialystok,Konstantopoulos A.
Jagiellonia Białystok,jagiellonia-bialystok,Krasiewicz B.
Jagiellonia Białystok,jagiellonia-bialystok,Kuczynski M.
Jagiellonia Białystok,jagiellonia-bialystok,Pankiewicz S.
Jagiellonia Białystok,jagiellonia-bialystok,Szmyt K.
Korona Kielce,korona-kielce,Bąk D.
Korona Kielce,korona-kielce,Mamla R.
Korona Kielce,korona-kielce,Niedbala M.
Lech Poznań,lech-poznan,Andersson E.
Lech Poznań,lech-poznan,Baranski B.
Lech Poznań,lech-poznan,Bąkowski K.
Lech Poznań,lech-poznan,Gmur T.
Lech Poznań,lech-poznan,Ismaheel T.
Lech Poznań,lech-poznan,Pruchniewski M.
Lech Poznań,lech-poznan,Salamon B.
Lechia Gdańsk,lechia-gdansk,Bambecki I.
Lechia Gdańsk,lechia-gdansk,Brzek B.
Lechia Gdańsk,lechia-gdansk,Gutowski K.
Lechia Gdańsk,lechia-gdansk,Kaczorowski M.
Lechia Gdańsk,lechia-gdansk,Mavraj I.
Lechia Gdańsk,lechia-gdansk,Wendt K.
Legia Warszawa,legia-warszawa,Gual M.
Legia Warszawa,legia-warszawa,Kobylak G.
Legia Warszawa,legia-warszawa,Mendes-Dudzinski M.
Motor Lublin,motor-lublin,Brzozowski K.
Motor Lublin,motor-lublin,Kukulski P.
Piast Gliwice,piast-gliwice,Daniel J.
Piast Gliwice,piast-gliwice,Grelich J.
Piast Gliwice,piast-gliwice,Lubowiecki K.
Piast Gliwice,piast-gliwice,Rychta D.
Pogoń Szczecin,pogon-szczecin,Bak M.
Pogoń Szczecin,pogon-szczecin,Bochniarz K.
Pogoń Szczecin,pogon-szczecin,Brzyski I.
Pogoń Szczecin,pogon-szczecin,Jakubowski R.
Pogoń Szczecin,pogon-szczecin,Peskovic A.
Pogoń Szczecin,pogon-szczecin,Rojek S.
Pogoń Szczecin,pogon-szczecin,Stanowski K.
Radomiak Radom,radomiak-radom,Guilherme
Radomiak Radom,radomiak-radom,Jerke M.
Radomiak Radom,radomiak-radom,Koptas W.
Radomiak Radom,radomiak-radom,Markiewicz O.
Radomiak Radom,radomiak-radom,Molendowski M.
Radomiak Radom,radomiak-radom,Niziolek A.
Raków Częstochowa,rakow-czestochowa,Burkiewicz A.
Raków Częstochowa,rakow-czestochowa,Czeremski D.
Raków Częstochowa,rakow-czestochowa,Diaz J.
Raków Częstochowa,rakow-czestochowa,Mądrzyk J.
Raków Częstochowa,rakow-czestochowa,Napieraj J.
Raków Częstochowa,rakow-czestochowa,Pieńko T.
Raków Częstochowa,rakow-czestochowa,Silva J. C.
Raków Częstochowa,rakow-czestochowa,Zolneczko W.
Widzew Łódź,widzew-lodz,Gikiewicz R.
Widzew Łódź,widzew-lodz,Kapuadi S.
Widzew Łódź,widzew-lodz,Krzywanski J.
Widzew Łódź,widzew-lodz,Madej L.
Widzew Łódź,widzew-lodz,Nawrocki K.
Widzew Łódź,widzew-lodz,Volanakis P.
Wisła Płock,wisla-plock,Barnowski D.
Wisła Płock,wisla-plock,Gallapeni D.
Wisła Płock,wisla-plock,Kuchko G.
Wisła Płock,wisla-plock,Lesniewski M.
Wisła Płock,wisla-plock,Pruszkowski S.
Wisła Płock,wisla-plock,Rogowski N.
Wisła Płock,wisla-plock,Tomczyk O.
Wisła Płock,wisla-plock,Zając F.
Zagłębie Lubin,zagebie-lubin,Kłudka B.
Zagłębie Lubin,zagebie-lubin,Marek S.
Zagłębie Lubin,zagebie-lubin,Matysek A.
Zagłębie Lubin,zagebie-lubin,Sochan K.
Zagłębie Lubin,zagebie-lubin,Urbański M.
