flash_team,expected_klub_slug,flash_name,candidate_player_slug,candidate_klub_slug,candidate_season,relation,score,reasons,candidate_nazwa
Arka Gdynia,arka-gdynia,Petrovic Z.,mauro-perkovic,cracovia,2025/26,same_season_other_club,86,sim>=0.85:0.875 | same_season_bonus,Mauro PerkovićCracovia
Arka Gdynia,arka-gdynia,Petrovic Z.,mauro-perkovic,cracovia,2024/25,past_season_other_club,84,sim>=0.85:0.875,Mauro PerkovićCracovia
Bruk-Bet Termalica Nieciecza,nieciecza,Janicki M.,rafa-janicki,gornik-zabrze,2025/26,same_season_other_club,102,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:janicki | token_overlap_slug:janicki | sim>=0.92:1.000 | same_season_bonus,Rafał JanickiGórnik Zabrze
Bruk-Bet Termalica Nieciecza,nieciecza,Janicki M.,rafa-janicki,gornik-zabrze,2023/24,past_season_other_club,100,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:janicki | token_overlap_slug:janicki | sim>=0.92:1.000,Rafał JanickiGórnik Zabrze
Bruk-Bet Termalica Nieciecza,nieciecza,Janicki M.,rafa-janicki,gornik-zabrze,2024/25,past_season_other_club,100,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:janicki | token_overlap_slug:janicki | sim>=0.92:1.000,Rafał JanickiGórnik Zabrze
Bruk-Bet Termalica Nieciecza,nieciecza,Kozik M.,miosz-kozak,ruch-chorzow,2023/24,past_season_other_club,82,sim>=0.78:0.800 | initial_match,Miłosz KozakRuch Chorzów
Bruk-Bet Termalica Nieciecza,nieciecza,Mrosek N.,bartosz-mrozek,lech-poznan,2025/26,same_season_other_club,80,sim>=0.78:0.833 | same_season_bonus,Bartosz MrozekLech Poznań
Bruk-Bet Termalica Nieciecza,nieciecza,Mrosek N.,maciej-rosoek,gks-katowice,2025/26,same_season_other_club,80,sim>=0.78:0.833 | same_season_bonus,Maciej RosołekGKS Katowice
Bruk-Bet Termalica Nieciecza,nieciecza,Mrosek N.,bartosz-mrozek,lech-poznan,2023/24,past_season_other_club,78,sim>=0.78:0.833,Bartosz MrozekLech Poznań
Bruk-Bet Termalica Nieciecza,nieciecza,Mrosek N.,lindsay-rose,legia-warszawa,2023/24,past_season_other_club,78,sim>=0.78:0.800,Lindsay Marc RoseLegia Warszawa
