flash_team,flash_name,expected_klub_slug,current_status,existing_player_slug,proposed_status,proposed_player_slug,evidence,candidate_count,top1_score,top1_relation,top1_clubs,top1_seasons,top1_path,top2_player_slug,top2_score,gap_top1_top2
Cracovia,Al Ammari A.,cracovia,unresolved,,auto_same_club_history,amir-fouad-aboud-al-ammari,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Atanasov J.,cracovia,unresolved,,auto_same_club_history,jani-atanasov,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | present_in_target_season,1,121.0,same_club_history,cracovia | puszcza-niepolomice,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:puszcza-niepolomice | 2025/26:cracovia,,,999.0
Cracovia,Biedrzycki B.,cracovia,unresolved,,auto_same_club_history,bartosz-biedrzycki,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Bochnak M.,cracovia,unresolved,,auto_same_club_history,mateusz-bochnak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Burek J.,cracovia,unresolved,,auto_transfer_candidate,jakub-burek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token,1,105.0,historical_other_club,wisla-plock,2025/26,2025/26:wisla-plock,,,999.0
Cracovia,Bzdyl F.,cracovia,unresolved,,auto_same_club_history,fabian-bzdyl,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Ghita V.,cracovia,unresolved,,auto_same_club_history,virgil-ghita,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Glik K.,cracovia,unresolved,,auto_same_club_history,kamil-jacek-glik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Hasic A.,cracovia,unresolved,,auto_same_club_history,ajdin-hasic,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Henriksson G.,cracovia,unresolved,,auto_same_club_history,gustav-niklas-henriksson,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Hoskonen A.,cracovia,unresolved,,auto_same_club_history,arttu-hoskonen,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Janasik P.,cracovia,unresolved,,auto_same_club_history,patryk-janasik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia | slask-wroclaw,2023/24 | 2024/25,2023/24:slask-wroclaw | 2024/25:cracovia,,,999.0
Cracovia,Jaroszynski P.,cracovia,unresolved,,auto_same_club_history,pawe-jaroszynski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Jugas J.,cracovia,unresolved,,auto_same_club_history,jakub-jugas,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Kakabadze O.,cracovia,unresolved,,auto_same_club_history,otar-kakabadze,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Kallman B.,cracovia,unresolved,,auto_same_club_history,benjamin-kallman,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Knap K.,cracovia,unresolved,,auto_same_club_history,karol-knap,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | present_in_target_season,1,121.0,same_club_history,cracovia | stal-mielec,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:stal-mielec | 2025/26:cracovia,,,999.0
Cracovia,Lachowicz O.,cracovia,unresolved,,auto_same_club_history,oskar-lachowicz,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2024/25,2024/25:cracovia,,,999.0
Cracovia,Madejski S.,cracovia,unresolved,,auto_same_club_history,sebastian-madejski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Maigaard M.,cracovia,unresolved,,auto_same_club_history,mikkel-maigaard-jakobsen,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,105.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Minchev M.,cracovia,unresolved,,auto_same_club_history,martin-yankov-minchev,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Olafsson D.,cracovia,unresolved,,auto_same_club_history,davi-kristjan-olafsson,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Perkovic M.,cracovia,unresolved,,auto_same_club_history,mauro-perkovic,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2024/25 | 2025/26,2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Polak D.,cracovia,unresolved,,auto_same_club_history,dawid-polak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,2,125.0,same_club_target_season,cracovia,2024/25,2024/25:cracovia,cezary-polak,94,31.0
Cracovia,Pomietlo M.,cracovia,unresolved,,no_candidate,,no_strict_candidate,0,,,,,,,,
Cracovia,Rakoczy M.,cracovia,unresolved,,auto_same_club_history,micha-miosz-rakoczy,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Ravas H.,cracovia,unresolved,,auto_same_club_history,henrich-ravas,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia | widzew-lodz,2023/24 | 2024/25 | 2025/26,2023/24:widzew-lodz | 2024/25:cracovia | 2025/26:cracovia,,,999.0
Cracovia,Rózga F.,cracovia,unresolved,,auto_same_club_history,filip-rozga,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Skovgaard A.,cracovia,unresolved,,auto_same_club_history,andreas-skovgaard-larsen,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,105.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
Cracovia,Smiglewski K.,cracovia,unresolved,,auto_same_club_history,kacper-smiglewski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,1,125.0,same_club_target_season,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,,,999.0
