flash_team,flash_name,expected_klub_slug,candidate_player_slug,candidate_clubs_all,candidate_clubs_target,candidate_seasons_all,season_club_path,score,relation,reasons,sample_name,same_club_any,same_club_target,target_season_present,suffix_exact,initial_match,abbrev_match,mode_ascii,mode_slugstyle
Cracovia,Atanasov J.,cracovia,jani-atanasov,cracovia | puszcza-niepolomice,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:puszcza-niepolomice | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Jani AtanasovCracovia,1,1,1,1,1,0,1,1
Cracovia,Bitri E.,cracovia,eneo-bitri,cracovia,cracovia,2023/24,2023/24:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Eneo BitriCracovia,1,1,1,1,1,0,1,1
Cracovia,Bochnak M.,cracovia,mateusz-bochnak,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Mateusz BochnakCracovia,1,1,1,1,1,0,1,1
Cracovia,Bzdyl F.,cracovia,fabian-bzdyl,cracovia,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Fabian BzdylCracovia,1,1,1,1,1,0,1,1
Cracovia,Ghita V.,cracovia,virgil-ghita,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Virgil Eugen GhițăCracovia,1,1,1,1,1,0,1,1
Cracovia,Glik K.,cracovia,kamil-jacek-glik,cracovia,cracovia,2023/24 | 2024/25 | 2025/26,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Kamil Jacek GlikCracovia,1,1,1,1,1,0,1,1
Cracovia,Hoskonen A.,cracovia,arttu-hoskonen,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Arttu HoskonenCracovia,1,1,1,1,1,0,1,1
Cracovia,Hrosso L.,cracovia,lukas-hrosso,cracovia,cracovia,2023/24,2023/24:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Lukáš HroššoCracovia,1,1,1,1,1,0,1,1
Cracovia,Jaroszynski P.,cracovia,pawe-jaroszynski,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Paweł Kamil JaroszyńskiCracovia,1,1,1,1,1,0,1,1
Cracovia,Jugas J.,cracovia,jakub-jugas,cracovia,cracovia,2023/24 | 2024/25,2023/24:cracovia | 2024/25:cracovia,125,same_club_target_season,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,Jakub JugasCracovia,1,1,1,1,1,0,1,1
