flash_team,flash_name,final_status,player_slug,identity_season_club_path,identity_target_season_clubs,identity_clubs_all,identity_seasons_all,identity_in_target_club,match_method,review_evidence
Górnik Zabrze,Czyż S.,matched_auto_transfer_candidate,szymon-czyz,2024/25:widzew-lodz | 2025/26:widzew-lodz,,widzew-lodz,2024/25 | 2025/26,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token
Górnik Zabrze,Dadok R.,matched_auto_transfer_candidate,robert-dadok,2023/24:ruch-chorzow | 2024/25:stal-mielec,ruch-chorzow,ruch-chorzow | stal-mielec,2023/24 | 2024/25,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season
Górnik Zabrze,Paluszek A.,matched_auto_transfer_candidate,aleksander-paluszek,2023/24:slask-wroclaw | 2024/25:slask-wroclaw | 2025/26:gks-katowice,slask-wroclaw,gks-katowice | slask-wroclaw,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season
Lech Poznań,Wilak F.,matched_auto_transfer_candidate,filip-wilak,2023/24:ruch-chorzow,ruch-chorzow,ruch-chorzow,2023/24,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season
Pogoń Szczecin,Rostami Y.,matched_auto_transfer_candidate,yadegar-rostami,2023/24:lks-lodz,lks-lodz,lks-lodz,2023/24,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season
Pogoń Szczecin,Stipica D.,matched_auto_transfer_candidate,dante-stipica,2023/24:ruch-chorzow,ruch-chorzow,ruch-chorzow,2023/24,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season
Radomiak Radom,Kobylak G.,matched_auto_transfer_candidate,gabriel-kobylak,2023/24:legia-warszawa | 2024/25:legia-warszawa,legia-warszawa,legia-warszawa,2023/24 | 2024/25,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season
Raków Częstochowa,Czyż S.,matched_auto_transfer_candidate,szymon-czyz,2024/25:widzew-lodz | 2025/26:widzew-lodz,,widzew-lodz,2024/25 | 2025/26,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token
Raków Częstochowa,Dominguez M.,matched_auto_transfer_candidate,maxime-dominguez,2025/26:cracovia,,cracovia,2025/26,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token
Raków Częstochowa,Piasecki F.,matched_auto_transfer_candidate,fabian-piasecki,2023/24:piast-gliwice | 2024/25:piast-gliwice,piast-gliwice,piast-gliwice,2023/24 | 2024/25,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season
Raków Częstochowa,Wdowiak M.,matched_auto_transfer_candidate,mateusz-wdowiak,2023/24:zagebie-lubin | 2024/25:zagebie-lubin | 2025/26:zagebie-lubin,zagebie-lubin,zagebie-lubin,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season
Stal Mielec,Strzałek I.,matched_auto_transfer_candidate,igor-strzaek,2023/24:legia-warszawa | 2024/25:legia-warszawa | 2025/26:nieciecza,legia-warszawa,legia-warszawa | nieciecza,2023/24 | 2024/25 | 2025/26,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_slugstyle | suffix_exact_slugstyle | initial_match_any_given_token | present_in_target_season
Widzew Łódź,Hansen K.,matched_auto_transfer_candidate,kristoffer-hansen,2024/25:jagiellonia-bialystok,,jagiellonia-bialystok,2024/25,0.0,review_auto_transfer_candidate,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token
