xg_gosp,xg_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp,rozne_gosc,zk_gosp,zk_gosc,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp,spalone_gosc,rzuty_wolne_gosp,rzuty_wolne_gosc,xa_gosp,xa_gosc,faule_gosp,faule_gosc,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,czk_gosc,czk_gosp,data_meczu_flash,kolejka_flash,url,flash_id,podania_sk_gosp,podania_wszy_gosp,podania_sk_gosc,podania_wszy_gosc,dl_pod_sk_gosp,dl_pod_wszy_gosp,dl_pod_sk_gosc,dl_pod_wszy_gosc,pod_strefa_sk_gosp,pod_strefa_wszy_gosp,pod_strefa_sk_gosc,pod_strefa_wszy_gosc,dosrod_sk_gosp,dosrod_wszy_gosp,dosrod_sk_gosc,dosrod_wszy_gosc,odbiory_sk_gosp,odbiory_wszy_gosp,odbiory_sk_gosc,odbiory_wszy_gosc,gospodarz,gosc
2.14,3.19,41.0,59.0,7.0,22.0,5.0,4.0,4.0,6.0,2.0,10.0,3,3,3.14,1.65,2.0,9.0,0.0,9.0,6.0,14.0,1.0,8.0,14.0,44.0,0.0,2.0,16.0,14.0,0.69,2.62,14.0,16.0,53.0,50.0,42.0,9.0,15.0,13.0,0,0,0,0,2.0,2.0,1.65,3.14,-0.35,0.14,0,0,2026-05-23,34.0,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=C4whHmi3,C4whHmi3,209,304,334,407,38,75,24,52,44.0,75.0,128.0,180.0,2.0,8.0,12.0,41.0,6,11,6,10,LGD,BBT
1.43,0.31,39.0,61.0,9.0,8.0,1.0,2.0,1.0,0.0,3.0,1.0,0,0,1.0,0.2,5.0,6.0,3.0,0.0,3.0,5.0,6.0,3.0,18.0,17.0,1.0,1.0,10.0,16.0,0.56,0.49,16.0,10.0,58.0,53.0,20.0,17.0,9.0,6.0,0,1,0,0,1.0,0.0,0.2,1.0,-0.8,0.0,0,0,2026-05-23,34.0,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=bqKn6Nr2,bqKn6Nr2,235,338,431,525,19,56,17,56,37.0,83.0,88.0,132.0,2.0,10.0,8.0,22.0,9,13,4,10,CRA,KOR
4.57,0.87,48.0,52.0,25.0,10.0,11.0,3.0,6.0,1.0,6.0,4.0,0,5,5.35,1.48,5.0,2.0,9.0,5.0,15.0,7.0,10.0,3.0,46.0,16.0,3.0,1.0,9.0,9.0,2.45,0.91,9.0,9.0,46.0,40.0,13.0,8.0,14.0,11.0,1,2,0,1,1.0,6.0,1.48,5.35,-0.52,-0.65,0,0,2026-05-23,34.0,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=6ou8D5jS,6ou8D5jS,382,447,414,481,28,48,19,36,119.0,145.0,86.0,112.0,3.0,7.0,2.0,12.0,14,23,8,12,GOR,RAD
1.89,2.6,55.0,45.0,14.0,16.0,4.0,5.0,2.0,3.0,6.0,1.0,1,3,1.08,1.95,5.0,6.0,5.0,5.0,11.0,11.0,3.0,5.0,27.0,32.0,0.0,0.0,16.0,15.0,0.94,1.77,15.0,16.0,51.0,47.0,30.0,28.0,5.0,3.0,0,0,0,0,5.0,3.0,1.95,1.08,1.95,0.08,0,0,2026-05-23,34.0,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=vwIF9dkf,vwIF9dkf,322,394,239,309,20,54,22,53,74.0,105.0,67.0,101.0,2.0,20.0,9.0,24.0,7,11,6,14,JAG,ZAG
1.34,3.27,68.0,32.0,12.0,14.0,3.0,5.0,2.0,6.0,5.0,6.0,1,2,1.38,1.7,7.0,6.0,2.0,3.0,6.0,14.0,6.0,0.0,30.0,30.0,2.0,1.0,11.0,7.0,1.49,2.46,7.0,11.0,35.0,44.0,12.0,23.0,6.0,6.0,1,2,0,0,3.0,1.0,1.7,1.38,-0.3,-0.62,0,0,2026-05-23,34.0,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/wisla-plock-QoZYVU3E/szczegoly/statystyki/?mid=Ei2ZTQz9,Ei2ZTQz9,489,545,209,256,27,41,24,46,163.0,201.0,60.0,84.0,4.0,21.0,7.0,13.0,7,10,14,16,LPO,WPL
2.33,0.53,57.0,43.0,18.0,10.0,11.0,5.0,5.0,1.0,5.0,3.0,1,2,3.0,0.61,5.0,3.0,2.0,2.0,10.0,4.0,8.0,6.0,32.0,12.0,1.0,1.0,14.0,11.0,1.17,0.7,11.0,14.0,44.0,46.0,10.0,25.0,13.0,9.0,0,0,0,0,5.0,6.0,0.61,3.0,0.61,-1.0,0,0,2026-05-23,34.0,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=YJR0FRLF,YJR0FRLF,394,451,257,332,28,49,10,32,119.0,150.0,41.0,72.0,4.0,19.0,1.0,13.0,3,9,10,17,LEG,MOT
1.09,0.93,47.0,53.0,13.0,8.0,2.0,3.0,2.0,3.0,4.0,3.0,2,2,0.53,1.08,9.0,3.0,2.0,2.0,8.0,6.0,5.0,2.0,32.0,21.0,1.0,2.0,6.0,13.0,0.72,0.77,13.0,6.0,32.0,44.0,25.0,20.0,8.0,7.0,1,1,1,0,2.0,1.0,1.08,0.53,0.08,-0.47,0,1,2026-05-23,34.0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=QVLv8qEk,QVLv8qEk,289,359,331,406,17,44,17,43,57.0,83.0,40.0,83.0,3.0,12.0,3.0,17.0,7,12,12,15,GKS,POG
0.67,0.58,60.0,40.0,12.0,8.0,5.0,2.0,0.0,1.0,1.0,4.0,1,2,1.58,0.43,6.0,5.0,1.0,1.0,6.0,5.0,6.0,3.0,24.0,15.0,3.0,1.0,10.0,14.0,0.69,0.55,14.0,10.0,49.0,35.0,18.0,16.0,5.0,7.0,0,0,0,0,2.0,2.0,0.43,1.58,0.43,-1.42,0,0,2026-05-23,34.0,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=INT6BIKs,INT6BIKs,398,477,237,309,24,59,17,54,86.0,125.0,48.0,85.0,5.0,9.0,3.0,19.0,8,11,5,9,ARK,RCZ
0.67,0.46,38.0,62.0,10.0,9.0,2.0,3.0,3.0,1.0,6.0,6.0,1,1,1.32,0.59,6.0,4.0,2.0,2.0,7.0,5.0,3.0,4.0,17.0,20.0,2.0,1.0,16.0,14.0,0.76,0.56,14.0,16.0,55.0,63.0,24.0,26.0,8.0,6.0,0,0,0,0,2.0,0.0,0.59,1.32,-0.41,-0.68,0,0,2026-05-23,34.0,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=n3LN7zK6,n3LN7zK6,170,260,336,428,17,67,26,56,40.0,78.0,81.0,119.0,4.0,19.0,3.0,20.0,13,20,8,18,PIA,WID
2.12,1.1,44.0,56.0,16.0,12.0,4.0,4.0,4.0,2.0,2.0,4.0,1,4,1.45,1.13,7.0,5.0,5.0,3.0,8.0,8.0,8.0,4.0,26.0,15.0,4.0,2.0,11.0,19.0,1.46,0.69,19.0,11.0,39.0,64.0,34.0,38.0,12.0,6.0,0,1,0,1,1.0,1.0,1.13,1.45,-1.87,-0.55,0,0,2026-05-18,33.0,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=nsSrjBh4,nsSrjBh4,239,325,330,424,28,69,36,72,64.0,109.0,58.0,109.0,5.0,18.0,5.0,16.0,9,11,13,17,ARK,BBT
