match_id,gospodarz,gosc,gole_gosp,gole_gosc,data_meczu,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,kolejka,xg_gosp,xg_gosc,posiadanie_gosp_flash,posiadanie_gosc_flash,strzaly_gosp_flash,strzaly_gosc_flash,celne_gosp_flash,celne_gosc_flash,wielkie_szanse_gosp,wielkie_szanse_gosc,rozne_gosp_flash,rozne_gosc_flash,zk_gosp_flash,zk_gosc_flash,xgot_gosp,xgot_gosc,strzaly_niecelne_gosp_flash,strzaly_niecelne_gosc_flash,strzaly_zablokowane_gosp_flash,strzaly_zablokowane_gosc_flash,strzaly_pk_gosp,strzaly_pk_gosc,strzaly_spoza_pk_gosp,strzaly_spoza_pk_gosc,kontakty_pk_gosp,kontakty_pk_gosc,spalone_gosp_flash,spalone_gosc_flash,rzuty_wolne_gosp,rzuty_wolne_gosc,xa_gosp,xa_gosc,faule_gosp_flash,faule_gosc_flash,pojedynki_gosp,pojedynki_gosc,wybicia_gosp,wybicia_gosc,przechwyty_gosp,przechwyty_gosc,bledy_strzal_gosp,bledy_strzal_gosc,bledy_gol_gosp,bledy_gol_gosc,obrony_bramkarza_gosp,obrony_bramkarza_gosc,xgot_przeciw_gosp,xgot_przeciw_gosc,zapobiegniecia_gosp,zapobiegniecia_gosc,czk_gosc_flash,czk_gosp_flash,data_meczu_flash,kolejka_flash,url,flash_id,podania_sk_gosp,podania_wszy_gosp,podania_sk_gosc,podania_wszy_gosc,dl_pod_sk_gosp,dl_pod_wszy_gosp,dl_pod_sk_gosc,dl_pod_wszy_gosc,pod_strefa_sk_gosp,pod_strefa_wszy_gosp,pod_strefa_sk_gosc,pod_strefa_wszy_gosc,dosrod_sk_gosp,dosrod_wszy_gosp,dosrod_sk_gosc,dosrod_wszy_gosc,odbiory_sk_gosp,odbiory_wszy_gosp,odbiory_sk_gosc,odbiory_wszy_gosc,gosp_nazwa,gosc_nazwa,gosp_kod,gosc_kod
2344,JAG,BBT,0,4,2025-07-18,64.2,35.8,13.0,18.0,4.0,6.0,4.0,8.0,5.0,4.0,3.0,8.0,7.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,12.0,8.0,4.0,16.0,14.0,543.0,311.0,469.0,226.0,1,0.89,2.47,64.0,36.0,13.0,18.0,4.0,6.0,0.0,3.0,3.0,8.0,1.0,0.0,0.25,3.19,5.0,4.0,4.0,8.0,10.0,11.0,3.0,7.0,35.0,23.0,4.0,1.0,10.0,7.0,2.02,0.92,7.0,10.0,59.0,60.0,24.0,40.0,4.0,8.0,2.0,0.0,0.0,0.0,3.0,4.0,3.19,0.25,-0.81,0.25,0.0,0.0,2025-07-18,1.0,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/nieciecza-YNkK4khO/szczegoly/statystyki/?mid=fkfo7grg,fkfo7grg,469.0,543.0,226.0,311.0,18.0,40.0,26.0,66.0,122.0,164.0,61.0,95.0,8.0,34.0,4.0,12.0,16.0,20.0,14.0,25.0,JAG 0-4 BBT | Jagiellonia Białystok,Bruk-Bet T.,JAG,BBT
2345,LPO,CRA,1,4,2025-07-18,74.6,25.4,10.0,7.0,2.0,5.0,2.0,0.0,6.0,2.0,5.0,0.0,10.0,12.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30.0,1.0,4.0,0.0,6.0,8.0,638.0,222.0,572.0,153.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2346,WID,ZAG,1,0,2025-07-19,52.8,47.2,15.0,11.0,4.0,2.0,8.0,3.0,3.0,6.0,8.0,6.0,8.0,20.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,17.0,14.0,4.0,3.0,11.0,8.0,349.0,311.0,283.0,244.0,1,1.06,0.66,53.0,47.0,15.0,11.0,4.0,2.0,0.0,0.0,8.0,6.0,3.0,4.0,0.77,0.12,3.0,6.0,8.0,3.0,10.0,6.0,5.0,5.0,34.0,21.0,1.0,3.0,20.0,8.0,1.19,0.85,8.0,20.0,59.0,41.0,27.0,22.0,2.0,11.0,0.0,1.0,0.0,0.0,2.0,3.0,0.12,0.77,0.12,-0.23,0.0,0.0,2025-07-19,1.0,https://www.flashscore.pl/mecz/pilka-nozna/widzew-lodz-rNOIW3uC/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=OYPnB2qR,OYPnB2qR,283.0,349.0,244.0,311.0,24.0,51.0,16.0,34.0,80.0,119.0,64.0,94.0,4.0,17.0,3.0,14.0,11.0,16.0,8.0,15.0,WID 1-0 ZAG | Widzew Łódź,Zagłębie Lubin,WID,ZAG
2347,WPŁ,KOR,2,0,2025-07-19,64.3,35.7,22.0,5.0,8.0,1.0,3.0,1.0,11.0,3.0,7.0,1.0,12.0,13.0,1.0,4.0,1.0,3.0,0.0,2.0,0.0,1.0,25.0,6.0,6.0,1.0,7.0,5.0,499.0,282.0,436.0,212.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2348,GKS,RCZ,0,1,2025-07-19,49.2,50.8,3.0,18.0,0.0,4.0,1.0,7.0,2.0,7.0,3.0,6.0,7.0,14.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,21.0,2.0,5.0,10.0,9.0,424.0,439.0,345.0,364.0,1,0.17,1.81,49.0,51.0,3.0,18.0,0.0,4.0,0.0,4.0,3.0,6.0,1.0,1.0,0.0,1.0,2.0,7.0,1.0,7.0,2.0,15.0,1.0,3.0,10.0,34.0,2.0,0.0,14.0,7.0,0.12,1.85,7.0,14.0,59.0,51.0,30.0,27.0,4.0,9.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-07-19,1.0,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=Od8Z1b6D,Od8Z1b6D,345.0,424.0,364.0,439.0,32.0,66.0,19.0,46.0,39.0,65.0,108.0,152.0,2.0,16.0,5.0,21.0,10.0,16.0,9.0,16.0,KAT 0-1 RAK | GKS Katowice,Raków Częstochowa,GKS,RCZ
2349,GÓR,LGD,2,1,2025-07-20,52.5,47.5,21.0,15.0,6.0,6.0,5.0,2.0,10.0,7.0,6.0,3.0,8.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,8.0,5.0,5.0,7.0,10.0,430.0,398.0,371.0,329.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,MOT,ARK,1,0,2025-07-20,60.1,39.9,17.0,9.0,5.0,1.0,4.0,3.0,8.0,5.0,8.0,8.0,14.0,11.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,28.0,21.0,4.0,3.0,4.0,5.0,457.0,301.0,375.0,235.0,1,1.92,0.49,60.0,40.0,17.0,9.0,5.0,1.0,4.0,0.0,8.0,8.0,2.0,4.0,0.98,0.08,8.0,5.0,4.0,3.0,12.0,4.0,5.0,5.0,39.0,15.0,3.0,3.0,11.0,14.0,1.58,0.42,14.0,11.0,37.0,46.0,27.0,41.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,0.08,0.98,0.08,-0.02,0.0,0.0,2025-07-20,1.0,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/motor-lublin-IoLk2VlL/szczegoly/statystyki/?mid=2JyvDOEE,2JyvDOEE,375.0,457.0,235.0,301.0,20.0,43.0,18.0,51.0,82.0,119.0,60.0,97.0,4.0,28.0,3.0,21.0,4.0,6.0,5.0,12.0,MOT 1-0 ARK | Motor Lublin,Arka Gdynia,MOT,ARK
2351,LEG,PIA,0,1,2025-07-20,52.7,47.3,9.0,10.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0,14.0,14.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,18.0,12.0,6.0,3.0,16.0,8.0,416.0,380.0,319.0,295.0,1,0.65,0.56,52.0,48.0,10.0,10.0,2.0,3.0,0.0,0.0,5.0,3.0,3.0,1.0,0.18,0.6,4.0,5.0,4.0,2.0,6.0,3.0,4.0,7.0,18.0,12.0,2.0,2.0,14.0,14.0,1.19,0.4,14.0,14.0,54.0,49.0,27.0,30.0,12.0,14.0,1.0,1.0,0.0,0.0,2.0,2.0,0.6,0.18,-0.4,0.18,0.0,0.0,2025-12-14,1.0,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=xtphkLM7,xtphkLM7,321.0,416.0,302.0,388.0,20.0,54.0,21.0,60.0,59.0,101.0,61.0,105.0,6.0,18.0,2.0,11.0,14.0,19.0,9.0,16.0,LEG 0-1 PIA | Legia Warszawa,Piast Gliwice,LEG,PIA
2352,RAD,POG,5,1,2025-07-20,42.8,57.2,15.0,6.0,8.0,1.0,4.0,0.0,3.0,5.0,4.0,4.0,8.0,9.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,18.0,7.0,6.0,5.0,4.0,300.0,403.0,240.0,333.0,1,1.66,1.47,43.0,57.0,15.0,6.0,8.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,2.79,0.37,3.0,5.0,4.0,0.0,11.0,6.0,4.0,0.0,25.0,16.0,2.0,5.0,9.0,8.0,1.27,1.29,8.0,9.0,38.0,32.0,26.0,21.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.37,2.79,-0.63,-2.21,0.0,0.0,2025-07-20,1.0,https://www.flashscore.pl/mecz/pilka-nozna/pogon-szczecin-Um9YwPQ0/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=jqAR3Ky1,jqAR3Ky1,240.0,300.0,333.0,403.0,15.0,42.0,22.0,47.0,67.0,101.0,46.0,87.0,7.0,15.0,6.0,18.0,5.0,7.0,4.0,7.0,RAD 5-1 POG | Radomiak Radom,Pogoń Szczecin,RAD,POG
2353,ARK,RAD,1,1,2025-07-25,48.9,51.1,10.0,15.0,4.0,3.0,1.0,2.0,5.0,10.0,5.0,4.0,16.0,12.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,16.0,14.0,4.0,1.0,9.0,13.0,319.0,334.0,251.0,266.0,2,0.76,0.84,49.0,51.0,10.0,15.0,4.0,3.0,2.0,1.0,5.0,4.0,1.0,3.0,0.9,1.15,5.0,10.0,1.0,2.0,7.0,9.0,3.0,6.0,17.0,20.0,3.0,2.0,12.0,16.0,0.47,0.55,16.0,12.0,44.0,63.0,34.0,35.0,6.0,7.0,0.0,1.0,0.0,0.0,2.0,3.0,1.15,0.9,0.15,-0.1,0.0,0.0,2025-07-25,2.0,https://www.flashscore.pl/mecz/pilka-nozna/arka-gdynia-feEez0Ei/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=G4rf5XC5,G4rf5XC5,251.0,319.0,266.0,334.0,18.0,54.0,28.0,47.0,49.0,90.0,78.0,112.0,4.0,16.0,1.0,14.0,9.0,16.0,13.0,21.0,ARK 1-1 RAD | Arka Gdynia,Radomiak Radom,ARK,RAD
