druzyna,n_mecze,gole_str,gole_strac,avg_str,avg_strac,atak_surowy,atak_MLE,delta_atak,obrona_surowa,obrona_MLE,delta_obrona
Lechia Gdańsk,68,106,124,1.559,1.824,1.174,1.2738,0.0998,1.3734,1.3108,-0.0626
Radomiak Radom,102,141,163,1.382,1.598,1.0411,1.1174,0.0763,1.2036,1.1253,-0.0783
Lech Poznań,102,177,117,1.735,1.147,1.3069,1.3828,0.0759,0.8639,0.843,-0.0209
Bruk-Bet Termalica Nieciecza,34,43,65,1.265,1.912,0.9525,1.0025,0.05,1.4399,1.3485,-0.0914
ŁKS Łódź,34,34,75,1.0,2.206,0.7532,0.7966,0.0434,1.6614,1.613,-0.0484
Motor Lublin,68,94,112,1.382,1.647,1.0411,1.0819,0.0408,1.2405,1.1505,-0.09
GKS Katowice,68,100,92,1.471,1.353,1.1076,1.1455,0.0379,1.019,0.9538,-0.0652
Górnik Zabrze,102,138,118,1.353,1.157,1.019,1.0546,0.0356,0.8713,0.8137,-0.0576
Arka Gdynia,34,34,61,1.0,1.794,0.7532,0.7879,0.0347,1.3512,1.2507,-0.1005
Piast Gliwice,102,117,117,1.147,1.147,0.8639,0.8948,0.0309,0.8639,0.8411,-0.0228
Puszcza Niepołomice,68,76,112,1.118,1.647,0.8418,0.8725,0.0307,1.2405,1.2047,-0.0358
Zagłębie Lubin,102,121,139,1.186,1.363,0.8934,0.9233,0.0299,1.0264,0.9264,-0.1
Ruch Chorzów,34,40,55,1.176,1.618,0.8861,0.9132,0.0271,1.2183,1.1908,-0.0275
Stal Mielec,68,81,104,1.191,1.529,0.8971,0.9216,0.0245,1.1519,1.1074,-0.0445
Korona Kielce,102,117,129,1.147,1.265,0.8639,0.8839,0.02,0.9525,0.879,-0.0735
Wisła Płock,34,34,38,1.0,1.118,0.7532,0.7657,0.0125,0.8418,0.7782,-0.0636
Widzew Łódź,102,124,136,1.216,1.333,0.9156,0.9265,0.0109,1.0042,0.9266,-0.0776
Cracovia,102,142,141,1.392,1.382,1.0485,1.0592,0.0107,1.0411,0.9713,-0.0698
Warta Poznań,34,33,43,0.971,1.265,0.731,0.7413,0.0103,0.9525,0.9219,-0.0306
Raków Częstochowa,102,156,102,1.529,1.0,1.1519,1.1576,0.0057,0.7532,0.7182,-0.035
Legia Warszawa,102,153,121,1.5,1.186,1.1297,1.1242,-0.0055,0.8934,0.8408,-0.0526
Pogoń Szczecin,102,165,127,1.618,1.245,1.2183,1.2111,-0.0072,0.9378,0.9263,-0.0115
Śląsk Wrocław,68,88,84,1.294,1.235,0.9747,0.9641,-0.0106,0.9304,0.9409,0.0105
Jagiellonia Białystok,102,189,128,1.853,1.255,1.3955,1.3612,-0.0343,0.9451,0.8956,-0.0495
