kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away,jest_beniaminek,ben_druzyna,n_mecze_ben,waga_priora,p_h_cal,p_d_cal,p_a_cal,wynik_pred_cal,ll_cal
1,Jagiellonia Białystok,Bruk-Bet Termalica Nieciecza,612,0,4,4,A,0,1,1,1,1,2.2695,0.8408,3.1103,0.6963,0.18,0.1237,H,0,2.0899,0.5099,0.0446,0.1833,0.399,0.6226,0.9554,0.8167,0.601,0.3774,2.2695,3.1592,1,Bruk-Bet Termalica Nieciecza,0.0,1.0,0.5391727477680077,0.25339274972819864,0.2074345025037935,H,1.5729396397236433
1,Lech Poznań,Cracovia,612,1,4,5,A,1,1,1,1,1,2.1715,1.0401,3.2116,0.6313,0.1976,0.1711,H,0,1.7655,0.5729,0.0403,0.1697,0.3775,0.6,0.9597,0.8303,0.6225,0.4,1.1715,2.9599,0,,,,0.5132352695443555,0.25788609794507206,0.22887863251057242,H,1.474563404958531
1,Widzew Łódź,Zagłębie Lubin,612,1,0,1,H,0,1,0,0,0,1.4555,0.9648,2.4203,0.4848,0.265,0.2502,H,1,0.724,0.4745,0.0889,0.3041,0.5644,0.7745,0.9111,0.6959,0.4356,0.2255,0.4555,0.9648,0,,,,0.46100133142177413,0.2814940858085272,0.2575045827696987,H,0.7743543478730124
1,Wisła Płock,Korona Kielce,612,2,0,2,H,0,1,1,0,0,1.096,1.0452,2.1412,0.365,0.296,0.3391,H,1,1.0079,0.4317,0.1175,0.3691,0.6385,0.8308,0.8825,0.6309,0.3615,0.1692,0.904,1.0452,1,Wisła Płock,0.0,1.0,0.41894533150604857,0.29364378645959077,0.28741088203436066,H,0.8700148413050182
1,GKS Katowice,Raków Częstochowa,612,0,1,1,A,0,1,0,0,0,1.0239,1.3036,2.3275,0.2924,0.2782,0.4294,A,1,0.8454,0.4668,0.0975,0.3246,0.5888,0.7937,0.9025,0.6754,0.4112,0.2063,1.0239,0.3036,0,,,,0.3927250949942443,0.2910780636011417,0.31619684140461396,H,1.151390343489378
1,Górnik Zabrze,Lechia Gdańsk,612,2,1,3,H,1,1,1,1,0,1.7997,0.98,2.7797,0.5663,0.2304,0.2034,H,1,0.5687,0.5214,0.0621,0.2346,0.4743,0.6965,0.9379,0.7654,0.5257,0.3035,0.2003,0.02,0,,,,0.489522492639326,0.2695883692140856,0.24088913814658836,H,0.7143248678336949
1,Motor Lublin,Arka Gdynia,612,1,0,1,H,0,1,0,0,0,1.7539,1.1117,2.8656,0.5241,0.2354,0.2405,H,1,0.6461,0.5549,0.0569,0.2201,0.454,0.6773,0.9431,0.7799,0.546,0.3227,0.7539,1.1117,1,Arka Gdynia,0.0,1.0,0.47479049404328627,0.2706756449146107,0.2545338610421031,H,0.7448816374173786
1,Legia Warszawa,Piast Gliwice,612,0,1,1,A,0,1,0,0,0,1.4256,0.8807,2.3063,0.4977,0.2699,0.2324,H,0,1.4592,0.4448,0.0996,0.3294,0.5944,0.7981,0.9004,0.6706,0.4056,0.2019,1.4256,0.1193,0,,,,0.4654854022956965,0.2834442454811844,0.25107035222311896,H,1.382022091382114
1,Radomiak Radom,Pogoń Szczecin,612,5,1,6,H,1,1,1,1,1,1.3119,1.7464,3.0583,0.2888,0.2344,0.4769,A,0,1.2421,0.6033,0.047,0.1906,0.4103,0.6342,0.953,0.8094,0.5897,0.3658,3.6881,0.7464,0,,,,0.39370713067496294,0.2760343667417489,0.33025850258328826,H,0.9321479692458349
2,Arka Gdynia,Radomiak Radom,621,1,1,2,D,1,1,1,0,0,0.6743,0.4092,1.0835,0.3675,0.4384,0.1941,D,1,0.8245,0.1647,0.3384,0.7051,0.9037,0.9755,0.6616,0.2949,0.0963,0.0245,0.3257,0.5908,1,Arka Gdynia,1.0,0.9091,0.42278290215540243,0.33914326417255486,0.23807383367204266,H,1.0813326526967442
