player_slug,klub_slug,nazwa,season,source_file,slug_tokens,slug_first,slug_last,slug_nonfirst,slug_full_compact,slug_nonfirst_compact,slug_token_count
andreas-skovgaard-larsen,cracovia,Andreas Skovgaard LarsenCracovia,2023/24,pole_asysty.csv,"['andreas', 'skovgaard', 'larsen']",andreas,larsen,skovgaard-larsen,andreasskovgaardlarsen,skovgaardlarsen,3
arttu-hoskonen,cracovia,Arttu HoskonenCracovia,2023/24,pole_celne-strzaly.csv,"['arttu', 'hoskonen']",arttu,hoskonen,hoskonen,arttuhoskonen,hoskonen,2
bartomiej-kolec,cracovia,Bartłomiej KolecCracovia,2023/24,pole_kluczowe-podania.csv,"['bartomiej', 'kolec']",bartomiej,kolec,kolec,bartomiejkolec,kolec,2
benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,2023/24,pole_asysty.csv,"['benjamin', 'kallman']",benjamin,kallman,kallman,benjaminkallman,kallman,2
cornel-rapa,cracovia,Cornel Emilian RâpăCracovia,2023/24,pole_asysty.csv,"['cornel', 'rapa']",cornel,rapa,rapa,cornelrapa,rapa,2
davi-kristjan-olafsson,cracovia,Davíð Kristján ÓlafssonCracovia,2023/24,pole_asysty.csv,"['davi', 'kristjan', 'olafsson']",davi,olafsson,kristjan-olafsson,davikristjanolafsson,kristjanolafsson,3
eneo-bitri,cracovia,Eneo BitriCracovia,2023/24,pole_celne-strzaly.csv,"['eneo', 'bitri']",eneo,bitri,bitri,eneobitri,bitri,2
fabian-bzdyl,cracovia,Fabian BzdylCracovia,2023/24,pole_minuty.csv,"['fabian', 'bzdyl']",fabian,bzdyl,bzdyl,fabianbzdyl,bzdyl,2
filip-rozga,cracovia,Filip Jan RózgaCracovia,2023/24,pole_asysty.csv,"['filip', 'rozga']",filip,rozga,rozga,filiprozga,rozga,2
jakub-jugas,cracovia,Jakub JugasCracovia,2023/24,pole_celne-strzaly.csv,"['jakub', 'jugas']",jakub,jugas,jugas,jakubjugas,jugas,2
jakub-myszor,cracovia,Jakub MyszorCracovia,2023/24,pole_celne-strzaly.csv,"['jakub', 'myszor']",jakub,myszor,myszor,jakubmyszor,myszor,2
jani-atanasov,cracovia,Jani AtanasovCracovia,2023/24,pole_asysty.csv,"['jani', 'atanasov']",jani,atanasov,atanasov,janiatanasov,atanasov,2
