player_slug,seasons,clubs,club_count,season_count,first_season,last_season,sample_name,season_club_path
dawid-abramowicz,2023/24 | 2024/25 | 2025/26,arka-gdynia | puszcza-niepolomice | radomiak-radom,3,3,2023/24,2025/26,Dawid AbramowiczRadomiak Radom,2023/24:radomiak-radom || 2024/25:puszcza-niepolomice || 2025/26:arka-gdynia
filip-rejczyk,2023/24 | 2024/25 | 2025/26,gks-katowice | legia-warszawa | slask-wroclaw,3,3,2023/24,2025/26,Filip RejczykLegia Warszawa,2023/24:legia-warszawa || 2024/25:slask-wroclaw || 2025/26:gks-katowice
jakub-ukowski,2023/24 | 2024/25 | 2025/26,gks-katowice | korona-kielce | widzew-lodz,3,3,2023/24,2025/26,Jakub ŁukowskiKorona Kielce,2023/24:korona-kielce || 2024/25:widzew-lodz || 2025/26:gks-katowice
maksymilian-pingot,2023/24 | 2024/25 | 2025/26,gornik-zabrze | lech-poznan | stal-mielec,3,3,2023/24,2025/26,Maksymilian PingotStal Mielec,2023/24:stal-mielec || 2024/25:lech-poznan || 2025/26:gornik-zabrze
marcin-cebula,2023/24 | 2024/25 | 2025/26,korona-kielce | rakow-czestochowa | slask-wroclaw,3,3,2023/24,2025/26,Marcin CebulaRaków Częstochowa,2023/24:rakow-czestochowa || 2024/25:slask-wroclaw || 2025/26:korona-kielce
mariusz-fornalczyk,2023/24 | 2024/25 | 2025/26,korona-kielce | pogon-szczecin | widzew-lodz,3,3,2023/24,2025/26,Mariusz FornalczykPogoń Szczecin,2023/24:pogon-szczecin || 2024/25:korona-kielce || 2025/26:widzew-lodz
serafin-jan-szota,2023/24 | 2024/25 | 2025/26,arka-gdynia | slask-wroclaw | widzew-lodz,3,3,2023/24,2025/26,Serafin Jan SzotaWidzew Łódź,2023/24:widzew-lodz || 2024/25:slask-wroclaw || 2025/26:arka-gdynia
adam-zrelak,2023/24 | 2024/25 | 2025/26,gks-katowice | warta-poznan,2,3,2023/24,2025/26,Adam ZreľákWarta Poznań,2023/24:warta-poznan || 2024/25:gks-katowice || 2025/26:gks-katowice
adrian-dalmau-vaquer,2023/24 | 2024/25 | 2025/26,korona-kielce | piast-gliwice,2,3,2023/24,2025/26,Adrián Dalmau VaquerKorona Kielce,2023/24:korona-kielce || 2024/25:korona-kielce || 2025/26:piast-gliwice
adrian-dieguez-grande,2023/24 | 2024/25 | 2025/26,jagiellonia-bialystok | radomiak-radom,2,3,2023/24,2025/26,Adrián Diéguez GrandeJagiellonia Białystok,2023/24:jagiellonia-bialystok || 2024/25:jagiellonia-bialystok || 2025/26:radomiak-radom
alan-czerwinski,2023/24 | 2024/25 | 2025/26,gks-katowice | lech-poznan,2,3,2023/24,2025/26,Alan CzerwińskiLech Poznań,2023/24:lech-poznan || 2024/25:gks-katowice || 2025/26:gks-katowice
aleksander-buksa,2024/25 | 2025/26,gks-katowice | gornik-zabrze,2,2,2024/25,2025/26,Aleksander BuksaGórnik Zabrze,2024/25:gornik-zabrze || 2025/26:gks-katowice
aleksander-paluszek,2023/24 | 2024/25 | 2025/26,gks-katowice | slask-wroclaw,2,3,2023/24,2025/26,Aleksander PaluszekŚląsk Wrocław,2023/24:slask-wroclaw || 2024/25:slask-wroclaw || 2025/26:gks-katowice
alvis-jaunzems,2023/24 | 2024/25 | 2025/26,lechia-gdansk | stal-mielec,2,3,2023/24,2025/26,Alvis JaunzemsStal Mielec,2023/24:stal-mielec || 2024/25:stal-mielec || 2025/26:lechia-gdansk
antoni-klimek,2023/24 | 2024/25,puszcza-niepolomice | widzew-lodz,2,2,2023/24,2024/25,Antoni KlimekWidzew Łódź,2023/24:widzew-lodz || 2024/25:puszcza-niepolomice
antoni-klukowski,2024/25 | 2025/26,pogon-szczecin | widzew-lodz,2,2,2024/25,2025/26,Antoni KlukowskiPogoń Szczecin,2024/25:pogon-szczecin || 2025/26:widzew-lodz
ariel-pawe-mosor,2023/24 | 2024/25 | 2025/26,piast-gliwice | rakow-czestochowa,2,3,2023/24,2025/26,Ariel Paweł MosórPiast Gliwice,2023/24:piast-gliwice || 2024/25:piast-gliwice || 2025/26:rakow-czestochowa
aurelien-thomas-nguiamba,2023/24 | 2024/25 | 2025/26,arka-gdynia | jagiellonia-bialystok,2,3,2023/24,2025/26,Aurélien Thomas NguiambaJagiellonia Białystok,2023/24:jagiellonia-bialystok || 2024/25:jagiellonia-bialystok || 2025/26:arka-gdynia
bartomiej-kudka,2023/24 | 2024/25 | 2025/26,lechia-gdansk | zagebie-lubin,2,3,2023/24,2025/26,Bartłomiej KłudkaKGHM Zagłębie Lubin,2023/24:zagebie-lubin || 2024/25:zagebie-lubin || 2025/26:lechia-gdansk
bartosz-kopacz,2023/24 | 2024/25 | 2025/26,nieciecza | zagebie-lubin,2,3,2023/24,2025/26,Bartosz KopaczKGHM Zagłębie Lubin,2023/24:zagebie-lubin || 2024/25:zagebie-lubin || 2025/26:nieciecza
bartosz-nowak,2023/24 | 2024/25 | 2025/26,gks-katowice | rakow-czestochowa,2,3,2023/24,2025/26,Bartosz NowakRaków Częstochowa,2023/24:rakow-czestochowa || 2024/25:rakow-czestochowa || 2025/26:gks-katowice
bojan-nastic,2023/24 | 2025/26,jagiellonia-bialystok | wisla-plock,2,2,2023/24,2025/26,Bojan NastićJagiellonia Białystok,2023/24:jagiellonia-bialystok || 2025/26:wisla-plock
damian-rasak,2023/24 | 2024/25 | 2025/26,gks-katowice | gornik-zabrze,2,3,2023/24,2025/26,Damian RasakGórnik Zabrze,2023/24:gornik-zabrze || 2024/25:gornik-zabrze || 2025/26:gks-katowice
daniel-pacheco-lobato,2023/24 | 2025/26,gornik-zabrze | wisla-plock,2,2,2023/24,2025/26,Dani PachecoGórnik Zabrze,2023/24:gornik-zabrze || 2025/26:wisla-plock
dawid-drachal,2023/24 | 2024/25 | 2025/26,jagiellonia-bialystok | rakow-czestochowa,2,3,2023/24,2025/26,Dawid DrachalRaków Częstochowa,2023/24:rakow-czestochowa || 2024/25:rakow-czestochowa || 2025/26:jagiellonia-bialystok
dawid-kurminowski,2023/24 | 2024/25 | 2025/26,lechia-gdansk | zagebie-lubin,2,3,2023/24,2025/26,Dawid KurminowskiKGHM Zagłębie Lubin,2023/24:zagebie-lubin || 2024/25:zagebie-lubin || 2025/26:lechia-gdansk
dawid-szymonowicz,2023/24 | 2024/25,puszcza-niepolomice | warta-poznan,2,2,2023/24,2024/25,Dawid SzymonowiczWarta Poznań,2023/24:warta-poznan || 2024/25:puszcza-niepolomice
dawid-tkacz,2023/24 | 2024/25,stal-mielec | widzew-lodz,2,2,2023/24,2024/25,Dawid TkaczWidzew Łódź,2023/24:widzew-lodz || 2024/25:stal-mielec
dominick-lukasz-zator,2023/24 | 2024/25 | 2025/26,arka-gdynia | korona-kielce,2,3,2023/24,2025/26,Dominick Lukasz ZatorKorona Kielce,2023/24:korona-kielce || 2024/25:korona-kielce || 2025/26:arka-gdynia
dominik-hadun,2023/24 | 2024/25 | 2025/26,legia-warszawa | zagebie-lubin,2,3,2023/24,2025/26,Dominik HładunLegia Warszawa,2023/24:legia-warszawa || 2024/25:zagebie-lubin || 2025/26:zagebie-lubin
dominik-kun,2023/24 | 2025/26,widzew-lodz | wisla-plock,2,2,2023/24,2025/26,Dominik KunWidzew Łódź,2023/24:widzew-lodz || 2025/26:wisla-plock
dominik-pia,2024/25 | 2025/26,cracovia | lechia-gdansk,2,2,2024/25,2025/26,Dominik PiłaLechia Gdańsk,2024/25:lechia-gdansk || 2025/26:cracovia
dominik-sarapata,2024/25 | 2025/26,gornik-zabrze | wisla-plock,2,2,2024/25,2025/26,Dominik SarapataGórnik Zabrze,2024/25:gornik-zabrze || 2025/26:wisla-plock
filip-borowski,2023/24 | 2025/26,piast-gliwice | warta-poznan,2,2,2023/24,2025/26,Filip BorowskiWarta Poznań,2023/24:warta-poznan || 2025/26:piast-gliwice
filip-majchrowicz,2023/24 | 2024/25 | 2025/26,gornik-zabrze | radomiak-radom,2,3,2023/24,2025/26,Filip MajchrowiczRadomiak Radom,2023/24:radomiak-radom || 2024/25:gornik-zabrze || 2025/26:radomiak-radom
german-barkovskiy,2024/25 | 2025/26,piast-gliwice | puszcza-niepolomice,2,2,2024/25,2025/26,German BarkovskiyPuszcza Niepołomice,2024/25:puszcza-niepolomice || 2025/26:piast-gliwice
henrich-ravas,2023/24 | 2024/25 | 2025/26,cracovia | widzew-lodz,2,3,2023/24,2025/26,Henrich RavasWidzew Łódź,2023/24:widzew-lodz || 2024/25:cracovia || 2025/26:cracovia
igor-strzaek,2023/24 | 2024/25 | 2025/26,legia-warszawa | nieciecza,2,3,2023/24,2025/26,Igor StrzałekLegia Warszawa,2023/24:legia-warszawa || 2024/25:legia-warszawa || 2025/26:nieciecza
ilya-shkurin,2023/24 | 2024/25 | 2025/26,legia-warszawa | stal-mielec,2,3,2023/24,2025/26,Ilya ShkurinStal Mielec,2023/24:stal-mielec || 2024/25:legia-warszawa || 2025/26:legia-warszawa
imad-rondic,2023/24 | 2024/25 | 2025/26,rakow-czestochowa | widzew-lodz,2,3,2023/24,2025/26,Imad RondićWidzew Łódź,2023/24:widzew-lodz || 2024/25:widzew-lodz || 2025/26:rakow-czestochowa
jakub-lewicki,2023/24 | 2024/25 | 2025/26,jagiellonia-bialystok | piast-gliwice,2,3,2023/24,2025/26,Jakub LewickiJagiellonia Białystok,2023/24:jagiellonia-bialystok || 2024/25:piast-gliwice || 2025/26:piast-gliwice
jakub-myszor,2023/24 | 2024/25,cracovia | rakow-czestochowa,2,2,2023/24,2024/25,Jakub MyszorCracovia,2023/24:cracovia || 2024/25:rakow-czestochowa
jakub-sypek,2024/25 | 2025/26,widzew-lodz | zagebie-lubin,2,2,2024/25,2025/26,Jakub SypekWidzew Łódź,2024/25:widzew-lodz || 2025/26:zagebie-lubin
jani-atanasov,2023/24 | 2024/25 | 2025/26,cracovia | puszcza-niepolomice,2,3,2023/24,2025/26,Jani AtanasovCracovia,2023/24:cracovia || 2024/25:puszcza-niepolomice || 2025/26:cracovia
jarosaw-kubicki,2023/24 | 2024/25 | 2025/26,gornik-zabrze | jagiellonia-bialystok,2,3,2023/24,2025/26,Jarosław KubickiJagiellonia Białystok,2023/24:jagiellonia-bialystok || 2024/25:jagiellonia-bialystok || 2025/26:gornik-zabrze
jedrzej-grobelny,2023/24 | 2025/26,arka-gdynia | warta-poznan,2,2,2023/24,2025/26,Jędrzej GrobelnyWarta Poznań,2023/24:warta-poznan || 2025/26:arka-gdynia
