mid,text,href
tW2fuUUP,02.08. 20:15 GKS Katowice Radomiak Radom 3 1,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/radomiak-radom-zD5nYhAT/?mid=tW2fuUUP
CEgQZ7hm,02.08. 17:30 Śląsk Wrocław Raków Częstochowa 2 1,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/slask-wroclaw-E1Oxemse/?mid=CEgQZ7hm
lxG8HQxJ,02.08. 14:45 Legia Warszawa Zagłębie Lubin 3 1,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/zaglebie-lubin-tlYOere0/?mid=lxG8HQxJ
feEhL8wf,01.08. 17:30 Wieczysta Kraków Lech Poznań 1 2,https://www.flashscore.pl/mecz/pilka-nozna/ks-wieczysta-krakow-ImhQf1z6/lech-poznan-OpNH7Ouf/?mid=feEhL8wf
IBdYXoNa,01.08. 14:45 Piast Gliwice Wisła Kraków 4 3,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/wisla-krakow-rob20Q2Q/?mid=IBdYXoNa
jaPESjoK,31.07. 20:30 Motor Lublin Jagiellonia Białystok 1 2,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/motor-lublin-IoLk2VlL/?mid=jaPESjoK
jPftWPiC,31.07. 18:00 Wisła Płock Widzew Łódź 0 0,https://www.flashscore.pl/mecz/pilka-nozna/widzew-lodz-rNOIW3uC/wisla-plock-QoZYVU3E/?mid=jPftWPiC
juZK69O0,27.07. 19:00 Zagłębie Lubin Piast Gliwice 2 0,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/zaglebie-lubin-tlYOere0/?mid=juZK69O0
21B0E0Q9,26.07. 20:15 Wisła Kraków GKS Katowice 2 1,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/wisla-krakow-rob20Q2Q/?mid=21B0E0Q9
KKjYSau3,26.07. 17:30 Widzew Łódź Motor Lublin 2 2,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/widzew-lodz-rNOIW3uC/?mid=KKjYSau3
hEbn5dmd,26.07. 14:45 Raków Częstochowa Wisła Płock 1 2,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/wisla-plock-QoZYVU3E/?mid=hEbn5dmd
OhXS4mgD,25.07. 20:15 Lech Poznań Cracovia 0 0,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/lech-poznan-OpNH7Ouf/?mid=OhXS4mgD
bXGD8Vgl,25.07. 17:30 Górnik Zabrze Śląsk Wrocław 2 1,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/slask-wroclaw-E1Oxemse/?mid=bXGD8Vgl
hYltRwAF,25.07. 14:45 Jagiellonia Białystok Korona Kielce 1 0,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/korona-kielce-pp78XcbA/?mid=hYltRwAF
6c0v7IIq,24.07. 20:30 Pogoń Szczecin Legia Warszawa 0 1,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/pogon-szczecin-Um9YwPQ0/?mid=6c0v7IIq
ARE8CveM,24.07. 18:00 Radomiak Radom Wieczysta Kraków 2 1,https://www.flashscore.pl/mecz/pilka-nozna/ks-wieczysta-krakow-ImhQf1z6/radomiak-radom-zD5nYhAT/?mid=ARE8CveM
