match_id,sezon,waga_sezonu,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,xg_gosp,xg_gosc,flash_id,flash_url
2014,2024/25,0.7,1,2024-07-19,Jagiellonia Białystok,Puszcza Niepołomice,2,0,67.8,32.2,20,9,7,2,6,3,7,4,6,0,9,24,1,4,3,3,0,0,0,0,27,9,4,4,10,12,536,258,467,188,2.69,0.89,CCPtlaaU,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/puszcza-dtqx13O8/szczegoly/statystyki/?mid=CCPtlaaU
2015,2024/25,0.7,1,2024-07-19,Śląsk Wrocław,Lechia Gdańsk,1,1,60.4,39.6,20,3,5,2,6,1,9,0,12,1,12,6,1,2,3,1,0,0,0,0,32,3,9,0,8,21,474,332,410,251,2.11,0.18,2ctRKuUi,https://www.flashscore.pl/mecz/pilka-nozna/lechia-gdansk-GGLmkiK8/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=2ctRKuUi
2016,2024/25,0.7,1,2024-07-20,GKS Katowice,Radomiak Radom,1,2,52.1,47.9,18,15,7,3,5,5,6,7,5,3,7,16,1,0,1,5,0,0,0,0,30,17,7,4,10,8,375,356,314,282,1.9,1.3,4nMYkLUH,https://www.flashscore.pl/mecz/pilka-nozna/gks-katowice-K4AgRmS1/radomiak-radom-zD5nYhAT/szczegoly/statystyki/?mid=4nMYkLUH
2017,2024/25,0.7,1,2024-07-20,Pogoń Szczecin,Korona Kielce,3,0,50.7,49.3,17,11,6,2,5,2,6,7,5,5,13,14,1,1,1,3,0,0,0,0,19,21,3,3,8,11,397,386,336,307,2.32,0.47,jJC82bEN,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=jJC82bEN
2018,2024/25,0.7,1,2024-07-20,Legia Warszawa,Zagłębie Lubin,2,0,55.9,44.1,19,6,3,1,5,1,11,4,3,1,12,12,1,0,1,0,0,1,0,0,28,7,7,0,5,11,446,367,368,272,1.28,0.19,Ojga6tFb,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=Ojga6tFb
2019,2024/25,0.7,1,2024-07-21,Cracovia,Piast Gliwice,1,1,52.0,48.0,3,23,1,4,0,3,2,16,0,6,14,12,0,2,3,1,0,0,0,0,5,17,1,8,5,12,456,411,367,322,1.11,1.23,rXXPis05,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/piast-gliwice-ve2oT9ck/szczegoly/statystyki/?mid=rXXPis05
2020,2024/25,0.7,1,2024-07-21,Lech Poznań,Górnik Zabrze,2,0,48.8,51.2,17,6,5,3,5,0,7,3,4,2,15,7,1,2,1,2,0,0,0,0,17,11,7,3,17,8,451,478,391,420,2.26,0.34,jwei82pn,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/lech-poznan-OpNH7Ouf/szczegoly/statystyki/?mid=jwei82pn
2021,2024/25,0.7,1,2024-07-21,Motor Lublin,Raków Częstochowa,0,2,49.7,50.3,10,16,2,7,3,6,5,3,4,8,7,21,0,1,1,3,0,0,0,0,10,11,3,2,9,14,349,367,267,287,0.47,1.34,rg904KqB,https://www.flashscore.pl/mecz/pilka-nozna/motor-lublin-IoLk2VlL/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=rg904KqB
2022,2024/25,0.7,1,2024-07-22,Stal Mielec,Widzew Łódź,1,1,48.0,52.0,9,12,4,4,0,4,5,4,1,1,13,12,0,6,2,2,0,1,0,1,18,23,6,1,8,8,417,454,323,378,0.89,1.03,zilucxxo,https://www.flashscore.pl/mecz/pilka-nozna/stal-mielec-pxXiDZkQ/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=zilucxxo
2023,2024/25,0.7,2,2024-07-26,Puszcza Niepołomice,Górnik Zabrze,2,2,40.3,59.7,9,16,3,8,2,3,4,5,4,2,10,8,1,0,1,2,0,0,0,0,17,15,6,4,10,9,368,551,297,483,0.76,0.84,xGf9XIDc,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/puszcza-dtqx13O8/szczegoly/statystyki/?mid=xGf9XIDc
