match_id,sezon,waga_sezonu,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,xg_gosp,xg_gosc,flash_id,flash_url
1684,2023/24,0.4,1,2023-07-21,Warta Poznań,Pogoń Szczecin,0,1,29.1,70.9,9.0,12.0,1.0,3.0,5.0,3.0,3.0,6.0,6.0,5.0,12.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,20.0,5.0,5.0,9.0,10.0,251.0,647.0,169.0,552.0,,,,
1685,2023/24,0.4,1,2023-07-21,Legia Warszawa,ŁKS Łódź,3,0,59.2,40.8,18.0,7.0,9.0,1.0,3.0,2.0,6.0,4.0,8.0,4.0,8.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,7.0,3.0,18.0,10.0,508.0,344.0,455.0,278.0,,,,
1686,2023/24,0.4,1,2023-07-22,Stal Mielec,Cracovia,2,2,48.9,51.1,8.0,20.0,4.0,8.0,0.0,6.0,4.0,6.0,4.0,8.0,12.0,11.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,14.0,26.0,3.0,9.0,5.0,10.0,367.0,378.0,282.0,298.0,,,,
1687,2023/24,0.4,1,2023-07-22,Raków Częstochowa,Jagiellonia Białystok,3,0,56.6,43.4,11.0,7.0,6.0,1.0,2.0,1.0,3.0,5.0,8.0,4.0,11.0,12.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,8.0,3.0,3.0,9.0,11.0,525.0,404.0,446.0,323.0,,,,
1688,2023/24,0.4,1,2023-07-22,Piast Gliwice,Lech Poznań,1,2,39.8,60.2,15.0,7.0,5.0,2.0,3.0,3.0,7.0,2.0,4.0,1.0,9.0,20.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,25.0,15.0,3.0,4.0,8.0,11.0,358.0,561.0,252.0,472.0,,,,
1689,2023/24,0.4,1,2023-07-23,Górnik Zabrze,Radomiak Radom,0,2,51.3,48.7,4.0,20.0,0.0,4.0,1.0,3.0,3.0,13.0,2.0,9.0,20.0,17.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,3.0,5.0,7.0,11.0,434.0,403.0,345.0,323.0,,,,
1690,2023/24,0.4,1,2023-07-23,Zagłębie Lubin,Ruch Chorzów,2,1,63.3,36.7,16.0,6.0,3.0,1.0,7.0,0.0,6.0,5.0,4.0,1.0,13.0,15.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,16.0,15.0,2.0,2.0,5.0,9.0,537.0,305.0,437.0,211.0,,,,
1691,2023/24,0.4,1,2023-07-23,Widzew Łódź,Puszcza Niepołomice,3,2,58.6,41.4,12.0,14.0,6.0,4.0,3.0,6.0,3.0,4.0,5.0,1.0,17.0,9.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,4.0,6.0,3.0,4.0,489.0,338.0,381.0,243.0,,,,
1692,2023/24,0.4,1,2023-07-24,Korona Kielce,Śląsk Wrocław,1,1,57.4,42.6,11.0,4.0,5.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,11.0,11.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,28.0,20.0,5.0,4.0,6.0,5.0,462.0,341.0,369.0,242.0,,,,
1693,2023/24,0.4,2,2023-07-29,Jagiellonia Białystok,Puszcza Niepołomice,4,1,61.0,39.0,12.0,11.0,6.0,6.0,1.0,0.0,5.0,5.0,5.0,4.0,11.0,21.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,26.0,2.0,5.0,10.0,13.0,449.0,271.0,372.0,193.0,,,,
1694,2023/24,0.4,2,2023-07-28,Ruch Chorzów,ŁKS Łódź,2,0,40.0,60.0,14.0,17.0,5.0,2.0,3.0,7.0,6.0,8.0,4.0,9.0,19.0,16.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,16.0,21.0,5.0,3.0,9.0,6.0,305.0,463.0,229.0,373.0,,,,
1695,2023/24,0.4,2,2023-07-29,Warta Poznań,Górnik Zabrze,2,0,29.7,70.3,12.0,12.0,3.0,1.0,2.0,6.0,7.0,5.0,7.0,5.0,12.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,28.0,6.0,7.0,6.0,9.0,255.0,597.0,162.0,522.0,,,,
1696,2023/24,0.4,2,2024-03-13,Korona Kielce,Raków Częstochowa,0,2,53.8,46.2,19.0,11.0,3.0,4.0,6.0,1.0,10.0,6.0,6.0,1.0,12.0,20.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,21.0,8.0,4.0,1.0,12.0,6.0,408.0,361.0,284.0,254.0,,,,
1697,2023/24,0.4,2,2023-07-29,Śląsk Wrocław,Zagłębie Lubin,1,2,54.5,45.5,21.0,7.0,6.0,5.0,7.0,1.0,8.0,1.0,6.0,6.0,11.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,16.0,7.0,1.0,6.0,5.0,421.0,361.0,355.0,295.0,,,,
1698,2023/24,0.4,2,2023-07-30,Pogoń Szczecin,Widzew Łódź,2,1,57.4,42.6,25.0,10.0,9.0,2.0,11.0,4.0,5.0,4.0,16.0,7.0,10.0,10.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,15.0,7.0,0.0,2.0,6.0,457.0,351.0,389.0,275.0,,,,
1699,2023/24,0.4,2,2023-07-30,Lech Poznań,Radomiak Radom,2,0,47.6,52.4,15.0,13.0,7.0,3.0,3.0,0.0,5.0,10.0,3.0,3.0,19.0,12.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,14.0,24.0,5.0,6.0,13.0,13.0,408.0,443.0,318.0,353.0,,,,
1700,2023/24,0.4,2,2023-12-20,Cracovia,Legia Warszawa,2,0,34.6,65.4,13.0,17.0,2.0,1.0,8.0,8.0,3.0,8.0,4.0,6.0,19.0,13.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,10.0,23.0,3.0,7.0,12.0,4.0,247.0,460.0,157.0,371.0,,,,
1701,2023/24,0.4,2,2023-07-30,Stal Mielec,Piast Gliwice,0,0,43.0,57.0,8.0,24.0,2.0,3.0,1.0,8.0,5.0,13.0,1.0,10.0,18.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,37.0,2.0,14.0,4.0,7.0,361.0,465.0,269.0,382.0,,,,
1702,2023/24,0.4,3,2023-08-04,Jagiellonia Białystok,Widzew Łódź,2,1,55.4,44.6,15.0,9.0,2.0,3.0,8.0,4.0,5.0,2.0,3.0,4.0,11.0,14.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,18.0,2.0,1.0,17.0,10.0,489.0,384.0,407.0,301.0,,,,
1703,2023/24,0.4,3,2023-08-04,ŁKS Łódź,Korona Kielce,2,1,42.5,57.5,7.0,20.0,3.0,4.0,1.0,7.0,3.0,9.0,2.0,5.0,24.0,19.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,12.0,35.0,3.0,7.0,9.0,15.0,355.0,465.0,277.0,377.0,,,,
1704,2023/24,0.4,3,2023-08-05,Raków Częstochowa,Warta Poznań,2,2,73.2,26.8,15.0,13.0,7.0,5.0,5.0,2.0,3.0,6.0,8.0,5.0,10.0,16.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,11.0,11.0,4.0,6.0,13.0,539.0,202.0,455.0,103.0,,,,
1705,2023/24,0.4,3,2023-08-05,Górnik Zabrze,Piast Gliwice,0,0,52.9,47.1,7.0,9.0,2.0,0.0,1.0,4.0,4.0,5.0,6.0,4.0,17.0,25.0,2.0,1.0,5.0,4.0,1.0,0.0,1.0,0.0,19.0,15.0,3.0,5.0,8.0,14.0,404.0,360.0,305.0,261.0,,,,
1706,2023/24,0.4,3,2023-08-05,Radomiak Radom,Cracovia,0,1,66.3,33.7,28.0,10.0,4.0,4.0,7.0,3.0,17.0,3.0,6.0,0.0,8.0,13.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,8.0,17.0,1.0,6.0,11.0,522.0,282.0,425.0,184.0,,,,
1707,2023/24,0.4,3,2023-08-30,Pogoń Szczecin,Śląsk Wrocław,0,2,65.9,34.1,15.0,6.0,2.0,3.0,6.0,2.0,7.0,1.0,4.0,1.0,9.0,10.0,2.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,20.0,9.0,8.0,1.0,9.0,7.0,516.0,268.0,427.0,183.0,,,,
1708,2023/24,0.4,3,2023-08-06,Zagłębie Lubin,Lech Poznań,1,1,47.4,52.6,18.0,11.0,7.0,3.0,5.0,2.0,6.0,6.0,6.0,8.0,12.0,11.0,2.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,21.0,19.0,6.0,4.0,6.0,3.0,434.0,483.0,361.0,404.0,,,,
1709,2023/24,0.4,3,2023-08-06,Legia Warszawa,Ruch Chorzów,3,0,72.8,27.2,24.0,8.0,6.0,1.0,8.0,3.0,10.0,4.0,6.0,4.0,11.0,11.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,19.0,11.0,4.0,2.0,3.0,7.0,626.0,227.0,570.0,163.0,,,,
