flash_team,klub_slug,flash_name,player_slug,match_method
Arka Gdynia,arka-gdynia,Abramowicz D.,dawid-abramowicz,existing_mapping
Arka Gdynia,arka-gdynia,Celestine J.,julien-albert-marc-celestine,existing_mapping
Arka Gdynia,arka-gdynia,Espiau Hernandez E. D.,eduardo-david-espiau-hernandez,existing_mapping
Arka Gdynia,arka-gdynia,Gaprindashvili T.,tornike-gaprindashvili,existing_mapping
Arka Gdynia,arka-gdynia,Gojny D.,dawid-gojny,existing_mapping
Arka Gdynia,arka-gdynia,Grobelny J.,jedrzej-grobelny,existing_mapping
Arka Gdynia,arka-gdynia,Gutkovskis V.,vladislavs-gutkovskis,existing_mapping
Arka Gdynia,arka-gdynia,Hermoso K.,enrique-gomez-hermoso,existing_mapping
Arka Gdynia,arka-gdynia,Jakubczyk K.,kamil-jakubczyk,existing_mapping
Arka Gdynia,arka-gdynia,Kerk S.,sebastian-kerk,existing_mapping
Arka Gdynia,arka-gdynia,Kocyła D.,dawid-kocya,existing_mapping
Arka Gdynia,arka-gdynia,Kubiak O.,oskar-kubiak,existing_mapping
Arka Gdynia,arka-gdynia,Marcjanik M.,micha-piotr-marcjanik,existing_mapping
Arka Gdynia,arka-gdynia,Navarro M.,marc-navarro-ceciliano,existing_mapping
Arka Gdynia,arka-gdynia,Nguiamba A.,aurelien-thomas-nguiamba,existing_mapping
Arka Gdynia,arka-gdynia,Oliveira J.,joao-pedro-abreu-de-oliveira,existing_mapping
Arka Gdynia,arka-gdynia,Perea L.,luis-perea-hernandez,existing_mapping
Arka Gdynia,arka-gdynia,Predenkiewicz M.,marcel-predenkiewicz,existing_mapping
Arka Gdynia,arka-gdynia,Rusyn N.,nazarii-rusyn,existing_mapping
Arka Gdynia,arka-gdynia,Rzuchowski M.,micha-rzuchowski,existing_mapping
Arka Gdynia,arka-gdynia,Sidibe A.,alassane-sidibe,existing_mapping
Arka Gdynia,arka-gdynia,Sobczak S.,szymon-sobczak,existing_mapping
Arka Gdynia,arka-gdynia,Szota S.,serafin-jan-szota,existing_mapping
Arka Gdynia,arka-gdynia,Szysz P.,patryk-konrad-szysz,existing_mapping
Arka Gdynia,arka-gdynia,Vitalucci H.,hide-kengei-vitalucci,existing_mapping
Arka Gdynia,arka-gdynia,Węglarz D.,damian-weglarz,existing_mapping
Arka Gdynia,arka-gdynia,Zator D.,dominick-lukasz-zator,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Ambrosiewicz M.,maciej-ambrosiewicz,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Biniek D.,dominik-andrzej-biniek,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Boboc R.,radu-stefanita-boboc,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Chovan A.,adrian-chovan,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Deisadze D.,diego-deisadze,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Durdov I.,ivan-durdov,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Fassbender M.,morgan-kwasi-fabender,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Guerrero S.,sergio-guerrero-romero,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Hilbrycht D.,damian-hilbrycht,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Isik G.,gabriel-isik,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Jakubik W.,wojciech-jakubik,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Jimenez J.,jesus-jimenez-nunez,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Kasperkiewicz A.,arkadiusz-kasperkiewicz,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Kopacz B.,bartosz-kopacz,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Kubica K.,krzysztof-kubica,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Kurzawa R.,rafa-maciej-kurzawa,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Masoero L.,lucas-gabriel-masoero-masi,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Matysik M.,miosz-matysik,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Mleczko M.,miosz-stefan-mleczko,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Putivtsev A.,artem-putivtsev,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Strzałek I.,igor-strzaek,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Thiago Dombroski,thiago-dombroski-moreira,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Trubeha A.,andrzej-trubeha,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Wolski M.,maciej-wolski,existing_mapping
Bruk-Bet Termalica Nieciecza,nieciecza,Zapolnik K.,kamil-zapolnik,existing_mapping
Cracovia,cracovia,Al Ammari A.,amir-fouad-aboud-al-ammari,existing_mapping
Cracovia,cracovia,Aleksic M.,milan-aleksic,existing_mapping
Cracovia,cracovia,Atanasov J.,jani-atanasov,existing_mapping
Cracovia,cracovia,Batoum J.,jean-florent-batoum-1,existing_mapping
Cracovia,cracovia,Biedrzycki B.,bartosz-biedrzycki,existing_mapping
Cracovia,cracovia,Bogacz W.,wiktor-bogacz,existing_mapping
Cracovia,cracovia,Bzdyl F.,fabian-bzdyl,existing_mapping
Cracovia,cracovia,Charpentier G.,gabriel-andre-joseph-charpentier,existing_mapping
Cracovia,cracovia,Dominguez M.,maxime-dominguez,existing_mapping
Cracovia,cracovia,Glik K.,kamil-jacek-glik,existing_mapping
Cracovia,cracovia,Hasic A.,ajdin-hasic,existing_mapping
Cracovia,cracovia,Henriksson G.,gustav-niklas-henriksson,existing_mapping
Cracovia,cracovia,Janasik P.,patryk-janasik,review_auto_same_club_history
Cracovia,cracovia,Jugas J.,jakub-jugas,review_auto_same_club_history
Cracovia,cracovia,Kakabadze O.,otar-kakabadze,existing_mapping
Cracovia,cracovia,Kameri D.,dijon-kameri,existing_mapping
Cracovia,cracovia,Klich M.,mateusz-andrzej-klich,existing_mapping
Cracovia,cracovia,Knap K.,karol-knap,existing_mapping
Cracovia,cracovia,Madejski S.,sebastian-madejski,existing_mapping
Cracovia,cracovia,Maigaard M.,mikkel-maigaard-jakobsen,existing_mapping
Cracovia,cracovia,Minchev M.,martin-yankov-minchev,existing_mapping
Cracovia,cracovia,Olafsson D.,davi-kristjan-olafsson,existing_mapping
Cracovia,cracovia,Perkovic M.,mauro-perkovic,existing_mapping
Cracovia,cracovia,Piła D.,dominik-pia,existing_mapping
Cracovia,cracovia,Praszelik M.,mateusz-jakub-praszelik,existing_mapping
Cracovia,cracovia,Rakoczy M.,micha-miosz-rakoczy,existing_mapping
Cracovia,cracovia,Ravas H.,henrich-ravas,existing_mapping
Cracovia,cracovia,Sans P.,pau-sans-lopez,existing_mapping
Cracovia,cracovia,Selan B.,beno-selan,existing_mapping
Cracovia,cracovia,Skovgaard A.,andreas-skovgaard-larsen,manual_accept_review_high_confidence
Cracovia,cracovia,Stojilkovic F.,filip-stojilkovic,existing_mapping
Cracovia,cracovia,Sutalo B.,bosko-sutalo,existing_mapping
Cracovia,cracovia,Tabisz M.,mateusz-tabisz,existing_mapping
Cracovia,cracovia,Traore B.,brahim-traore,existing_mapping
Cracovia,cracovia,Wójcik O.,oskar-wojcik,existing_mapping
Cracovia,cracovia,Zahiroleslam K.,kahveh-zahiroleslam,existing_mapping
GKS Katowice,gks-katowice,Bosch J.,jesse-bosch,existing_mapping
GKS Katowice,gks-katowice,Bród A.,alan-brod,existing_mapping
GKS Katowice,gks-katowice,Buksa A.,aleksander-buksa,existing_mapping
GKS Katowice,gks-katowice,Błąd A.,adrian-bad,existing_mapping
GKS Katowice,gks-katowice,Czerwiński A.,alan-czerwinski,existing_mapping
GKS Katowice,gks-katowice,Galan B.,borja-galan-gonzalez,existing_mapping
GKS Katowice,gks-katowice,Gruszkowski K.,konrad-jan-gruszkowski,existing_mapping
GKS Katowice,gks-katowice,Jaroszek B.,bartosz-jaroszek,review_auto_same_club_history
GKS Katowice,gks-katowice,Jirka E.,erik-jirka,review_auto_transfer_candidate
GKS Katowice,gks-katowice,Jędrych A.,arkadiusz-jedrych,existing_mapping
GKS Katowice,gks-katowice,Klemenz L.,lukas-rafael-klemenz,existing_mapping
GKS Katowice,gks-katowice,Kokosinski J.,jakub-kokosinski,existing_mapping
GKS Katowice,gks-katowice,Kowalczyk M.,mateusz-kowalczyk,existing_mapping
GKS Katowice,gks-katowice,Kudła D.,dawid-kuda,existing_mapping
GKS Katowice,gks-katowice,Kuusk M.,marten-kuusk,existing_mapping
GKS Katowice,gks-katowice,Markovic E.,eman-markovic,existing_mapping
GKS Katowice,gks-katowice,Marzec M.,mateusz-marzec,review_auto_same_club_history
GKS Katowice,gks-katowice,Milewski S.,sebastian-milewski,existing_mapping
GKS Katowice,gks-katowice,Nowak B.,bartosz-nowak,existing_mapping
GKS Katowice,gks-katowice,Olsen M.,marius-berntsen-olsen,existing_mapping
GKS Katowice,gks-katowice,Paluszek A.,aleksander-paluszek,existing_mapping
GKS Katowice,gks-katowice,Rasak D.,damian-rasak,existing_mapping
GKS Katowice,gks-katowice,Rejczyk F.,filip-rejczyk,existing_mapping
GKS Katowice,gks-katowice,Rogala G.,grzegorz-rogala,existing_mapping
