flash_team,klub_slug,flash_name,player_slug,match_method
Cracovia,cracovia,Atanasov J.,jani-atanasov,review_auto_same_club_history
Cracovia,cracovia,Bitri E.,eneo-bitri,review_auto_same_club_history
Cracovia,cracovia,Bochnak M.,mateusz-bochnak,review_auto_same_club_history
Cracovia,cracovia,Bzdyl F.,fabian-bzdyl,review_auto_same_club_history
Cracovia,cracovia,Ghita V.,virgil-ghita,review_auto_same_club_history
Cracovia,cracovia,Glik K.,kamil-jacek-glik,review_auto_same_club_history
Cracovia,cracovia,Hoskonen A.,arttu-hoskonen,review_auto_same_club_history
Cracovia,cracovia,Hrosso L.,lukas-hrosso,review_auto_same_club_history
Cracovia,cracovia,Jaroszynski P.,pawe-jaroszynski,review_auto_same_club_history
Cracovia,cracovia,Jugas J.,jakub-jugas,review_auto_same_club_history
Cracovia,cracovia,Kakabadze O.,otar-kakabadze,review_auto_same_club_history
Cracovia,cracovia,Kallman B.,benjamin-kallman,review_auto_same_club_history
Cracovia,cracovia,Knap K.,karol-knap,review_auto_same_club_history
Cracovia,cracovia,Kolec B.,bartomiej-kolec,review_auto_same_club_history
Cracovia,cracovia,Madejski S.,sebastian-madejski,review_auto_same_club_history
Cracovia,cracovia,Maigaard M.,mikkel-maigaard-jakobsen,review_auto_same_club_history
Cracovia,cracovia,Makuch P.,patryk-makuch,review_auto_same_club_history
Cracovia,cracovia,Myszor J.,jakub-myszor,review_auto_same_club_history
Cracovia,cracovia,Olafsson D.,davi-kristjan-olafsson,review_auto_same_club_history
Cracovia,cracovia,Oshima T.,takuto-oshima,review_auto_same_club_history
Cracovia,cracovia,Rakoczy M.,micha-miosz-rakoczy,review_auto_same_club_history
Cracovia,cracovia,Rapa C.,cornel-rapa,review_auto_same_club_history
Cracovia,cracovia,Rózga F.,filip-rozga,review_auto_same_club_history
Cracovia,cracovia,Skovgaard A.,andreas-skovgaard-larsen,review_auto_same_club_history
Cracovia,cracovia,Smiglewski K.,kacper-smiglewski,review_auto_same_club_history
Cracovia,cracovia,Sokołowski P.,patryk-sokoowski,review_auto_same_club_history
Cracovia,cracovia,Zaucha P.,patryk-zaucha,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Barczak N.,norbert-barczak,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Bielica D.,daniel-bielica,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Chmarek M.,mateusz-chmarek,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Czyż S.,szymon-czyz,review_auto_transfer_candidate
Górnik Zabrze,gornik-zabrze,Dadok R.,robert-dadok,review_auto_transfer_candidate
Górnik Zabrze,gornik-zabrze,Ennali L.,lawrence-ennali,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Janicki R.,rafa-janicki,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Janza E.,erik-janza,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Jensen R.,richard-jensen,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Kapralik A.,adrian-kapralik,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Kozuki S.,soichiro-kozuki,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Krawczyk P.,piotr-krawczyk,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Lukoszek K.,kamil-lukoszek,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Musiolik S.,sebastian-musiolik,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Nascimento F.,filipe-nascimento,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Olkowski P.,pawe-mirosaw-olkowski,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Pacheco D.,daniel-pacheco-lobato,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Paluszek A.,aleksander-paluszek,review_auto_transfer_candidate
Górnik Zabrze,gornik-zabrze,Podolski L.,ukasz-jozef-podolski,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Rasak D.,damian-rasak,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Sekulic B.,boris-sekulic,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Siplak M.,michal-siplak,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Szala D.,dominik-jerzy-szala,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Szcześniak K.,kryspin-szczesniak,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Szromnik M.,micha-szromnik,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Tobolik A.,aleksander-tobolik,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Triantafyllopoulos K.,konstantinos-triantafyllopoulos,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Wojtuszek N.,norbert-wojtuszek,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Yokota D.,daisuke-yokota,review_auto_same_club_history
Górnik Zabrze,gornik-zabrze,Zielonka N.,nikodem-zielonka,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Abramowicz S.,sawomir-abramowicz,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Alomerovic Z.,zlatan-alomerovic,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Caliskaner K.,kaan-caliskaner,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Dieguez A.,adrian-dieguez-grande,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Hansen K.,kristoffer-hansen,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Kubicki J.,jarosaw-kubicki,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Kupisz T.,tomasz-kupisz,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Lewicki J.,jakub-lewicki,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Marczuk D.,dominik-marczuk,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Matysik M.,miosz-matysik,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Naranjo J.,jose-naranjo,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Nastic B.,bojan-nastic,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Nguiamba A.,aurelien-thomas-nguiamba,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Olszewski P.,pawe-olszewski,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Pululu A.,afimico-pululu,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Romanczuk T.,taras-romanczuk,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Rybak A.,alan-rybak,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Skrzypczak M.,mateusz-skrzypczak,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Stojinović D.,dusan-stojinovic,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Toporkiewicz K.,krzysztof-toporkiewicz,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Wdowik B.,bartomiej-wdowik,review_auto_same_club_history
Jagiellonia Białystok,jagiellonia-bialystok,Wojdakowski D.,damian-wojdakowski,review_auto_same_club_history
Korona Kielce,korona-kielce,Briceag M.,marius-briceag,review_auto_same_club_history
Korona Kielce,korona-kielce,Bąk D.,daniel-bak,review_auto_same_club_history
Korona Kielce,korona-kielce,Błanik D.,dawid-banik,review_auto_same_club_history
Korona Kielce,korona-kielce,Chojecki A.,adam-chojecki,review_auto_same_club_history
Korona Kielce,korona-kielce,Czyżycki M.,mateusz-czyzycki,review_auto_same_club_history
Korona Kielce,korona-kielce,Dalmau A.,adrian-dalmau-vaquer,review_auto_same_club_history
Korona Kielce,korona-kielce,Deaconu R.,ronaldo-deaconu,review_auto_same_club_history
Korona Kielce,korona-kielce,Dziekoński X.,xavier-dziekonski,review_auto_same_club_history
Korona Kielce,korona-kielce,Forenc K.,konrad-forenc,review_auto_same_club_history
Korona Kielce,korona-kielce,Fornalczyk M.,mariusz-fornalczyk,review_auto_same_club_history
Korona Kielce,korona-kielce,Forsell P.,petteri-forsell,review_auto_same_club_history
Korona Kielce,korona-kielce,Godinho M.,marcus-godinho,review_auto_same_club_history
