flash_team,klub_slug,flash_name,review_current_status,review_existing_player_slug,review_proposed_status,review_proposed_player_slug,review_evidence,final_status,player_slug,match_method,identity_clubs_all,identity_seasons_all,identity_target_season_clubs,identity_season_club_path,identity_sample_name,identity_in_target_club
Arka Gdynia,arka-gdynia,Abramowicz D.,matched_existing,dawid-abramowicz,matched_existing,dawid-abramowicz,already_in_player_mapping_csv,matched_existing,dawid-abramowicz,existing_mapping,arka-gdynia | puszcza-niepolomice | radomiak-radom,2023/24 | 2024/25 | 2025/26,arka-gdynia,2023/24:radomiak-radom | 2024/25:puszcza-niepolomice | 2025/26:arka-gdynia,Dawid AbramowiczRadomiak Radom,1
Arka Gdynia,arka-gdynia,Celestine J.,matched_existing,julien-albert-marc-celestine,matched_existing,julien-albert-marc-celestine,already_in_player_mapping_csv,matched_existing,julien-albert-marc-celestine,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Julien Albert Marc CélestineArka Gdynia,1
Arka Gdynia,arka-gdynia,Espiau Hernandez E. D.,matched_existing,eduardo-david-espiau-hernandez,matched_existing,eduardo-david-espiau-hernandez,already_in_player_mapping_csv,matched_existing,eduardo-david-espiau-hernandez,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Eduardo David Espiau HernándezArka Gdynia,1
Arka Gdynia,arka-gdynia,Gaprindashvili T.,matched_existing,tornike-gaprindashvili,matched_existing,tornike-gaprindashvili,already_in_player_mapping_csv,matched_existing,tornike-gaprindashvili,existing_mapping,arka-gdynia | zagebie-lubin,2023/24 | 2025/26,arka-gdynia,2023/24:zagebie-lubin | 2025/26:arka-gdynia,Tornike GaprindashviliKGHM Zagłębie Lubin,1
Arka Gdynia,arka-gdynia,Gohlike O.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Arka Gdynia,arka-gdynia,Gojny D.,matched_existing,dawid-gojny,matched_existing,dawid-gojny,already_in_player_mapping_csv,matched_existing,dawid-gojny,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Dawid GojnyArka Gdynia,1
Arka Gdynia,arka-gdynia,Gozdecki N.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Arka Gdynia,arka-gdynia,Grobelny J.,matched_existing,jedrzej-grobelny,matched_existing,jedrzej-grobelny,already_in_player_mapping_csv,matched_existing,jedrzej-grobelny,existing_mapping,arka-gdynia | warta-poznan,2023/24 | 2025/26,arka-gdynia,2023/24:warta-poznan | 2025/26:arka-gdynia,Jędrzej GrobelnyWarta Poznań,1
Arka Gdynia,arka-gdynia,Gutkovskis V.,matched_existing,vladislavs-gutkovskis,matched_existing,vladislavs-gutkovskis,already_in_player_mapping_csv,matched_existing,vladislavs-gutkovskis,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Vladislavs GutkovskisArka Gdynia,1
Arka Gdynia,arka-gdynia,Hermoso K.,matched_existing,enrique-gomez-hermoso,matched_existing,enrique-gomez-hermoso,already_in_player_mapping_csv,matched_existing,enrique-gomez-hermoso,existing_mapping,arka-gdynia,2025/26,arka-gdynia,2025/26:arka-gdynia,Kike HermosoArka Gdynia,1
