flash_team,klub_slug,flash_name,review_current_status,review_existing_player_slug,review_proposed_status,review_proposed_player_slug,review_evidence,final_status,player_slug,match_method,identity_clubs_all,identity_seasons_all,identity_target_season_clubs,identity_season_club_path,identity_sample_name,identity_in_target_club
Cracovia,cracovia,Atanasov J.,unresolved,,auto_same_club_history,jani-atanasov,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,jani-atanasov,review_auto_same_club_history,cracovia | puszcza-niepolomice,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:puszcza-niepolomice | 2025/26:cracovia,Jani AtanasovCracovia,1
Cracovia,cracovia,Bitri E.,unresolved,,auto_same_club_history,eneo-bitri,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,eneo-bitri,review_auto_same_club_history,cracovia,2023/24,cracovia,2023/24:cracovia,Eneo BitriCracovia,1
Cracovia,cracovia,Bochnak M.,unresolved,,auto_same_club_history,mateusz-bochnak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,mateusz-bochnak,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Mateusz BochnakCracovia,1
Cracovia,cracovia,Bzdyl F.,unresolved,,auto_same_club_history,fabian-bzdyl,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,fabian-bzdyl,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Fabian BzdylCracovia,1
Cracovia,cracovia,Doba S.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Cracovia,cracovia,Dziewicki F.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Cracovia,cracovia,Ghita V.,unresolved,,auto_same_club_history,virgil-ghita,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,virgil-ghita,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Virgil Eugen GhițăCracovia,1
Cracovia,cracovia,Glik K.,unresolved,,auto_same_club_history,kamil-jacek-glik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,kamil-jacek-glik,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Kamil Jacek GlikCracovia,1
Cracovia,cracovia,Golonka K.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Cracovia,cracovia,Hoskonen A.,unresolved,,auto_same_club_history,arttu-hoskonen,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,arttu-hoskonen,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Arttu HoskonenCracovia,1
Cracovia,cracovia,Hrosso L.,unresolved,,auto_same_club_history,lukas-hrosso,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,lukas-hrosso,review_auto_same_club_history,cracovia,2023/24,cracovia,2023/24:cracovia,Lukáš HroššoCracovia,1
Cracovia,cracovia,Hyla O.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Cracovia,cracovia,Jaroszynski P.,unresolved,,auto_same_club_history,pawe-jaroszynski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,pawe-jaroszynski,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Paweł Kamil JaroszyńskiCracovia,1
Cracovia,cracovia,Jodlowski K.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Cracovia,cracovia,Jugas J.,unresolved,,auto_same_club_history,jakub-jugas,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,jakub-jugas,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Jakub JugasCracovia,1
Cracovia,cracovia,Kakabadze O.,unresolved,,auto_same_club_history,otar-kakabadze,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,otar-kakabadze,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Otar KakabadzeCracovia,1
Cracovia,cracovia,Kallman B.,unresolved,,auto_same_club_history,benjamin-kallman,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,benjamin-kallman,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Paul Benjamin Sven-Eber KällmanCracovia,1
Cracovia,cracovia,Knap K.,unresolved,,auto_same_club_history,karol-knap,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,karol-knap,review_auto_same_club_history,cracovia | stal-mielec,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:stal-mielec | 2025/26:cracovia,Karol KnapCracovia,1
Cracovia,cracovia,Kolec B.,unresolved,,auto_same_club_history,bartomiej-kolec,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,bartomiej-kolec,review_auto_same_club_history,cracovia,2023/24,cracovia,2023/24:cracovia,Bartłomiej KolecCracovia,1
Cracovia,cracovia,Lusiusz S.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Cracovia,cracovia,Madejski S.,unresolved,,auto_same_club_history,sebastian-madejski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,sebastian-madejski,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Sebastian MadejskiCracovia,1
Cracovia,cracovia,Maigaard M.,unresolved,,auto_same_club_history,mikkel-maigaard-jakobsen,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,mikkel-maigaard-jakobsen,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Mikkel Maigaard JakobsenCracovia,1
Cracovia,cracovia,Makuch P.,unresolved,,auto_same_club_history,patryk-makuch,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,patryk-makuch,review_auto_same_club_history,cracovia | rakow-czestochowa,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:rakow-czestochowa | 2025/26:rakow-czestochowa,Patryk MakuchCracovia,1
Cracovia,cracovia,Myszor J.,unresolved,,auto_same_club_history,jakub-myszor,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,jakub-myszor,review_auto_same_club_history,cracovia | rakow-czestochowa,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:rakow-czestochowa,Jakub MyszorCracovia,1
Cracovia,cracovia,Ogorzaly K.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Cracovia,cracovia,Olafsson D.,unresolved,,auto_same_club_history,davi-kristjan-olafsson,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,davi-kristjan-olafsson,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Davíð Kristján ÓlafssonCracovia,1
Cracovia,cracovia,Oshima T.,unresolved,,auto_same_club_history,takuto-oshima,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,takuto-oshima,review_auto_same_club_history,cracovia,2023/24,cracovia,2023/24:cracovia,Takuto OshimaCracovia,1
Cracovia,cracovia,Rakoczy M.,unresolved,,auto_same_club_history,micha-miosz-rakoczy,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,micha-miosz-rakoczy,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Michał Miłosz RakoczyCracovia,1
Cracovia,cracovia,Rapa C.,unresolved,,auto_same_club_history,cornel-rapa,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,cornel-rapa,review_auto_same_club_history,cracovia,2023/24,cracovia,2023/24:cracovia,Cornel Emilian RâpăCracovia,1
Cracovia,cracovia,Rózga F.,unresolved,,auto_same_club_history,filip-rozga,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,filip-rozga,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Filip Jan RózgaCracovia,1
Cracovia,cracovia,Skovgaard A.,unresolved,,auto_same_club_history,andreas-skovgaard-larsen,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,andreas-skovgaard-larsen,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Andreas Skovgaard LarsenCracovia,1
Cracovia,cracovia,Smiglewski K.,unresolved,,auto_same_club_history,kacper-smiglewski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,kacper-smiglewski,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Kacper ŚmiglewskiCracovia,1
Cracovia,cracovia,Sokołowski P.,unresolved,,auto_same_club_history,patryk-sokoowski,all_flash_tokens_in_slug_slugstyle | suffix_exact_slugstyle | initial_match_any_given_token | same_club_history | present_in_target_season,matched_auto_same_club_history,patryk-sokoowski,review_auto_same_club_history,cracovia | legia-warszawa,2023/24 | 2024/25,legia-warszawa,2023/24:legia-warszawa | 2024/25:cracovia,Patryk SokołowskiLegia Warszawa,0
Cracovia,cracovia,Stachera M.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Cracovia,cracovia,Wilk A.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Cracovia,cracovia,Zaucha P.,unresolved,,auto_same_club_history,patryk-zaucha,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,patryk-zaucha,review_auto_same_club_history,cracovia,2023/24,cracovia,2023/24:cracovia,Patryk ZauchaCracovia,1
Górnik Zabrze,gornik-zabrze,Barczak N.,unresolved,,auto_same_club_history,norbert-barczak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,norbert-barczak,review_auto_same_club_history,gornik-zabrze,2023/24,gornik-zabrze,2023/24:gornik-zabrze,Norbert BarczakGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Bielica D.,unresolved,,auto_same_club_history,daniel-bielica,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,daniel-bielica,review_auto_same_club_history,gornik-zabrze,2023/24,gornik-zabrze,2023/24:gornik-zabrze,Daniel BielicaGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Chmarek M.,unresolved,,auto_same_club_history,mateusz-chmarek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,mateusz-chmarek,review_auto_same_club_history,gornik-zabrze,2023/24,gornik-zabrze,2023/24:gornik-zabrze,Mateusz ChmarekGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Czyż S.,unresolved,,auto_transfer_candidate,szymon-czyz,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token,matched_auto_transfer_candidate,szymon-czyz,review_auto_transfer_candidate,widzew-lodz,2024/25 | 2025/26,,2024/25:widzew-lodz | 2025/26:widzew-lodz,Szymon CzyżWidzew Łódź,0
Górnik Zabrze,gornik-zabrze,Dadok R.,unresolved,,auto_transfer_candidate,robert-dadok,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season,matched_auto_transfer_candidate,robert-dadok,review_auto_transfer_candidate,ruch-chorzow | stal-mielec,2023/24 | 2024/25,ruch-chorzow,2023/24:ruch-chorzow | 2024/25:stal-mielec,Robert DadokRuch Chorzów,0
Górnik Zabrze,gornik-zabrze,Ennali L.,unresolved,,auto_same_club_history,lawrence-ennali,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,lawrence-ennali,review_auto_same_club_history,gornik-zabrze,2023/24,gornik-zabrze,2023/24:gornik-zabrze,Lawrence EnnaliGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Janicki R.,unresolved,,auto_same_club_history,rafa-janicki,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,rafa-janicki,review_auto_same_club_history,gornik-zabrze,2023/24 | 2024/25 | 2025/26,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,Rafał JanickiGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Janza E.,unresolved,,auto_same_club_history,erik-janza,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,erik-janza,review_auto_same_club_history,gornik-zabrze,2023/24 | 2024/25 | 2025/26,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,Erik JanžaGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Jensen R.,unresolved,,auto_same_club_history,richard-jensen,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,richard-jensen,review_auto_same_club_history,gornik-zabrze,2023/24,gornik-zabrze,2023/24:gornik-zabrze,Richard Olav JensenGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Kapralik A.,unresolved,,auto_same_club_history,adrian-kapralik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,adrian-kapralik,review_auto_same_club_history,gornik-zabrze,2023/24,gornik-zabrze,2023/24:gornik-zabrze,Adrián KaprálikGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Kolanko K.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Górnik Zabrze,gornik-zabrze,Kozuki S.,unresolved,,auto_same_club_history,soichiro-kozuki,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,soichiro-kozuki,review_auto_same_club_history,gornik-zabrze,2023/24 | 2024/25,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:gornik-zabrze,Soichiro KozukiGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Krawczyk P.,unresolved,,auto_same_club_history,piotr-krawczyk,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,piotr-krawczyk,review_auto_same_club_history,gornik-zabrze | wisla-plock,2023/24 | 2025/26,gornik-zabrze,2023/24:gornik-zabrze | 2025/26:wisla-plock,Piotr KrawczykGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Lukoszek K.,unresolved,,auto_same_club_history,kamil-lukoszek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,kamil-lukoszek,review_auto_same_club_history,gornik-zabrze,2023/24 | 2024/25 | 2025/26,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,Kamil LukoszekGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Musiolik S.,unresolved,,auto_same_club_history,sebastian-musiolik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,sebastian-musiolik,review_auto_same_club_history,gornik-zabrze | slask-wroclaw,2023/24 | 2024/25,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:slask-wroclaw,Sebastian Karol MusiolikGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Nascimento F.,unresolved,,auto_same_club_history,filipe-nascimento,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,filipe-nascimento,review_auto_same_club_history,gornik-zabrze,2023/24 | 2024/25,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:gornik-zabrze,Filipe NascimentoGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Olkowski P.,unresolved,,auto_same_club_history,pawe-mirosaw-olkowski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,pawe-mirosaw-olkowski,review_auto_same_club_history,gornik-zabrze,2023/24 | 2024/25 | 2025/26,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,Paweł Mirosław OlkowskiGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Pacheco D.,unresolved,,auto_same_club_history,daniel-pacheco-lobato,all_flash_tokens_in_slug_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,daniel-pacheco-lobato,review_auto_same_club_history,gornik-zabrze | wisla-plock,2023/24 | 2025/26,gornik-zabrze,2023/24:gornik-zabrze | 2025/26:wisla-plock,Dani PachecoGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Paluszek A.,unresolved,,auto_transfer_candidate,aleksander-paluszek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | present_in_target_season,matched_auto_transfer_candidate,aleksander-paluszek,review_auto_transfer_candidate,gks-katowice | slask-wroclaw,2023/24 | 2024/25 | 2025/26,slask-wroclaw,2023/24:slask-wroclaw | 2024/25:slask-wroclaw | 2025/26:gks-katowice,Aleksander PaluszekŚląsk Wrocław,0
Górnik Zabrze,gornik-zabrze,Pochciol J.,unresolved,,no_candidate,,no_strict_candidate,no_candidate,,review_no_candidate,,,,,,
Górnik Zabrze,gornik-zabrze,Podolski L.,unresolved,,auto_same_club_history,ukasz-jozef-podolski,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | same_club_history | same_club_target_season,matched_auto_same_club_history,ukasz-jozef-podolski,review_auto_same_club_history,gornik-zabrze,2023/24 | 2024/25 | 2025/26,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,Łukasz Józef PodolskiGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Rasak D.,unresolved,,auto_same_club_history,damian-rasak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,damian-rasak,review_auto_same_club_history,gks-katowice | gornik-zabrze,2023/24 | 2024/25 | 2025/26,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gks-katowice,Damian RasakGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Sekulic B.,unresolved,,auto_same_club_history,boris-sekulic,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,boris-sekulic,review_auto_same_club_history,gornik-zabrze,2023/24,gornik-zabrze,2023/24:gornik-zabrze,Boris SekulićGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Siplak M.,unresolved,,auto_same_club_history,michal-siplak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,michal-siplak,review_auto_same_club_history,gornik-zabrze | puszcza-niepolomice,2023/24 | 2024/25,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:puszcza-niepolomice,Michal SipľakGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Szala D.,unresolved,,auto_same_club_history,dominik-jerzy-szala,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,dominik-jerzy-szala,review_auto_same_club_history,gornik-zabrze,2023/24 | 2024/25 | 2025/26,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,Dominik Jerzy SzalaGórnik Zabrze,1
Górnik Zabrze,gornik-zabrze,Szcześniak K.,unresolved,,auto_same_club_history,kryspin-szczesniak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,kryspin-szczesniak,review_auto_same_club_history,gornik-zabrze,2023/24 | 2024/25 | 2025/26,gornik-zabrze,2023/24:gornik-zabrze | 2024/25:gornik-zabrze | 2025/26:gornik-zabrze,Kryspin SzcześniakGórnik Zabrze,1
