flash_team,klub_slug,flash_name,review_current_status,review_existing_player_slug,review_proposed_status,review_proposed_player_slug,review_evidence,final_status,player_slug,match_method,identity_clubs_all,identity_seasons_all,identity_target_season_clubs,identity_season_club_path,identity_sample_name,identity_in_target_club,prior_available,prior_source_season,prior_missing_reason,prior_prev_name,prior_prev_klub_slug,prior_gk_bramki-stracone,prior_gk_czyste-konta,prior_gk_gk-dlugie-podania-celne,prior_gk_gk-mecze-rozegrane,prior_gk_gk-minuty-rozegrane,prior_gk_gk-piastkowania,prior_gk_gk-podania,prior_gk_gk-podania-celne,prior_gk_gk-rzuty-karne-przeciwko,prior_gk_obronione-rzuty-karne,prior_gk_obronione-strzaly,prior_pole_asysty,prior_pole_celne-strzaly,prior_pole_celnosc-strzalow,prior_pole_dogodne-szanse,prior_pole_dosrodkowania,prior_pole_dosrodkowania-celne,prior_pole_dryblingi,prior_pole_faule,prior_pole_faule-wywalczone,prior_pole_gole,prior_pole_gole-z-gry,prior_pole_gole-z-pola-karnego,prior_pole_gole-z-rzutow-karnych,prior_pole_kanadyjska,prior_pole_karne-wykonane,prior_pole_kluczowe-podania,prior_pole_konwersja-strzalow,prior_pole_minuty,prior_pole_odbiory,prior_pole_podania,prior_pole_podania-celne,prior_pole_podania-celne-w-polowie-przeciwnika,prior_pole_podania-w-polowie-przeciwnika,prior_pole_pojedynki-obronne-wygrane,prior_pole_pojedynki-wygrane,prior_pole_przechwyty,prior_pole_rzuty-rozne,prior_pole_spalone,prior_pole_strzaly,prior_pole_stworzone-dogodne-szanse,prior_pole_wybicia,prior_pole_xa,prior_pole_xg,prior_pole_xgot,prior_pole_zablokowane-strzaly
Cracovia,cracovia,Al Ammari A.,unresolved,,auto_same_club_history,amir-fouad-aboud-al-ammari,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,amir-fouad-aboud-al-ammari,review_auto_same_club_history,cracovia,2024/25 | 2025/26,cracovia,2024/25:cracovia | 2025/26:cracovia,Amir Al AmmariCracovia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracovia,cracovia,Atanasov J.,unresolved,,auto_same_club_history,jani-atanasov,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | present_in_target_season,matched_auto_same_club_history,jani-atanasov,review_auto_same_club_history,cracovia | puszcza-niepolomice,2023/24 | 2024/25 | 2025/26,puszcza-niepolomice,2023/24:cracovia | 2024/25:puszcza-niepolomice | 2025/26:cracovia,Jani AtanasovCracovia,0.0,1,2023/24,,Jani AtanasovCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,45.0,0.0,16.0,4.0,35.0,46.0,14.0,5.0,4.0,4.0,1.0,7.0,1.0,25.0,16.0,2018.0,29.0,1075.0,0.0,448.0,701.0,29.0,117.0,16.0,44.0,0.0,31.0,0.0,26.0,2.9,3.3,4.4,18.0
Cracovia,cracovia,Biedrzycki B.,unresolved,,auto_same_club_history,bartosz-biedrzycki,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,bartosz-biedrzycki,review_auto_same_club_history,cracovia,2024/25 | 2025/26,cracovia,2024/25:cracovia | 2025/26:cracovia,Bartosz BiedrzyckiCracovia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracovia,cracovia,Bochnak M.,unresolved,,auto_same_club_history,mateusz-bochnak,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,mateusz-bochnak,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Mateusz BochnakCracovia,1.0,1,2023/24,,Mateusz BochnakCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.0,0.0,20.0,6.0,25.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,849.0,8.0,216.0,0.0,127.0,178.0,8.0,31.0,3.0,1.0,12.0,9.0,0.0,2.0,1.3,1.1,0.6,4.0
Cracovia,cracovia,Burek J.,unresolved,,auto_transfer_candidate,jakub-burek,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token,matched_auto_transfer_candidate,jakub-burek,review_auto_transfer_candidate,wisla-plock,2025/26,,2025/26:wisla-plock,Jakub BurekWisła Płock,0.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracovia,cracovia,Bzdyl F.,unresolved,,auto_same_club_history,fabian-bzdyl,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,fabian-bzdyl,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Fabian BzdylCracovia,1.0,1,2023/24,,Fabian BzdylCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cracovia,cracovia,Ghita V.,unresolved,,auto_same_club_history,virgil-ghita,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,virgil-ghita,review_auto_same_club_history,cracovia,2023/24 | 2024/25,cracovia,2023/24:cracovia | 2024/25:cracovia,Virgil Eugen GhițăCracovia,1.0,1,2023/24,,Virgil Eugen GhițăCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,39.0,0.0,10.0,1.0,10.0,26.0,4.0,4.0,1.0,4.0,0.0,4.0,0.0,10.0,14.0,2434.0,22.0,1279.0,0.0,441.0,626.0,22.0,111.0,54.0,0.0,0.0,28.0,0.0,82.0,1.0,2.8,1.9,9.0
Cracovia,cracovia,Glik K.,unresolved,,auto_same_club_history,kamil-jacek-glik,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,kamil-jacek-glik,review_auto_same_club_history,cracovia,2023/24 | 2024/25 | 2025/26,cracovia,2023/24:cracovia | 2024/25:cracovia | 2025/26:cracovia,Kamil Jacek GlikCracovia,1.0,1,2023/24,,Kamil Jacek GlikCracovia,cracovia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,0.0,2.0,0.0,1.0,12.0,13.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,25.0,1107.0,6.0,355.0,0.0,61.0,108.0,6.0,55.0,11.0,0.0,0.0,8.0,0.0,50.0,0.3,1.0,0.6,1.0
Cracovia,cracovia,Hasic A.,unresolved,,auto_same_club_history,ajdin-hasic,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,ajdin-hasic,review_auto_same_club_history,cracovia,2024/25 | 2025/26,cracovia,2024/25:cracovia | 2025/26:cracovia,Ajdin HasićCracovia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cracovia,cracovia,Henriksson G.,unresolved,,auto_same_club_history,gustav-niklas-henriksson,all_flash_tokens_in_slug_ascii | suffix_exact_ascii | initial_match_any_given_token | same_club_history | same_club_target_season,matched_auto_same_club_history,gustav-niklas-henriksson,review_auto_same_club_history,cracovia,2024/25 | 2025/26,cracovia,2024/25:cracovia | 2025/26:cracovia,Gustav Niklas HenrikssonCracovia,1.0,0,,mapped_but_no_previous_season_ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
