match_id,sezon,kolejka,data_meczu,referee_name,referee_full_name,ref_matches_before,ref_reliability_k10,league_fouls_avg_before,league_yc_avg_before,league_dismissals_avg_before,ref_fouls_raw_avg_before,ref_yc_raw_avg_before,ref_dismissals_raw_avg_before,ref_fouls_shrunk_before,ref_yc_shrunk_before,ref_dismissals_shrunk_before
1684,2023/24,1,2023-07-21,Sylwestrzak D.,Damian Sylwestrzak,0,0.0,25.0,4.5,0.2,25.0,4.5,0.2,25.0,4.5,0.2
1685,2023/24,1,2023-07-21,Arys K.,Karol Arys,0,0.0,21.0,1.0,0.0,21.0,1.0,0.0,21.0,1.0,0.0
1686,2023/24,1,2023-07-22,Frankowski B.,Bartosz Frankowski,0,0.0,23.0,0.5,0.0,23.0,0.5,0.0,23.0,0.5,0.0
1687,2023/24,1,2023-07-22,Raczkowski P.,Pawel Raczkowski,0,0.0,23.0,1.6667,0.0,23.0,1.6667,0.0,23.0,1.6667,0.0
1688,2023/24,1,2023-07-22,Marciniak S.,Szymon Marciniak,0,0.0,23.0,2.25,0.0,23.0,2.25,0.0,23.0,2.25,0.0
1689,2023/24,1,2023-07-23,Musiał T.,Tomasz Musial,0,0.0,24.2,2.8,0.0,24.2,2.8,0.0,24.2,2.8,0.0
1690,2023/24,1,2023-07-23,Przybyl J.,Jaroslaw Przybyl,0,0.0,26.3333,2.6667,0.0,26.3333,2.6667,0.0,26.3333,2.6667,0.0
1691,2023/24,1,2023-07-23,Lasyk P.,Piotr Lasyk,0,0.0,26.5714,2.8571,0.0,26.5714,2.8571,0.0,26.5714,2.8571,0.0
1692,2023/24,1,2023-07-24,Kos D.,Damian Kos,0,0.0,26.5,2.875,0.0,26.5,2.875,0.0,26.5,2.875,0.0
1694,2023/24,2,2023-07-28,Sylwestrzak D.,Damian Sylwestrzak,1,0.0909,26.0,3.2222,0.0,21.0,1.0,0.0,25.5455,3.0202,0.0
1693,2023/24,2,2023-07-29,Gryckiewicz P.,Patryk Gryckiewicz,0,0.0,26.9,3.5,0.2,26.9,3.5,0.2,26.9,3.5,0.2
1695,2023/24,2,2023-07-29,Jakubik K.,Krzysztof Jakubik,0,0.0,27.3636,3.4545,0.1818,27.3636,3.4545,0.1818,27.3636,3.4545,0.1818
1697,2023/24,2,2023-07-29,Marciniak S.,Szymon Marciniak,1,0.0909,27.0833,3.3333,0.1667,29.0,5.0,0.0,27.2576,3.4848,0.1515
1698,2023/24,2,2023-07-30,Musiał T.,Tomasz Musial,1,0.0909,26.9231,3.2308,0.1538,37.0,2.0,0.0,27.8392,3.1189,0.1399
1699,2023/24,2,2023-07-30,Stefanski D.,Daniel Stefanski,0,0.0,26.4286,3.1429,0.1429,26.4286,3.1429,0.1429,26.4286,3.1429,0.1429
1701,2023/24,2,2023-07-30,Kwiatkowski T.,Tomasz Kwiatkowski,0,0.0,26.7333,3.3333,0.1333,26.7333,3.3333,0.1333,26.7333,3.3333,0.1333
1702,2023/24,3,2023-08-04,Frankowski B.,Bartosz Frankowski,1,0.0909,26.75,3.125,0.125,23.0,4.0,0.0,26.4091,3.2045,0.1136
1703,2023/24,3,2023-08-04,Marciniak S.,Szymon Marciniak,2,0.1667,26.6471,3.1765,0.1176,27.0,3.5,0.0,26.7059,3.2304,0.098
1704,2023/24,3,2023-08-05,Arys K.,Karol Arys,1,0.0909,27.5556,3.2778,0.1111,25.0,0.0,0.0,27.3232,2.9798,0.101
1705,2023/24,3,2023-08-05,Lasyk P.,Piotr Lasyk,1,0.0909,27.4737,3.2105,0.1053,26.0,3.0,0.0,27.3397,3.1914,0.0957
1706,2023/24,3,2023-08-05,Przybyl J.,Jaroslaw Przybyl,1,0.0909,28.2,3.5,0.2,28.0,4.0,0.0,28.1818,3.5455,0.1818
1708,2023/24,3,2023-08-06,Kos D.,Damian Kos,1,0.0909,27.8571,3.4286,0.1905,22.0,6.0,0.0,27.3247,3.6623,0.1732
1709,2023/24,3,2023-08-06,Malec P.,Pawel Malec,0,0.0,27.6364,3.5909,0.2273,27.6364,3.5909,0.2273,27.6364,3.5909,0.2273
1710,2023/24,3,2023-08-07,Kochanek M.,Marcin Kochanek,0,0.0,27.3913,3.6957,0.2609,27.3913,3.6957,0.2609,27.3913,3.6957,0.2609
1711,2023/24,4,2023-08-11,Stefanski D.,Daniel Stefanski,1,0.0909,27.8333,3.8333,0.25,31.0,6.0,0.0,28.1212,4.0303,0.2273
1714,2023/24,4,2023-08-11,Musiał T.,Tomasz Musial,2,0.1667,27.76,3.92,0.24,28.5,2.0,0.0,27.8833,3.6,0.2
1712,2023/24,4,2023-08-12,Raczkowski P.,Pawel Raczkowski,1,0.0909,27.8462,4.0385,0.2308,23.0,4.0,0.0,27.4056,4.035,0.2098
1717,2023/24,4,2023-08-12,Jakubik K.,Krzysztof Jakubik,1,0.0909,27.5556,4.0741,0.2222,24.0,2.0,0.0,27.2323,3.8855,0.202
1719,2023/24,4,2023-08-12,Kwiatkowski T.,Tomasz Kwiatkowski,1,0.0909,27.2857,4.0714,0.2143,27.0,0.0,0.0,27.2597,3.7013,0.1948
1715,2023/24,4,2023-08-13,Frankowski B.,Bartosz Frankowski,2,0.1667,27.2414,4.2069,0.2414,24.0,4.0,0.0,26.7011,4.1724,0.2011
1716,2023/24,4,2023-08-13,Przybyl J.,Jaroslaw Przybyl,2,0.1667,27.3667,4.1667,0.2333,24.5,3.0,0.0,26.8889,3.9722,0.1944
1718,2023/24,4,2023-08-14,Gryckiewicz P.,Patryk Gryckiewicz,1,0.0909,27.6452,4.2581,0.2258,32.0,3.0,0.0,28.0411,4.1437,0.2053
1721,2023/24,5,2023-08-18,Kos D.,Damian Kos,2,0.1667,27.5938,4.2812,0.2188,22.5,6.5,0.5,26.7448,4.651,0.2656
1722,2023/24,5,2023-08-18,Kuzma L.,Lukasz Kuzma,0,0.0,27.697,4.303,0.2121,27.697,4.303,0.2121,27.697,4.303,0.2121
1724,2023/24,5,2023-08-19,Kochanek M.,Marcin Kochanek,1,0.0909,27.8235,4.3824,0.2647,38.0,7.0,0.0,28.7487,4.6203,0.2406
1725,2023/24,5,2023-08-19,Malec P.,Pawel Malec,1,0.0909,27.9143,4.4857,0.2571,22.0,6.0,1.0,27.3766,4.6234,0.3247
1726,2023/24,5,2023-08-19,Musiał T.,Tomasz Musial,3,0.2308,27.8333,4.5278,0.25,29.0,3.6667,0.0,28.1026,4.3291,0.1923
1723,2023/24,5,2023-08-20,Sylwestrzak D.,Damian Sylwestrzak,2,0.1667,27.973,4.6216,0.2432,28.0,3.5,1.0,27.9775,4.4347,0.3694
1727,2023/24,5,2023-08-20,Lasyk P.,Piotr Lasyk,2,0.1667,28.0,4.6842,0.2895,34.0,6.0,1.0,29.0,4.9035,0.4079
1728,2023/24,5,2023-08-20,Marciniak S.,Szymon Marciniak,3,0.2308,27.8462,4.7179,0.2821,32.3333,4.0,0.0,28.8817,4.5523,0.217
1720,2023/24,5,2023-08-21,Raczkowski P.,Pawel Raczkowski,2,0.1667,27.6,4.775,0.275,21.5,4.5,0.0,26.5833,4.7292,0.2292
1735,2023/24,6,2023-08-25,Arys K.,Karol Arys,2,0.1667,27.5122,4.8293,0.2683,25.5,1.0,0.0,27.1768,4.1911,0.2236
1737,2023/24,6,2023-08-25,Stefanski D.,Daniel Stefanski,2,0.1667,27.5238,4.8333,0.2619,28.5,6.0,0.0,27.6865,5.0278,0.2183
1732,2023/24,6,2023-08-26,Marciniak S.,Szymon Marciniak,4,0.2857,27.5349,4.9302,0.2558,28.75,4.75,0.0,27.8821,4.8787,0.1827
1734,2023/24,6,2023-08-26,Gryckiewicz P.,Patryk Gryckiewicz,2,0.1667,27.5682,4.9318,0.25,29.0,4.0,0.0,27.8068,4.7765,0.2083
1736,2023/24,6,2023-08-26,Przybyl J.,Jaroslaw Przybyl,3,0.2308,27.6222,5.0889,0.2667,28.3333,4.3333,0.0,27.7863,4.9145,0.2051
1729,2023/24,6,2023-08-27,Kwiatkowski T.,Tomasz Kwiatkowski,2,0.1667,27.4783,5.0652,0.2609,26.5,4.0,0.5,27.3152,4.8877,0.3007
1730,2023/24,6,2023-08-27,Frankowski B.,Bartosz Frankowski,3,0.2308,27.3191,5.0426,0.2766,26.3333,3.6667,0.0,27.0917,4.725,0.2128
1707,2023/24,3,2023-08-30,Kos D.,Damian Kos,3,0.2308,27.2917,5.0417,0.3125,25.3333,6.0,0.3333,26.8397,5.2628,0.3173
1744,2023/24,7,2023-09-01,Frankowski B.,Bartosz Frankowski,4,0.2857,27.1224,5.0816,0.3061,26.25,4.0,0.5,26.8732,4.7726,0.3615
1745,2023/24,7,2023-09-01,Raczkowski P.,Pawel Raczkowski,3,0.2308,26.88,5.04,0.32,22.3333,5.3333,0.0,25.8308,5.1077,0.2462
1738,2023/24,7,2023-09-02,Lasyk P.,Piotr Lasyk,3,0.2308,27.1765,5.1176,0.3137,30.0,6.0,0.6667,27.8281,5.3213,0.3952
1740,2023/24,7,2023-09-02,Sylwestrzak D.,Damian Sylwestrzak,3,0.2308,27.1154,5.0769,0.3077,28.3333,4.6667,1.3333,27.3964,4.9822,0.5444
1742,2023/24,7,2023-09-02,Przybyl J.,Jaroslaw Przybyl,4,0.2857,27.0943,5.0377,0.3019,26.5,4.25,0.0,26.9245,4.8127,0.2156
1739,2023/24,7,2023-09-03,Szczerbowicz M.,Marcin Szczerbowicz,0,0.0,27.1852,5.037,0.2963,27.1852,5.037,0.2963,27.1852,5.037,0.2963
1741,2023/24,7,2023-09-03,Musiał T.,Tomasz Musial,4,0.2857,27.2182,5.0545,0.2909,30.0,4.75,0.0,28.013,4.9675,0.2078
1743,2023/24,7,2023-09-03,Jakubik K.,Krzysztof Jakubik,2,0.1667,27.1964,5.0,0.3036,22.0,3.0,0.0,26.3304,4.6667,0.253
1746,2023/24,7,2023-09-03,Malec P.,Pawel Malec,2,0.1667,27.3684,5.0175,0.2982,23.5,6.0,0.5,26.7237,5.1813,0.3319
1747,2023/24,8,2023-09-15,Musiał T.,Tomasz Musial,5,0.3333,27.3103,5.0862,0.2931,29.2,4.2,0.2,27.9402,4.7908,0.2621
1751,2023/24,8,2023-09-15,Stefanski D.,Daniel Stefanski,3,0.2308,27.4407,5.1186,0.2881,28.3333,7.0,0.0,27.6467,5.5528,0.2216
1749,2023/24,8,2023-09-16,Sylwestrzak D.,Damian Sylwestrzak,4,0.2857,27.6333,5.1333,0.3167,27.75,4.25,1.0,27.6667,4.881,0.5119
1750,2023/24,8,2023-09-16,Raczkowski P.,Pawel Raczkowski,4,0.2857,27.8197,5.1967,0.3115,27.25,6.25,0.0,27.6569,5.4977,0.2225
1752,2023/24,8,2023-09-16,Kuzma L.,Lukasz Kuzma,1,0.0909,27.7581,5.1613,0.3065,32.0,7.0,2.0,28.1437,5.3284,0.4604
1748,2023/24,8,2023-09-17,Lasyk P.,Piotr Lasyk,4,0.2857,27.9048,5.1429,0.3175,28.5,5.25,0.5,28.0748,5.1735,0.3696
1754,2023/24,8,2023-09-17,Marciniak S.,Szymon Marciniak,5,0.3333,27.9219,5.1562,0.3125,28.8,4.8,0.0,28.2146,5.0375,0.2083
1755,2023/24,8,2023-09-17,Kwiatkowski T.,Tomasz Kwiatkowski,3,0.2308,27.7231,5.1231,0.3077,24.3333,4.0,0.6667,26.9408,4.8639,0.3905
