referee_full_name,matches_count,fouls_total_avg,fouls_home_avg,fouls_away_avg,fouls_total_std,yc_total_avg,yc_home_avg,yc_away_avg,yc_total_std,straight_red_total_avg,second_yellow_red_total_avg,dismissals_total_avg,dismissals_total_std,reliability_k10
Szymon Marciniak,74,24.3514,11.9189,12.4324,6.0961,3.9189,1.8108,2.1081,2.0524,0.0811,0.027,0.1081,0.3906,0.881
Piotr Lasyk,68,24.7353,11.9853,12.75,5.9265,3.6471,1.6176,2.0294,2.1002,0.1324,0.0588,0.1912,0.5797,0.8718
Jaroslaw Przybyl,61,26.3115,12.3115,14.0,5.4023,4.4262,2.0984,2.3279,2.0204,0.1639,0.0656,0.2295,0.5596,0.8592
Pawel Raczkowski,61,25.0984,11.4754,13.623,5.5067,5.3115,2.5246,2.7869,2.5268,0.2623,0.1148,0.377,0.734,0.8592
Damian Sylwestrzak,60,27.1167,14.3833,12.7333,5.9378,4.6167,2.25,2.3667,2.2024,0.25,0.1833,0.4333,0.8309,0.8571
Karol Arys,59,24.8814,12.6949,12.1864,5.6541,3.0169,1.3729,1.6441,1.9163,0.1864,0.0508,0.2373,0.5971,0.8551
Lukasz Kuzma,56,25.2679,12.9643,12.3036,5.161,4.1429,1.7857,2.3571,1.9205,0.1786,0.1071,0.2857,0.7062,0.8485
Tomasz Kwiatkowski,53,23.3208,11.6604,11.6604,5.0222,4.1321,1.8491,2.283,2.1126,0.2264,0.0755,0.3019,0.6381,0.8413
Wojciech Myc,51,27.0,13.7451,13.2549,6.1579,4.0588,2.0,2.0588,2.0631,0.0588,0.0392,0.098,0.4125,0.8361
Bartosz Frankowski,48,22.4792,11.8333,10.6458,5.3155,4.125,1.8125,2.3125,2.1892,0.1458,0.0833,0.2292,0.5921,0.8276
Patryk Gryckiewicz,46,25.1957,12.7609,12.4348,6.817,4.6304,2.2391,2.3913,2.332,0.2391,0.1739,0.413,0.7768,0.8214
Daniel Stefanski,45,26.9778,13.8667,13.1111,5.6988,5.1556,2.6667,2.4889,2.7299,0.2667,0.1556,0.4222,0.7534,0.8182
Damian Kos,44,25.5227,12.7273,12.7955,5.1871,4.9091,2.5682,2.3409,2.2907,0.3636,0.1818,0.5455,0.9512,0.8148
Pawel Malec,35,21.2571,10.3429,10.9143,4.4941,3.8286,1.9714,1.8571,2.0071,0.2,0.0286,0.2286,0.547,0.7778
Marcin Szczerbowicz,31,25.4839,12.0,13.4839,4.788,4.0323,1.7419,2.2903,1.8163,0.0968,0.0645,0.1613,0.6375,0.7561
Tomasz Musial,26,27.1923,14.6538,12.5385,5.7551,3.3846,1.9615,1.4231,2.3165,0.1923,0.0769,0.2692,0.6038,0.7222
Marcin Kochanek,25,22.72,11.56,11.16,6.1408,4.0,2.08,1.92,2.4152,0.16,0.12,0.28,0.6782,0.7143
Sebastian Krasny,23,24.5652,12.1304,12.4348,2.573,4.0,2.0,2.0,2.3932,0.1739,0.1739,0.3478,0.7751,0.697
Krzysztof Jakubik,14,24.0,12.5,11.5,7.9518,3.0714,1.7143,1.3571,1.7744,0.0,0.0,0.0,0.0,0.5833
Piotr Rzucidlo,10,24.4,9.5,14.9,5.6804,3.8,1.5,2.3,2.3476,0.4,0.2,0.6,0.9661,0.5
Mateusz Piszczelok,9,23.2222,11.7778,11.4444,5.069,4.2222,2.0,2.2222,2.1667,0.1111,0.1111,0.2222,0.6667,0.4737
Koki Nagamine,4,26.0,12.75,13.25,4.9666,3.75,1.25,2.5,0.5,0.0,0.0,0.0,0.0,0.2857
Tomasz Marciniak,4,26.25,8.5,17.75,3.4034,5.0,1.25,3.75,2.9439,0.25,0.25,0.5,1.0,0.2857
Yusuke Araki,3,23.0,10.0,13.0,3.6056,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2308
Lukasz Karski,2,23.0,12.5,10.5,8.4853,5.0,2.0,3.0,2.8284,0.0,0.0,0.0,0.0,0.1667
Grzegorz Kawalko,1,21.0,12.0,9.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0909
Jacek Malyszek,1,14.0,6.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909
Mohammad Al-Emara,1,28.0,14.0,14.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0909
Sebastian Jarzebak,1,19.0,9.0,10.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0909
Sebastian Mucha,1,22.0,13.0,9.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0909
Tomasz Listkiewicz,1,22.0,10.0,12.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0909
