sezon,referee_full_name,matches_count,fouls_total_avg,fouls_home_avg,fouls_away_avg,yc_total_avg,yc_home_avg,yc_away_avg,straight_red_total_avg,second_yellow_red_total_avg,dismissals_total_avg,reliability_k10
2023/24,Szymon Marciniak,30,25.1333,12.1333,13.0,4.1667,2.0333,2.1333,0.0333,0.0333,0.0667,0.75
2023/24,Jaroslaw Przybyl,24,25.5417,12.3333,13.2083,4.5417,2.3333,2.2083,0.2083,0.0417,0.25,0.7059
2023/24,Tomasz Musial,24,27.375,14.6667,12.7083,3.2083,1.8333,1.375,0.1667,0.0417,0.2083,0.7059
2023/24,Piotr Lasyk,23,24.9565,12.6522,12.3043,4.087,1.8261,2.2609,0.087,0.087,0.1739,0.697
2023/24,Bartosz Frankowski,22,24.0455,12.9545,11.0909,4.3182,1.9091,2.4091,0.2727,0.1818,0.4545,0.6875
2023/24,Damian Sylwestrzak,20,28.05,14.9,13.15,4.3,2.25,2.05,0.3,0.25,0.55,0.6667
2023/24,Pawel Raczkowski,20,25.5,11.5,14.0,5.65,2.3,3.35,0.25,0.1,0.35,0.6667
2023/24,Daniel Stefanski,19,29.0,15.2632,13.7368,6.1053,3.3158,2.7895,0.3684,0.2632,0.6316,0.6552
2023/24,Karol Arys,19,25.0,12.2105,12.7895,3.9474,2.0,1.9474,0.3158,0.1053,0.4211,0.6552
2023/24,Tomasz Kwiatkowski,16,23.375,11.875,11.5,3.25,1.4375,1.8125,0.375,0.0,0.375,0.6154
2023/24,Krzysztof Jakubik,14,24.0,12.5,11.5,3.0714,1.7143,1.3571,0.0,0.0,0.0,0.5833
2023/24,Lukasz Kuzma,13,25.8462,13.0,12.8462,5.1538,2.1538,3.0,0.3077,0.2308,0.5385,0.5652
2023/24,Marcin Szczerbowicz,12,26.25,12.3333,13.9167,4.0833,1.6667,2.4167,0.1667,0.0833,0.25,0.5455
2023/24,Damian Kos,11,24.6364,12.1818,12.4545,5.4545,2.8182,2.6364,0.3636,0.1818,0.5455,0.5238
2023/24,Patryk Gryckiewicz,10,28.1,14.6,13.5,4.6,2.3,2.3,0.3,0.2,0.5,0.5
2023/24,Pawel Malec,10,21.6,11.2,10.4,4.7,2.3,2.4,0.3,0.1,0.4,0.5
2023/24,Marcin Kochanek,7,29.4286,16.5714,12.8571,5.1429,2.7143,2.4286,0.2857,0.1429,0.4286,0.4118
2023/24,Wojciech Myc,7,28.5714,14.8571,13.7143,4.8571,2.7143,2.1429,0.2857,0.1429,0.4286,0.4118
2023/24,Sebastian Krasny,5,26.0,12.6,13.4,4.2,1.6,2.6,0.4,0.4,0.8,0.3333
2024/25,Szymon Marciniak,25,23.92,11.84,12.08,3.76,1.72,2.04,0.08,0.04,0.12,0.7143
2024/25,Lukasz Kuzma,23,24.9565,13.0435,11.913,3.7391,1.7391,2.0,0.2174,0.1304,0.3478,0.697
2024/25,Piotr Lasyk,23,23.2174,11.1304,12.087,3.4783,1.5652,1.913,0.2174,0.087,0.3043,0.697
2024/25,Wojciech Myc,22,25.9545,13.6818,12.2727,3.9091,1.9545,1.9545,0.0455,0.0455,0.0909,0.6875
2024/25,Damian Sylwestrzak,19,24.6316,13.4737,11.1579,4.5789,2.4211,2.1579,0.2105,0.1053,0.3158,0.6552
2024/25,Tomasz Kwiatkowski,19,23.8421,12.0,11.8421,4.8947,2.0526,2.8421,0.1053,0.1053,0.2105,0.6552
2024/25,Jaroslaw Przybyl,18,27.4444,12.5,14.9444,4.7778,2.1111,2.6667,0.1111,0.0556,0.1667,0.6429
2024/25,Daniel Stefanski,17,25.4118,12.4706,12.9412,3.7059,1.6471,2.0588,0.1765,0.0588,0.2353,0.6296
2024/25,Karol Arys,17,22.0,11.2353,10.7647,2.4118,0.8824,1.5294,0.1176,0.0588,0.1765,0.6296
2024/25,Patryk Gryckiewicz,17,22.8824,11.6471,11.2353,4.8235,2.4118,2.4118,0.1765,0.1765,0.3529,0.6296
2024/25,Pawel Raczkowski,17,23.1176,10.5294,12.5882,4.8824,2.6471,2.2353,0.2941,0.1176,0.4118,0.6296
