sezon,druzyna,status,mecze_w_sezonie,avg_strzelone,avg_stracone,avg_ligowa,prior_atak,prior_obrona,k_prior
2023/24,Cracovia,stabilna,34,1.324,1.353,1.345,,,
2023/24,Górnik Zabrze,stabilna,34,1.324,1.206,1.345,,,
2023/24,Jagiellonia Białystok,stabilna,34,2.265,1.324,1.345,,,
2023/24,Korona Kielce,stabilna,34,1.176,1.294,1.345,,,
2023/24,Lech Poznań,stabilna,34,1.382,1.206,1.345,,,
2023/24,Legia Warszawa,stabilna,34,1.5,1.147,1.345,,,
2023/24,Piast Gliwice,stabilna,34,1.118,1.029,1.345,,,
2023/24,Pogoń Szczecin,stabilna,34,1.735,1.118,1.345,,,
2023/24,Puszcza Niepołomice,stabilna,34,1.147,1.441,1.345,,,
2023/24,Radomiak Radom,stabilna,34,1.206,1.706,1.345,,,
2023/24,Raków Częstochowa,stabilna,34,1.588,1.147,1.345,,,
2023/24,Ruch Chorzów,stabilna,34,1.176,1.618,1.345,,,
2023/24,Stal Mielec,stabilna,34,1.235,1.412,1.345,,,
2023/24,Warta Poznań,stabilna,34,0.971,1.265,1.345,,,
2023/24,Widzew Łódź,stabilna,34,1.324,1.353,1.345,,,
2023/24,Zagłębie Lubin,stabilna,34,1.265,1.471,1.345,,,
2023/24,ŁKS Łódź,stabilna,34,1.0,2.206,1.345,,,
2023/24,Śląsk Wrocław,stabilna,34,1.471,0.912,1.345,,,
2024/25,GKS Katowice,beniaminek,34,1.441,1.382,1.377,0.8,1.1,10.0
2024/25,Lechia Gdańsk,beniaminek,34,1.294,1.735,1.377,0.8,1.1,10.0
2024/25,Motor Lublin,beniaminek,34,1.412,1.735,1.377,0.8,1.1,10.0
2024/25,Ruch Chorzów,spadkowicz,0,,,1.377,,,
2024/25,Warta Poznań,spadkowicz,0,,,1.377,,,
2024/25,ŁKS Łódź,spadkowicz,0,,,1.377,,,
2024/25,Cracovia,stabilna,34,1.706,1.559,1.377,,,
2024/25,Górnik Zabrze,stabilna,34,1.265,1.147,1.377,,,
2024/25,Jagiellonia Białystok,stabilna,34,1.647,1.235,1.377,,,
2024/25,Korona Kielce,stabilna,34,1.088,1.324,1.377,,,
2024/25,Lech Poznań,stabilna,34,2.0,0.912,1.377,,,
2024/25,Legia Warszawa,stabilna,34,1.765,1.324,1.377,,,
2024/25,Piast Gliwice,stabilna,34,1.088,1.059,1.377,,,
2024/25,Pogoń Szczecin,stabilna,34,1.735,1.176,1.377,,,
2024/25,Puszcza Niepołomice,stabilna,34,1.088,1.853,1.377,,,
2024/25,Radomiak Radom,stabilna,34,1.412,1.529,1.377,,,
2024/25,Raków Częstochowa,stabilna,34,1.5,0.676,1.377,,,
2024/25,Stal Mielec,stabilna,34,1.147,1.647,1.377,,,
2024/25,Widzew Łódź,stabilna,34,1.118,1.441,1.377,,,
2024/25,Zagłębie Lubin,stabilna,34,0.971,1.5,1.377,,,
2024/25,Śląsk Wrocław,stabilna,34,1.118,1.559,1.377,,,
2025/26,Arka Gdynia,beniaminek,34,1.0,1.794,1.368,0.7744,1.0648,10.0
2025/26,Bruk-Bet Termalica Nieciecza,beniaminek,34,1.265,1.912,1.368,0.7744,1.0648,10.0
2025/26,Wisła Płock,beniaminek,34,1.0,1.118,1.368,0.7744,1.0648,10.0
2025/26,Puszcza Niepołomice,spadkowicz,0,,,1.368,,,
2025/26,Stal Mielec,spadkowicz,0,,,1.368,,,
2025/26,Śląsk Wrocław,spadkowicz,0,,,1.368,,,
2025/26,Cracovia,stabilna,34,1.147,1.235,1.368,,,
2025/26,GKS Katowice,stabilna,34,1.5,1.324,1.368,,,
2025/26,Górnik Zabrze,stabilna,34,1.471,1.118,1.368,,,
2025/26,Jagiellonia Białystok,stabilna,34,1.647,1.206,1.368,,,
2025/26,Korona Kielce,stabilna,34,1.176,1.176,1.368,,,
2025/26,Lech Poznań,stabilna,34,1.824,1.324,1.368,,,
2025/26,Lechia Gdańsk,stabilna,34,1.824,1.912,1.368,,,
2025/26,Legia Warszawa,stabilna,34,1.235,1.088,1.368,,,
2025/26,Motor Lublin,stabilna,34,1.353,1.559,1.368,,,
2025/26,Piast Gliwice,stabilna,34,1.235,1.353,1.368,,,
2025/26,Pogoń Szczecin,stabilna,34,1.382,1.441,1.368,,,
2025/26,Radomiak Radom,stabilna,34,1.529,1.559,1.368,,,
2025/26,Raków Częstochowa,stabilna,34,1.5,1.176,1.368,,,
2025/26,Widzew Łódź,stabilna,34,1.206,1.206,1.368,,,
2025/26,Zagłębie Lubin,stabilna,34,1.324,1.118,1.368,,,
