player_slug,nazwa,klub_slug,gk_bramki-stracone,gk_czyste-konta,gk_gk-dlugie-podania-celne,gk_gk-mecze-rozegrane,gk_gk-minuty-rozegrane,gk_gk-piastkowania,gk_gk-podania-celne,gk_gk-podania,gk_gk-rzuty-karne-przeciwko,gk_obronione-rzuty-karne,gk_obronione-strzaly,pole_asysty,pole_celne-strzaly,pole_celnosc-strzalow,pole_dogodne-szanse,pole_dosrodkowania-celne,pole_dosrodkowania,pole_dryblingi,pole_faule-wywalczone,pole_faule,pole_gole-z-gry,pole_gole-z-pola-karnego,pole_gole-z-rzutow-karnych,pole_gole,pole_kanadyjska,pole_karne-wykonane,pole_kluczowe-podania,pole_konwersja-strzalow,pole_minuty,pole_odbiory,pole_podania-celne-w-polowie-przeciwnika,pole_podania-celne,pole_podania-w-polowie-przeciwnika,pole_podania,pole_pojedynki-obronne-wygrane,pole_pojedynki-wygrane,pole_przechwyty,pole_rzuty-rozne,pole_spalone,pole_strzaly,pole_stworzone-dogodne-szanse,pole_wybicia,pole_xa,pole_xg,pole_xgot,pole_zablokowane-strzaly
andreas-skovgaard-larsen,Andreas Skovgaard LarsenCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,22,4,15,19,0,0,0,0,3,0,9,0,1901,24,257,0,391,793,24,76,21,0,1,0,0,56,0.8,0,0,1
arttu-hoskonen,Arttu HoskonenCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,7,54,0,0,6,3,8,11,0,1,0,1,1,0,6,8,2152,21,296,0,395,1036,21,84,15,0,2,13,0,78,0.6,1.7,1.7,6
bartomiej-kolec,Bartłomiej KolecCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,4,0,4,5,1,1,0,0,0,0,0,0,0,0,0,0
cornel-rapa,Cornel Emilian RâpăCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,1,2,20,0,20,72,7,6,17,0,0,0,0,1,0,13,0,1176,10,180,0,301,413,10,44,9,0,0,10,0,36,1.8,0.5,0.1,5
davi-kristjan-olafsson,Davíð Kristján ÓlafssonCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,3,1,25,0,7,20,4,7,7,1,1,0,1,4,0,12,25,809,2,91,0,153,210,2,22,5,11,0,4,0,20,2.1,0.7,0.8,0
eneo-bitri,Eneo BitriCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,2,50,0,0,0,4,3,14,0,1,0,1,1,0,0,25,777,7,74,0,124,424,7,70,12,0,0,4,0,70,0.1,0.6,0.9,2
fabian-bzdyl,Fabian BzdylCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
filip-rozga,Filip Jan RózgaCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,1,1,33,0,1,6,17,12,8,0,0,0,0,1,0,3,0,262,6,27,0,48,57,6,36,4,0,0,3,0,6,0.4,0.2,0.1,1
jakub-jugas,Jakub JugasCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,2,9,1,6,10,0,0,0,0,0,0,8,0,1015,13,127,0,179,413,13,48,10,0,0,4,0,47,0.7,0.5,0.2,3
jakub-myszor,Jakub MyszorCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,3,11,5,9,6,0,0,0,0,0,0,3,0,224,2,43,0,71,82,2,14,1,0,0,3,0,2,0.2,0.1,0.4,1
jani-atanasov,Jani AtanasovCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,2,14,45,0,4,16,35,14,46,4,4,1,5,7,1,25,16,2018,29,448,0,701,1075,29,117,16,44,0,31,0,26,2.9,3.3,4.4,18
kacper-jodowski,Kacper JodłowskiCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
kacper-smiglewski,Kacper ŚmiglewskiCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,12,13,0,0,0,0,1,0,3,0,294,2,22,0,36,45,2,23,0,0,5,1,0,5,0,0.1,0,2
kamil-jacek-glik,Kamil Jacek GlikCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,4,50,0,0,2,1,13,12,0,2,0,2,2,0,2,25,1107,6,61,0,108,355,6,55,11,0,0,8,0,50,0.3,1,0.6,1
kamil-ogorzay,Kamil OgorzałyCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,14,0,1,0,6,6,0,1,0,0,0,0,0,0,0,0,0,0
karol-knap,Karol KnapCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,3,8,50,0,5,18,15,21,21,2,4,2,4,7,2,29,25,1456,12,274,0,457,559,12,76,18,53,1,16,0,24,2.6,2.9,3.4,11
lukas-hrosso,Lukáš HroššoCracovia,cracovia,11,3,53,7,630,4,0,168,1,0,18,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,630,0,46,0,107,168,0,4,1,0,0,0,0,7,0,0,0,0
mateusz-bochnak,Mateusz BochnakCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,4,44,0,6,20,25,5,3,0,0,0,0,0,0,10,0,849,8,127,0,178,216,8,31,3,1,12,9,0,2,1.3,1.1,0.6,4
micha-miosz-rakoczy,Michał Miłosz RakoczyCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,3,17,44,0,7,28,95,39,36,6,4,0,6,9,1,42,15,2390,21,331,0,563,636,21,118,9,61,4,39,0,7,3.9,6.9,4.4,29
mikkel-maigaard-jakobsen,Mikkel Maigaard JakobsenCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,1,3,50,0,2,4,4,4,4,0,0,0,0,1,0,4,0,468,6,80,0,117,159,6,22,4,2,1,6,0,10,0.5,1.8,2.3,4
otar-kakabadze,Otar KakabadzeCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,6,50,0,7,56,45,11,34,2,1,0,2,2,0,11,17,1588,30,250,0,419,611,30,97,34,1,1,12,0,36,1.3,0.6,1.1,5
patryk-makuch,Patryk MakuchCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,4,24,36,0,5,40,51,68,39,3,5,0,5,9,1,33,8,2621,23,336,0,566,648,23,284,12,0,10,66,0,41,3.6,7.2,7.8,25
patryk-zaucha,Patryk ZauchaCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13,1,1,0,4,5,1,5,1,0,0,0,0,3,0,0,0,0
benjamin-kallman,Paul Benjamin Sven-Eber KällmanCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,6,21,53,0,6,11,50,41,41,8,7,0,9,15,0,35,23,2620,7,251,0,408,482,7,147,6,0,10,40,0,28,3.2,7.4,9.5,12
pawe-jaroszynski,Paweł Kamil JaroszyńskiCracovia,cracovia,0,0,0,0,0,0,0,0,0,0,0,1,4,44,0,11,62,19,16,27,1,1,0,3,4,0,19,33,1427,18,206,0,348,476,18,76,27,6,1,9,0,34,1.6,0.8,1.4,5
sebastian-madejski,Sebastian MadejskiCracovia,cracovia,35,7,176,27,2430,15,0,632,7,1,74,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,2430,0,131,0,321,632,0,14,0,0,0,0,0,30,0,0,0,0
