match_id,gospodarz,gosc,gole_gosp,gole_gosc,data_meczu,posiadanie_gosp,posiadanie_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,strzaly_zablokowane_gosp,strzaly_zablokowane_gosc,strzaly_niecelne_gosp,strzaly_niecelne_gosc,rozne_gosp,rozne_gosc,faule_gosp,faule_gosc,spalone_gosp,spalone_gosc,zk_gosp,zk_gosc,czk_gosp,czk_gosc,druga_zk_gosp,druga_zk_gosc,dosrodkowania_gosp,dosrodkowania_gosc,dosrodkowania_celne_gosp,dosrodkowania_celne_gosc,odbiory_gosp,odbiory_gosc,podania_gosp,podania_gosc,podania_celne_gosp,podania_celne_gosc,kolejka
2344,JAG,BBT,0,4,2025-07-18,64.2,35.8,13.0,18.0,4.0,6.0,4.0,8.0,5.0,4.0,3.0,8.0,7.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,12.0,8.0,4.0,16.0,14.0,543.0,311.0,469.0,226.0,1
2345,LPO,CRA,1,4,2025-07-18,74.6,25.4,10.0,7.0,2.0,5.0,2.0,0.0,6.0,2.0,5.0,0.0,10.0,12.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,30.0,1.0,4.0,0.0,6.0,8.0,638.0,222.0,572.0,153.0,1
2346,WID,ZAG,1,0,2025-07-19,52.8,47.2,15.0,11.0,4.0,2.0,8.0,3.0,3.0,6.0,8.0,6.0,8.0,20.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,17.0,14.0,4.0,3.0,11.0,8.0,349.0,311.0,283.0,244.0,1
2347,WPŁ,KOR,2,0,2025-07-19,64.3,35.7,22.0,5.0,8.0,1.0,3.0,1.0,11.0,3.0,7.0,1.0,12.0,13.0,1.0,4.0,1.0,3.0,0.0,2.0,0.0,1.0,25.0,6.0,6.0,1.0,7.0,5.0,499.0,282.0,436.0,212.0,1
2348,GKS,RCZ,0,1,2025-07-19,49.2,50.8,3.0,18.0,0.0,4.0,1.0,7.0,2.0,7.0,3.0,6.0,7.0,14.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,21.0,2.0,5.0,10.0,9.0,424.0,439.0,345.0,364.0,1
2349,GÓR,LGD,2,1,2025-07-20,52.5,47.5,21.0,15.0,6.0,6.0,5.0,2.0,10.0,7.0,6.0,3.0,8.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,8.0,5.0,5.0,7.0,10.0,430.0,398.0,371.0,329.0,1
2350,MOT,ARK,1,0,2025-07-20,60.1,39.9,17.0,9.0,5.0,1.0,4.0,3.0,8.0,5.0,8.0,8.0,14.0,11.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,28.0,21.0,4.0,3.0,4.0,5.0,457.0,301.0,375.0,235.0,1
2351,LEG,PIA,0,1,2025-07-20,52.7,47.3,9.0,10.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0,14.0,14.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,18.0,12.0,6.0,3.0,16.0,8.0,416.0,380.0,319.0,295.0,1
2352,RAD,POG,5,1,2025-07-20,42.8,57.2,15.0,6.0,8.0,1.0,4.0,0.0,3.0,5.0,4.0,4.0,8.0,9.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,18.0,7.0,6.0,5.0,4.0,300.0,403.0,240.0,333.0,1
2353,ARK,RAD,1,1,2025-07-25,48.9,51.1,10.0,15.0,4.0,3.0,1.0,2.0,5.0,10.0,5.0,4.0,16.0,12.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,16.0,14.0,4.0,1.0,9.0,13.0,319.0,334.0,251.0,266.0,2
2354,LGD,LPO,3,4,2025-07-26,39.9,60.1,16.0,21.0,7.0,11.0,6.0,5.0,3.0,5.0,9.0,10.0,13.0,11.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,21.0,20.0,6.0,7.0,14.0,8.0,278.0,433.0,211.0,363.0,2
2355,POG,MOT,4,1,2025-07-26,42.0,58.0,19.0,20.0,5.0,8.0,5.0,4.0,9.0,8.0,6.0,8.0,11.0,8.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,31.0,5.0,6.0,5.0,9.0,298.0,409.0,231.0,348.0,2
2356,KOR,LEG,0,2,2025-07-27,52.0,48.0,18.0,17.0,2.0,5.0,9.0,3.0,7.0,9.0,13.0,7.0,8.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,18.0,8.0,4.0,11.0,14.0,388.0,374.0,312.0,300.0,2
2357,CRA,BBT,2,0,2025-07-25,46.3,53.7,14.0,7.0,3.0,4.0,3.0,1.0,8.0,2.0,5.0,6.0,16.0,16.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,13.0,19.0,5.0,3.0,14.0,11.0,314.0,363.0,234.0,272.0,2
2358,GKS,ZAG,2,2,2025-07-28,55.8,44.2,18.0,20.0,8.0,3.0,6.0,11.0,4.0,6.0,14.0,8.0,9.0,16.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,22.0,7.0,4.0,6.0,4.0,311.0,248.0,229.0,177.0,2
2359,RCZ,WPŁ,1,2,2025-07-27,60.7,39.3,11.0,11.0,3.0,5.0,4.0,1.0,4.0,5.0,6.0,3.0,17.0,21.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,30.0,11.0,9.0,2.0,8.0,11.0,480.0,320.0,410.0,239.0,2
2360,JAG,WID,3,2,2025-07-27,58.7,41.3,12.0,18.0,5.0,7.0,5.0,3.0,2.0,8.0,4.0,2.0,12.0,18.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,18.0,8.0,2.0,3.0,8.0,8.0,442.0,314.0,364.0,244.0,2
2361,PIA,GÓR,0,1,2025-07-26,61.8,38.2,10.0,8.0,0.0,4.0,3.0,2.0,7.0,2.0,6.0,2.0,13.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,17.0,14.0,1.0,1.0,7.0,6.0,514.0,315.0,452.0,255.0,2
2362,WPŁ,PIA,2,0,2025-08-01,30.2,69.8,9.0,6.0,3.0,1.0,5.0,2.0,1.0,3.0,8.0,6.0,10.0,11.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,17.0,23.0,4.0,4.0,7.0,3.0,250.0,600.0,193.0,542.0,3
2363,BBT,POG,1,1,2025-08-02,42.0,58.0,16.0,12.0,7.0,2.0,5.0,5.0,4.0,5.0,6.0,9.0,8.0,14.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,27.0,3.0,2.0,4.0,8.0,339.0,453.0,254.0,383.0,3
2364,LEG,ARK,0,0,2025-08-03,62.9,37.1,20.0,6.0,3.0,0.0,10.0,3.0,7.0,3.0,13.0,4.0,19.0,13.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,37.0,19.0,11.0,6.0,7.0,8.0,473.0,284.0,388.0,213.0,3
2365,MOT,JAG,1,1,2025-08-03,49.8,50.2,15.0,21.0,1.0,7.0,5.0,5.0,9.0,9.0,5.0,7.0,14.0,8.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,24.0,19.0,9.0,8.0,15.0,7.0,372.0,386.0,290.0,315.0,3
2366,ZAG,KOR,1,1,2025-08-01,45.6,54.4,8.0,17.0,2.0,5.0,0.0,8.0,6.0,4.0,7.0,8.0,15.0,19.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,27.0,7.0,7.0,11.0,10.0,309.0,372.0,222.0,285.0,3
