pozycja,player_slug,klub_slug,nazwa,wartosc
1,rafa-leszczynski,slask-wroclaw,Rafał LeszczyńskiŚląsk Wrocław,22
1,dante-stipica,ruch-chorzow,Dante StipicaRuch Chorzów,22
3,zlatan-alomerovic,jagiellonia-bialystok,Zlatan AlomerovićJagiellonia Białystok,19
3,daniel-bielica,gornik-zabrze,Daniel BielicaGórnik Zabrze,19
5,xavier-dziekonski,korona-kielce,Xavier DziekońskiKorona Kielce,17
5,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,17
7,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,16
8,mateusz-kochalski,stal-mielec,Mateusz KochalskiStal Mielec,15
8,sebastian-madejski,cracovia,Sebastian MadejskiCracovia,15
10,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,11
11,aleksander-bobek,lks-lodz,Aleksander BobekŁKS Łódź,10
12,adrian-lis,warta-poznan,Adrian LisWarta Poznań,9
12,henrich-ravas,widzew-lodz,Henrich RavasWidzew Łódź,9
12,kacper-tobiasz,legia-warszawa,Kacper TobiaszLegia Warszawa,9
15,jedrzej-grobelny,warta-poznan,Jędrzej GrobelnyWarta Poznań,8
16,krzysztof-kaminski,ruch-chorzow,Krzysztof KamińskiRuch Chorzów,7
16,oliwier-zych,puszcza-niepolomice,Oliwier ZychPuszcza Niepołomice,7
18,dawid-arndt,lks-lodz,Dawid ArndtŁKS Łódź,6
18,sokratis-dioudis,zagebie-lubin,Sokratis DioudisKGHM Zagłębie Lubin,6
18,vladan-kovacevic,rakow-czestochowa,Vladan KovačevićRaków Częstochowa,6
21,albert-posiadaa,radomiak-radom,Albert PosiadałaRadomiak Radom,5
22,konrad-forenc,korona-kielce,Konrad ForencKorona Kielce,4
22,rafa-tadeusz-gikiewicz,widzew-lodz,Rafał Tadeusz GikiewiczWidzew Łódź,4
22,lukas-hrosso,cracovia,Lukáš HroššoCracovia,4
22,gabriel-kobylak,legia-warszawa,Gabriel KobylakLegia Warszawa,4
22,filip-majchrowicz,radomiak-radom,Filip MajchrowiczRadomiak Radom,4
27,kacper-bieszczad,rakow-czestochowa,Kacper BieszczadRaków Częstochowa,3
27,dominik-hadun,legia-warszawa,Dominik HładunLegia Warszawa,3
27,karol-szymanski,piast-gliwice,Karol SzymańskiPiast Gliwice,3
27,szymon-weirauch,zagebie-lubin,Szymon WeirauchKGHM Zagłębie Lubin,3
31,krzysztof-maciej-bakowski,radomiak-radom,Krzysztof Maciej BąkowskiRadomiak Radom,2
31,micha-buchalik,ruch-chorzow,Michał BuchalikRuch Chorzów,2
31,jasmin-buric,zagebie-lubin,Jasmin BurićKGHM Zagłębie Lubin,2
31,bartosz-klebaniuk,pogon-szczecin,Bartosz KlebaniukPogoń Szczecin,2
31,kewin-komar,puszcza-niepolomice,Kewin KomarPuszcza Niepołomice,2
36,filip-bednarek,lech-poznan,Filip BednarekLech Poznań,1
36,jakub-bielecki,ruch-chorzow,Jakub BieleckiRuch Chorzów,1
