pozycja,player_slug,klub_slug,nazwa,wartosc
1,erik-exposito,slask-wroclaw,Erik Alexander Expósito HernándezŚląsk Wrocław,42
2,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,37
3,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,35
4,marc-gual-huguet,legia-warszawa,Marc Gual HuguetLegia Warszawa,33
5,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,32
6,vahan-bichakhchyan,pogon-szczecin,Vahan BichakhchyanPogoń Szczecin,30
7,kristoffer-velde,lech-poznan,Kristoffer VeldeLech Poznań,28
8,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,27
8,dawid-kurminowski,zagebie-lubin,Dawid KurminowskiKGHM Zagłębie Lubin,27
10,ilya-shkurin,stal-mielec,Ilya ShkurinStal Mielec,26
11,jordi-sanchez-ribas,widzew-lodz,Jordi Sánchez RibasWidzew Łódź,25
12,patryk-makuch,cracovia,Patryk MakuchCracovia,24
12,daniel-szczepan,ruch-chorzow,Daniel SzczepanRuch Chorzów,24
14,kacper-chodyna,zagebie-lubin,Kacper ChodynaKGHM Zagłębie Lubin,23
14,bartomiej-radosaw-pawowski,widzew-lodz,Bartłomiej Radosław PawłowskiWidzew Łódź,23
14,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,23
17,rui-filipe-da-cunha-correia,jagiellonia-bialystok,NenéJagiellonia Białystok,22
18,michael-ameyaw,piast-gliwice,Michael AmeyawPiast Gliwice,21
18,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,21
18,adrian-kapralik,gornik-zabrze,Adrián KaprálikGórnik Zabrze,21
18,matias-nahuel-leiva-esquivel,slask-wroclaw,Matías Nahuel Leiva EsquivelŚląsk Wrocław,21
18,dani-ramirez,lks-lodz,Dani RamírezŁKS Łódź,21
23,pedro-henrique-alves-de-almeida,radomiak-radom,Pedro HenriqueRadomiak Radom,20
23,ante-crnac,rakow-czestochowa,Ante CrnacRaków Częstochowa,20
23,lawrence-ennali,gornik-zabrze,Lawrence EnnaliGórnik Zabrze,20
23,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,20
23,evgeni-shikavka,korona-kielce,Evgeni ShikavkaKorona Kielce,20
23,josue-pesqueira,legia-warszawa,JosuéLegia Warszawa,20
23,kay-tejan,lks-lodz,Kay Sheku TejanŁKS Łódź,20
30,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,19
30,kamil-zapolnik,puszcza-niepolomice,Kamil ZapolnikPuszcza Niepołomice,19
30,mateusz-zukowski,slask-wroclaw,Mateusz ŻukowskiŚląsk Wrocław,19
33,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,18
33,imad-rondic,widzew-lodz,Imad RondićWidzew Łódź,18
35,maciej-domanski,stal-mielec,Maciej DomańskiStal Mielec,17
35,koki-hinokio,stal-mielec,Koki HinokioStal Mielec,17
35,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,17
35,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,17
35,micha-miosz-rakoczy,cracovia,Michał Miłosz RakoczyCracovia,17
40,jose-naranjo,jagiellonia-bialystok,José Manuel García NaranjoJagiellonia Białystok,16
40,filip-marchwinski,lech-poznan,Filip MarchwińskiLech Poznań,16
40,ukasz-zwolinski,rakow-czestochowa,Łukasz Piotr ZwolińskiRaków Częstochowa,16
43,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,15
43,dominik-marczuk,jagiellonia-bialystok,Dominik MarczukJagiellonia Białystok,15
43,sebastian-musiolik,gornik-zabrze,Sebastian Karol MusiolikGórnik Zabrze,15
43,tomas-pekhart,legia-warszawa,Tomáš PekhartLegia Warszawa,15
48,jani-atanasov,cracovia,Jani AtanasovCracovia,14
48,piotr-samiec-talar,slask-wroclaw,Piotr Samiec-TalarŚląsk Wrocław,14
48,kajetan-szmyt,warta-poznan,Kajetan SzmytWarta Poznań,14
48,mateusz-wdowiak,zagebie-lubin,Mateusz WdowiakKGHM Zagłębie Lubin,14
48,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,14
53,dawid-abramowicz,radomiak-radom,Dawid AbramowiczRadomiak Radom,13
53,david-gonzalez-plata,korona-kielce,NonoKorona Kielce,13
53,alexander-gorgon,pogon-szczecin,Alexander GorgonPogoń Szczecin,13
53,bogdan-racovitan,rakow-czestochowa,Bogdan RacovițanRaków Częstochowa,13
53,artur-siemaszko,puszcza-niepolomice,Artur SiemaszkoPuszcza Niepołomice,13
53,filip-szymczak,lech-poznan,Filip SzymczakLech Poznań,13
53,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,13
53,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,13
61,leonardo-miramar-rocha,radomiak-radom,Leonardo RochaRadomiak Radom,12
61,ernest-muci,legia-warszawa,Ernest MuçiLegia Warszawa,12
61,fabian-piasecki,piast-gliwice,Fabian PiaseckiPiast Gliwice,12
61,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,12
61,ukasz-jozef-podolski,gornik-zabrze,Łukasz Józef PodolskiGórnik Zabrze,12
61,lisandro-pedro-varela-semedo,radomiak-radom,Lisandro SemedoRadomiak Radom,12
61,daisuke-yokota,gornik-zabrze,Daisuke YokotaGórnik Zabrze,12
69,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,11
69,adriel-ba-loua,lech-poznan,Adriel D'Avila Ba LouaLech Poznań,11
69,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,11
69,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,11
69,fabio-nunes,widzew-lodz,Fábio NunesWidzew Łódź,11
69,adrian-dalmau-vaquer,korona-kielce,Adrián Dalmau VaquerKorona Kielce,11
69,virgil-ghita,cracovia,Virgil Eugen GhițăCracovia,11
69,antoni-klimek,widzew-lodz,Antoni KlimekWidzew Łódź,11
69,miosz-kozak,ruch-chorzow,Miłosz KozakRuch Chorzów,11
69,juan-munoz,zagebie-lubin,Juan Muñoz MuñozKGHM Zagłębie Lubin,11
69,soma-novothny,ruch-chorzow,Soma Zsombor NovothnyRuch Chorzów,11
69,krzysztof-wokowicz,stal-mielec,Krzysztof WołkowiczStal Mielec,11
81,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,10
81,damian-kadzior,piast-gliwice,Damian KądziorPiast Gliwice,10
81,kamil-lukoszek,gornik-zabrze,Kamil LukoszekGórnik Zabrze,10
81,grzegorz-tomasiewicz,piast-gliwice,Grzegorz TomasiewiczPiast Gliwice,10
81,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,10
81,maciej-zurawski,warta-poznan,Maciej Stanisław ŻurawskiWarta Poznań,10
87,serhii-buletsa,zagebie-lubin,Serhii BuletsaKGHM Zagłębie Lubin,9
