pozycja,player_slug,klub_slug,nazwa,wartosc
1,josue-pesqueira,legia-warszawa,JosuéLegia Warszawa,92
2,erik-exposito,slask-wroclaw,Erik Alexander Expósito HernándezŚląsk Wrocław,85
3,rui-filipe-da-cunha-correia,jagiellonia-bialystok,NenéJagiellonia Białystok,83
4,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,74
5,michael-ameyaw,piast-gliwice,Michael AmeyawPiast Gliwice,71
6,patryk-makuch,cracovia,Patryk MakuchCracovia,68
7,fabio-nunes,widzew-lodz,Fábio NunesWidzew Łódź,64
7,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,64
9,david-gonzalez-plata,korona-kielce,NonoKorona Kielce,62
10,grzegorz-tomasiewicz,piast-gliwice,Grzegorz TomasiewiczPiast Gliwice,61
11,kristoffer-velde,lech-poznan,Kristoffer VeldeLech Poznań,59
12,radosaw-pawe-murawski,lech-poznan,Radosław Paweł MurawskiLech Poznań,57
12,michal-sacek,jagiellonia-bialystok,Michal SáčekJagiellonia Białystok,57
14,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,56
14,daniel-szczepan,ruch-chorzow,Daniel SzczepanRuch Chorzów,56
16,damian-rasak,gornik-zabrze,Damian RasakGórnik Zabrze,55
17,wojciech-hajda,puszcza-niepolomice,Wojciech HajdaPuszcza Niepołomice,54
17,jesper-karlstrom,lech-poznan,Jesper Kewe KarlströmLech Poznań,54
17,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,54
20,juergen-farid-elitim-sepulveda,legia-warszawa,Juergen Farid Elitim SepúlvedaLegia Warszawa,53
20,yuri-ribeiro,legia-warszawa,Yuri RibeiroLegia Warszawa,53
22,lawrence-ennali,gornik-zabrze,Lawrence EnnaliGórnik Zabrze,52
22,mateusz-grzybek,zagebie-lubin,Mateusz GrzybekKGHM Zagłębie Lubin,52
22,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,52
22,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,52
26,kamil-zapolnik,puszcza-niepolomice,Kamil ZapolnikPuszcza Niepołomice,51
27,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,49
27,ilya-shkurin,stal-mielec,Ilya ShkurinStal Mielec,49
29,yoav-hofmeister,korona-kielce,Yoav HofmeisterKorona Kielce,48
30,pedro-henrique-alves-de-almeida,radomiak-radom,Pedro HenriqueRadomiak Radom,45
30,koki-hinokio,stal-mielec,Koki HinokioStal Mielec,45
32,piotr-janczukowicz,lks-lodz,Piotr Marek JanczukowiczŁKS Łódź,43
32,jakub-serafin,puszcza-niepolomice,Jakub SerafinPuszcza Niepołomice,43
34,bartomiej-radosaw-pawowski,widzew-lodz,Bartłomiej Radosław PawłowskiWidzew Łódź,42
34,dani-ramirez,lks-lodz,Dani RamírezŁKS Łódź,42
34,kajetan-szmyt,warta-poznan,Kajetan SzmytWarta Poznań,42
34,daisuke-yokota,gornik-zabrze,Daisuke YokotaGórnik Zabrze,42
38,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,41
38,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,41
38,tomasz-wojtowicz,ruch-chorzow,Tomasz WójtowiczRuch Chorzów,41
41,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,40
42,micha-miosz-rakoczy,cracovia,Michał Miłosz RakoczyCracovia,39
43,adrian-dieguez-grande,jagiellonia-bialystok,Adrián Diéguez GrandeJagiellonia Białystok,38
43,aleks-awniczak,zagebie-lubin,Aleks ŁawniczakKGHM Zagłębie Lubin,38
43,dawid-szymonowicz,warta-poznan,Dawid SzymonowiczWarta Poznań,38
46,dawid-abramowicz,radomiak-radom,Dawid AbramowiczRadomiak Radom,37
46,kamil-lukoszek,gornik-zabrze,Kamil LukoszekGórnik Zabrze,37
46,micha-mokrzycki,lks-lodz,Michał MokrzyckiŁKS Łódź,37
46,lisandro-pedro-varela-semedo,radomiak-radom,Lisandro SemedoRadomiak Radom,37
51,adrian-kapralik,gornik-zabrze,Adrián KaprálikGórnik Zabrze,36
52,yehor-matsenko,slask-wroclaw,Yehor MatsenkoŚląsk Wrocław,35
52,konrad-matuszewski,warta-poznan,Konrad MatuszewskiWarta Poznań,35
52,luiz-gustavo-novaes-palhares,radomiak-radom,LuizãoRadomiak Radom,35
55,maciej-domanski,stal-mielec,Maciej DomańskiStal Mielec,34
55,maciej-zurawski,warta-poznan,Maciej Stanisław ŻurawskiWarta Poznań,34
57,kamil-dankowski,lks-lodz,Kamil DankowskiŁKS Łódź,33
57,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,33
57,miosz-kozak,ruch-chorzow,Miłosz KozakRuch Chorzów,33
57,patrick-olsen,slask-wroclaw,Patrick Haakon OlsenŚląsk Wrocław,33
57,jose-antonio-ruiz-lopez-1,lks-lodz,PiruloŁKS Łódź,33
62,karl-gustav-vilhelm-berggren,rakow-czestochowa,Karl Gustav Vilhelm BerggrenRaków Częstochowa,32
62,robert-dadok,ruch-chorzow,Robert DadokRuch Chorzów,32
62,dawid-drachal,rakow-czestochowa,Dawid DrachalRaków Częstochowa,32
62,dawid-kurminowski,zagebie-lubin,Dawid KurminowskiKGHM Zagłębie Lubin,32
62,matias-nahuel-leiva-esquivel,slask-wroclaw,Matías Nahuel Leiva EsquivelŚląsk Wrocław,32
62,arkadiusz-pyrka,piast-gliwice,Arkadiusz PyrkaPiast Gliwice,32
62,dario-vizinger,warta-poznan,Dario VizingerWarta Poznań,32
62,ukasz-zwolinski,rakow-czestochowa,Łukasz Piotr ZwolińskiRaków Częstochowa,32
70,petr-schwarz,slask-wroclaw,Petr SchwarzŚląsk Wrocław,31
70,evgeni-shikavka,korona-kielce,Evgeni ShikavkaKorona Kielce,31
70,szymon-szymanski,ruch-chorzow,Szymon SzymańskiRuch Chorzów,31
73,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,30
73,piotr-samiec-talar,slask-wroclaw,Piotr Samiec-TalarŚląsk Wrocław,30
73,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,30
76,joao-pedro-da-costa-gamboa,pogon-szczecin,João GamboaPogoń Szczecin,29
76,mateusz-wdowiak,zagebie-lubin,Mateusz WdowiakKGHM Zagłębie Lubin,29
78,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,28
78,filip-marchwinski,lech-poznan,Filip MarchwińskiLech Poznań,28
78,mateusz-matras,stal-mielec,Mateusz MatrasStal Mielec,28
78,bogdan-racovitan,rakow-czestochowa,Bogdan RacovițanRaków Częstochowa,28
78,mateusz-zukowski,slask-wroclaw,Mateusz ŻukowskiŚląsk Wrocław,28
83,christos-donis,radomiak-radom,Christos DonisRadomiak Radom,27
83,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,27
83,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,27
83,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,27
83,ernest-muci,legia-warszawa,Ernest MuçiLegia Warszawa,27
83,marcus-godinho,korona-kielce,Marcus Valdez Pereira GodinhoKorona Kielce,27
90,vahan-bichakhchyan,pogon-szczecin,Vahan BichakhchyanPogoń Szczecin,26
90,bartosz-kopacz,zagebie-lubin,Bartosz KopaczKGHM Zagłębie Lubin,26
90,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,26
90,tomasz-makowski,zagebie-lubin,Tomasz MakowskiKGHM Zagłębie Lubin,26
90,dominick-lukasz-zator,korona-kielce,Dominick Lukasz ZatorKorona Kielce,26
95,kacper-chodyna,zagebie-lubin,Kacper ChodynaKGHM Zagłębie Lubin,25
95,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,25
95,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,25
95,alexandros-katranis,piast-gliwice,Alexandros KatranisPiast Gliwice,25
95,dominik-marczuk,jagiellonia-bialystok,Dominik MarczukJagiellonia Białystok,25
95,tomas-pekhart,legia-warszawa,Tomáš PekhartLegia Warszawa,25
95,marcel-pieczek,puszcza-niepolomice,Marcel PięczekPuszcza Niepołomice,25
95,stefan-savic,warta-poznan,Stefan SavićWarta Poznań,25
95,tomasz-swedrowski,ruch-chorzow,Tomasz SwędrowskiRuch Chorzów,25
104,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,24
104,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,24
104,antoni-klimek,widzew-lodz,Antoni KlimekWidzew Łódź,24
104,leandro-rossi-pereira,radomiak-radom,LeândroRadomiak Radom,24
104,jordi-sanchez-ribas,widzew-lodz,Jordi Sánchez RibasWidzew Łódź,24
104,hubert-tomalski,puszcza-niepolomice,Hubert TomalskiPuszcza Niepołomice,24
104,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,24
104,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,24
112,jakub-bartkowski,warta-poznan,Jakub BartkowskiWarta Poznań,23
112,micha-feliks,ruch-chorzow,Michał FeliksRuch Chorzów,23
112,alexander-gorgon,pogon-szczecin,Alexander GorgonPogoń Szczecin,23
112,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,23
112,takuto-oshima,cracovia,Takuto OshimaCracovia,23
112,imad-rondic,widzew-lodz,Imad RondićWidzew Łódź,23
112,luis-machado,radomiak-radom,Luís MachadoRadomiak Radom,23
112,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,23
120,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,22
120,damian-kadzior,piast-gliwice,Damian KądziorPiast Gliwice,22
120,fabian-piasecki,piast-gliwice,Fabian PiaseckiPiast Gliwice,22
120,ukasz-jozef-podolski,gornik-zabrze,Łukasz Józef PodolskiGórnik Zabrze,22
120,maciej-rosoek,legia-warszawa,Maciej RosołekLegia Warszawa,22
120,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,22
120,mateusz-zyro,widzew-lodz,Mateusz ŻyroWidzew Łódź,22
