pozycja,player_slug,klub_slug,nazwa,wartosc
1,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,12
1,ilya-shkurin,stal-mielec,Ilya ShkurinStal Mielec,12
3,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,11
4,dawid-kurminowski,zagebie-lubin,Dawid KurminowskiKGHM Zagłębie Lubin,10
5,rui-filipe-da-cunha-correia,jagiellonia-bialystok,NenéJagiellonia Białystok,9
5,erik-exposito,slask-wroclaw,Erik Alexander Expósito HernándezŚląsk Wrocław,9
5,kristoffer-velde,lech-poznan,Kristoffer VeldeLech Poznań,9
8,ante-crnac,rakow-czestochowa,Ante CrnacRaków Częstochowa,8
8,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,8
8,marc-gual-huguet,legia-warszawa,Marc Gual HuguetLegia Warszawa,8
8,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,8
8,tomas-pekhart,legia-warszawa,Tomáš PekhartLegia Warszawa,8
8,jordi-sanchez-ribas,widzew-lodz,Jordi Sánchez RibasWidzew Łódź,8
14,alexander-gorgon,pogon-szczecin,Alexander GorgonPogoń Szczecin,7
14,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,7
14,adrian-kapralik,gornik-zabrze,Adrián KaprálikGórnik Zabrze,7
14,evgeni-shikavka,korona-kielce,Evgeni ShikavkaKorona Kielce,7
18,pedro-henrique-alves-de-almeida,radomiak-radom,Pedro HenriqueRadomiak Radom,6
18,filip-marchwinski,lech-poznan,Filip MarchwińskiLech Poznań,6
18,dominik-marczuk,jagiellonia-bialystok,Dominik MarczukJagiellonia Białystok,6
18,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,6
18,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,6
18,micha-miosz-rakoczy,cracovia,Michał Miłosz RakoczyCracovia,6
18,piotr-samiec-talar,slask-wroclaw,Piotr Samiec-TalarŚląsk Wrocław,6
18,kay-tejan,lks-lodz,Kay Sheku TejanŁKS Łódź,6
26,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,5
26,kacper-chodyna,zagebie-lubin,Kacper ChodynaKGHM Zagłębie Lubin,5
26,jose-naranjo,jagiellonia-bialystok,José Manuel García NaranjoJagiellonia Białystok,5
26,matias-nahuel-leiva-esquivel,slask-wroclaw,Matías Nahuel Leiva EsquivelŚląsk Wrocław,5
26,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,5
31,jani-atanasov,cracovia,Jani AtanasovCracovia,4
31,adriel-ba-loua,lech-poznan,Adriel D'Avila Ba LouaLech Poznań,4
31,lawrence-ennali,gornik-zabrze,Lawrence EnnaliGórnik Zabrze,4
31,micha-feliks,ruch-chorzow,Michał FeliksRuch Chorzów,4
31,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,4
31,ernest-muci,legia-warszawa,Ernest MuçiLegia Warszawa,4
31,juan-munoz,zagebie-lubin,Juan Muñoz MuñozKGHM Zagłębie Lubin,4
31,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,4
31,giannis-papanikolaou,rakow-czestochowa,Giannis PapanikolaouRaków Częstochowa,4
31,bartomiej-radosaw-pawowski,widzew-lodz,Bartłomiej Radosław PawłowskiWidzew Łódź,4
31,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,4
31,artur-siemaszko,puszcza-niepolomice,Artur SiemaszkoPuszcza Niepołomice,4
31,daniel-szczepan,ruch-chorzow,Daniel SzczepanRuch Chorzów,4
31,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,4
31,daisuke-yokota,gornik-zabrze,Daisuke YokotaGórnik Zabrze,4
31,kamil-zapolnik,puszcza-niepolomice,Kamil ZapolnikPuszcza Niepołomice,4
31,adam-zrelak,warta-poznan,Adam ZreľákWarta Poznań,4
50,michael-ameyaw,piast-gliwice,Michael AmeyawPiast Gliwice,3
50,husein-balic,lks-lodz,Husein BalićŁKS Łódź,3
50,vahan-bichakhchyan,pogon-szczecin,Vahan BichakhchyanPogoń Szczecin,3
50,mateusz-cholewiak,puszcza-niepolomice,Mateusz CholewiakPuszcza Niepołomice,3
50,adrian-dalmau-vaquer,korona-kielce,Adrián Dalmau VaquerKorona Kielce,3
50,ronaldo-deaconu,korona-kielce,Ronaldo Octavian Andrei DeaconuKorona Kielce,3
50,maciej-domanski,stal-mielec,Maciej DomańskiStal Mielec,3
50,dawid-drachal,rakow-czestochowa,Dawid DrachalRaków Częstochowa,3
