pozycja,player_slug,klub_slug,nazwa,wartosc
1,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,8
2,erik-exposito,slask-wroclaw,Erik Alexander Expósito HernándezŚląsk Wrocław,7
2,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,7
2,dani-ramirez,lks-lodz,Dani RamírezŁKS Łódź,7
2,josue-pesqueira,legia-warszawa,JosuéLegia Warszawa,7
6,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,6
6,daniel-szczepan,ruch-chorzow,Daniel SzczepanRuch Chorzów,6
8,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,5
8,kajetan-szmyt,warta-poznan,Kajetan SzmytWarta Poznań,5
10,bartomiej-radosaw-pawowski,widzew-lodz,Bartłomiej Radosław PawłowskiWidzew Łódź,3
10,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,3
10,daisuke-yokota,gornik-zabrze,Daisuke YokotaGórnik Zabrze,3
10,ukasz-zwolinski,rakow-czestochowa,Łukasz Piotr ZwolińskiRaków Częstochowa,3
14,pedro-henrique-alves-de-almeida,radomiak-radom,Pedro HenriqueRadomiak Radom,2
14,kacper-chodyna,zagebie-lubin,Kacper ChodynaKGHM Zagłębie Lubin,2
14,adrian-dalmau-vaquer,korona-kielce,Adrián Dalmau VaquerKorona Kielce,2
14,david-gonzalez-plata,korona-kielce,NonoKorona Kielce,2
14,karol-knap,cracovia,Karol KnapCracovia,2
14,matias-nahuel-leiva-esquivel,slask-wroclaw,Matías Nahuel Leiva EsquivelŚląsk Wrocław,2
14,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,2
14,ukasz-soowiej,puszcza-niepolomice,Łukasz SołowiejPuszcza Niepołomice,2
22,jani-atanasov,cracovia,Jani AtanasovCracovia,1
22,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,1
22,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,1
22,lawrence-ennali,gornik-zabrze,Lawrence EnnaliGórnik Zabrze,1
22,marton-eppel-1,warta-poznan,Márton EppelWarta Poznań,1
22,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,1
22,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,1
22,blaz-kramer,legia-warszawa,Blaž KramerLegia Warszawa,1
22,patryk-makuch,cracovia,Patryk MakuchCracovia,1
22,leonardo-miramar-rocha,radomiak-radom,Leonardo RochaRadomiak Radom,1
22,giannis-papanikolaou,rakow-czestochowa,Giannis PapanikolaouRaków Częstochowa,1
22,fabian-piasecki,piast-gliwice,Fabian PiaseckiPiast Gliwice,1
22,micha-miosz-rakoczy,cracovia,Michał Miłosz RakoczyCracovia,1
22,imad-rondic,widzew-lodz,Imad RondićWidzew Łódź,1
22,maciej-rosoek,legia-warszawa,Maciej RosołekLegia Warszawa,1
22,jordi-sanchez-ribas,widzew-lodz,Jordi Sánchez RibasWidzew Łódź,1
22,ilya-shkurin,stal-mielec,Ilya ShkurinStal Mielec,1
22,filip-szymczak,lech-poznan,Filip SzymczakLech Poznań,1
22,kay-tejan,lks-lodz,Kay Sheku TejanŁKS Łódź,1
22,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,1
22,lisandro-pedro-varela-semedo,radomiak-radom,Lisandro SemedoRadomiak Radom,1
22,kristoffer-velde,lech-poznan,Kristoffer VeldeLech Poznań,1
22,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,1
22,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,1
22,kamil-zapolnik,puszcza-niepolomice,Kamil ZapolnikPuszcza Niepołomice,1
