pozycja,player_slug,klub_slug,nazwa,wartosc
1,josue-pesqueira,legia-warszawa,JosuéLegia Warszawa,1236
2,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,1206
3,juergen-farid-elitim-sepulveda,legia-warszawa,Juergen Farid Elitim SepúlvedaLegia Warszawa,1004
4,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,857
5,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,810
6,arkadiusz-pyrka,piast-gliwice,Arkadiusz PyrkaPiast Gliwice,791
7,jesper-karlstrom,lech-poznan,Jesper Kewe KarlströmLech Poznań,776
8,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,759
9,dani-ramirez,lks-lodz,Dani RamírezŁKS Łódź,757
10,michal-sacek,jagiellonia-bialystok,Michal SáčekJagiellonia Białystok,752
11,radosaw-pawe-murawski,lech-poznan,Radosław Paweł MurawskiLech Poznań,740
12,grzegorz-tomasiewicz,piast-gliwice,Grzegorz TomasiewiczPiast Gliwice,729
13,maciej-domanski,stal-mielec,Maciej DomańskiStal Mielec,702
14,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,694
15,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,691
16,mariusz-malec,pogon-szczecin,Mariusz MalecPogoń Szczecin,675
17,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,668
18,adrian-dieguez-grande,jagiellonia-bialystok,Adrián Diéguez GrandeJagiellonia Białystok,657
19,benedikt-zech,pogon-szczecin,Benedikt ZechPogoń Szczecin,647
20,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,644
21,bogdan-racovitan,rakow-czestochowa,Bogdan RacovițanRaków Częstochowa,630
22,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,628
23,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,627
24,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,626
25,damian-rasak,gornik-zabrze,Damian RasakGórnik Zabrze,624
26,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,616
27,bartosz-slisz,legia-warszawa,Bartosz Piotr SliszLegia Warszawa,606
28,alexander-gorgon,pogon-szczecin,Alexander GorgonPogoń Szczecin,596
29,rafa-maciej-kurzawa,pogon-szczecin,Rafał Maciej KurzawaPogoń Szczecin,593
30,micha-mokrzycki,lks-lodz,Michał MokrzyckiŁKS Łódź,591
31,rui-filipe-da-cunha-correia,jagiellonia-bialystok,NenéJagiellonia Białystok,582
31,yuri-ribeiro,legia-warszawa,Yuri RibeiroLegia Warszawa,582
