pozycja,player_slug,klub_slug,nazwa,wartosc
1,patryk-makuch,cracovia,Patryk MakuchCracovia,284
2,erik-exposito,slask-wroclaw,Erik Alexander Expósito HernándezŚląsk Wrocław,268
3,kamil-zapolnik,puszcza-niepolomice,Kamil ZapolnikPuszcza Niepołomice,236
4,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,204
5,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,201
6,michal-sacek,jagiellonia-bialystok,Michal SáčekJagiellonia Białystok,200
7,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,194
8,kristoffer-velde,lech-poznan,Kristoffer VeldeLech Poznań,185
9,aleks-awniczak,zagebie-lubin,Aleks ŁawniczakKGHM Zagłębie Lubin,184
10,rui-filipe-da-cunha-correia,jagiellonia-bialystok,NenéJagiellonia Białystok,183
10,bartosz-kopacz,zagebie-lubin,Bartosz KopaczKGHM Zagłębie Lubin,183
12,michael-ameyaw,piast-gliwice,Michael AmeyawPiast Gliwice,182
12,yoav-hofmeister,korona-kielce,Yoav HofmeisterKorona Kielce,182
14,dawid-szymonowicz,warta-poznan,Dawid SzymonowiczWarta Poznań,179
14,roman-yakuba,puszcza-niepolomice,Roman YakubaPuszcza Niepołomice,179
16,daniel-szczepan,ruch-chorzow,Daniel SzczepanRuch Chorzów,178
16,dominick-lukasz-zator,korona-kielce,Dominick Lukasz ZatorKorona Kielce,178
18,jesper-karlstrom,lech-poznan,Jesper Kewe KarlströmLech Poznań,169
19,mateusz-matras,stal-mielec,Mateusz MatrasStal Mielec,168
20,damian-rasak,gornik-zabrze,Damian RasakGórnik Zabrze,166
21,mateusz-kupczak,warta-poznan,Mateusz KupczakWarta Poznań,163
22,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,162
23,bogdan-racovitan,rakow-czestochowa,Bogdan RacovițanRaków Częstochowa,159
24,ilya-shkurin,stal-mielec,Ilya ShkurinStal Mielec,158
25,micha-mokrzycki,lks-lodz,Michał MokrzyckiŁKS Łódź,156
26,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,155
26,jacek-podgorski,korona-kielce,Jacek PodgórskiKorona Kielce,155
28,pedro-henrique-alves-de-almeida,radomiak-radom,Pedro HenriqueRadomiak Radom,153
28,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,153
30,peter-pokorny,slask-wroclaw,Peter PokornýŚląsk Wrocław,152
31,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,151
32,ariel-pawe-mosor,piast-gliwice,Ariel Paweł MosórPiast Gliwice,149
33,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,147
33,josue-pesqueira,legia-warszawa,JosuéLegia Warszawa,147
33,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,147
36,alexander-gorgon,pogon-szczecin,Alexander GorgonPogoń Szczecin,146
37,juergen-farid-elitim-sepulveda,legia-warszawa,Juergen Farid Elitim SepúlvedaLegia Warszawa,145
37,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,145
39,aleks-milenov-petkov,slask-wroclaw,Aleks Milenov PetkovŚląsk Wrocław,142
40,marek-hanousek,widzew-lodz,Marek HanousekWidzew Łódź,140
42,david-gonzalez-plata,korona-kielce,NonoKorona Kielce,136
42,wojciech-hajda,puszcza-niepolomice,Wojciech HajdaPuszcza Niepołomice,136
42,radosaw-pawe-murawski,lech-poznan,Radosław Paweł MurawskiLech Poznań,136
45,adrian-dieguez-grande,jagiellonia-bialystok,Adrián Diéguez GrandeJagiellonia Białystok,134
45,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,134
45,arkadiusz-pyrka,piast-gliwice,Arkadiusz PyrkaPiast Gliwice,134
45,jakub-serafin,puszcza-niepolomice,Jakub SerafinPuszcza Niepołomice,134
49,kajetan-szmyt,warta-poznan,Kajetan SzmytWarta Poznań,133
50,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,132
51,mateusz-zyro,widzew-lodz,Mateusz ŻyroWidzew Łódź,131
52,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,130
53,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,129
53,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,129
55,mateusz-grzybek,zagebie-lubin,Mateusz GrzybekKGHM Zagłębie Lubin,128
55,filip-marchwinski,lech-poznan,Filip MarchwińskiLech Poznań,128
57,karl-gustav-vilhelm-berggren,rakow-czestochowa,Karl Gustav Vilhelm BerggrenRaków Częstochowa,124
58,lawrence-ennali,gornik-zabrze,Lawrence EnnaliGórnik Zabrze,123
59,jakub-bartkowski,warta-poznan,Jakub BartkowskiWarta Poznań,122
59,bert-esselink,stal-mielec,Bert Johan EsselinkStal Mielec,122
61,dawid-abramowicz,radomiak-radom,Dawid AbramowiczRadomiak Radom,121
61,fabio-nunes,widzew-lodz,Fábio NunesWidzew Łódź,121
