pozycja,player_slug,klub_slug,nazwa,wartosc
1,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,75
2,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,67
3,erik-exposito,slask-wroclaw,Erik Alexander Expósito HernándezŚląsk Wrocław,66
3,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,66
3,patryk-makuch,cracovia,Patryk MakuchCracovia,66
6,marc-gual-huguet,legia-warszawa,Marc Gual HuguetLegia Warszawa,65
7,vahan-bichakhchyan,pogon-szczecin,Vahan BichakhchyanPogoń Szczecin,63
8,daniel-szczepan,ruch-chorzow,Daniel SzczepanRuch Chorzów,58
9,kristoffer-velde,lech-poznan,Kristoffer VeldeLech Poznań,55
10,pedro-henrique-alves-de-almeida,radomiak-radom,Pedro HenriqueRadomiak Radom,53
11,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,49
12,rui-filipe-da-cunha-correia,jagiellonia-bialystok,NenéJagiellonia Białystok,47
13,dawid-kurminowski,zagebie-lubin,Dawid KurminowskiKGHM Zagłębie Lubin,46
14,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,44
15,michael-ameyaw,piast-gliwice,Michael AmeyawPiast Gliwice,43
15,ante-crnac,rakow-czestochowa,Ante CrnacRaków Częstochowa,43
15,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,43
15,bartomiej-radosaw-pawowski,widzew-lodz,Bartłomiej Radosław PawłowskiWidzew Łódź,43
19,adrian-kapralik,gornik-zabrze,Adrián KaprálikGórnik Zabrze,42
20,kacper-chodyna,zagebie-lubin,Kacper ChodynaKGHM Zagłębie Lubin,41
21,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,40
21,evgeni-shikavka,korona-kielce,Evgeni ShikavkaKorona Kielce,40
21,ilya-shkurin,stal-mielec,Ilya ShkurinStal Mielec,40
24,micha-miosz-rakoczy,cracovia,Michał Miłosz RakoczyCracovia,39
25,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,38
25,jordi-sanchez-ribas,widzew-lodz,Jordi Sánchez RibasWidzew Łódź,38
27,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,37
27,dani-ramirez,lks-lodz,Dani RamírezŁKS Łódź,37
27,josue-pesqueira,legia-warszawa,JosuéLegia Warszawa,37
30,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,36
30,ukasz-jozef-podolski,gornik-zabrze,Łukasz Józef PodolskiGórnik Zabrze,36
30,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,36
30,kamil-zapolnik,puszcza-niepolomice,Kamil ZapolnikPuszcza Niepołomice,36
34,maciej-domanski,stal-mielec,Maciej DomańskiStal Mielec,35
34,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,35
36,lawrence-ennali,gornik-zabrze,Lawrence EnnaliGórnik Zabrze,34
37,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,33
37,leonardo-miramar-rocha,radomiak-radom,Leonardo RochaRadomiak Radom,33
37,piotr-samiec-talar,slask-wroclaw,Piotr Samiec-TalarŚląsk Wrocław,33
37,mateusz-wdowiak,zagebie-lubin,Mateusz WdowiakKGHM Zagłębie Lubin,33
41,koki-hinokio,stal-mielec,Koki HinokioStal Mielec,32
41,matias-nahuel-leiva-esquivel,slask-wroclaw,Matías Nahuel Leiva EsquivelŚląsk Wrocław,32
41,imad-rondic,widzew-lodz,Imad RondićWidzew Łódź,32
41,kay-tejan,lks-lodz,Kay Sheku TejanŁKS Łódź,32
41,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,32
46,dawid-abramowicz,radomiak-radom,Dawid AbramowiczRadomiak Radom,31
46,jani-atanasov,cracovia,Jani AtanasovCracovia,31
46,jose-naranjo,jagiellonia-bialystok,José Manuel García NaranjoJagiellonia Białystok,31
46,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,31
46,mateusz-zukowski,slask-wroclaw,Mateusz ŻukowskiŚląsk Wrocław,31
51,filip-marchwinski,lech-poznan,Filip MarchwińskiLech Poznań,30
51,dominik-marczuk,jagiellonia-bialystok,Dominik MarczukJagiellonia Białystok,30
51,kajetan-szmyt,warta-poznan,Kajetan SzmytWarta Poznań,30
54,grzegorz-tomasiewicz,piast-gliwice,Grzegorz TomasiewiczPiast Gliwice,29
55,virgil-ghita,cracovia,Virgil Eugen GhițăCracovia,28
55,ernest-muci,legia-warszawa,Ernest MuçiLegia Warszawa,28
58,alexander-gorgon,pogon-szczecin,Alexander GorgonPogoń Szczecin,27
58,miosz-kozak,ruch-chorzow,Miłosz KozakRuch Chorzów,27
58,sebastian-musiolik,gornik-zabrze,Sebastian Karol MusiolikGórnik Zabrze,27
58,petr-schwarz,slask-wroclaw,Petr SchwarzŚląsk Wrocław,27
62,fabio-nunes,widzew-lodz,Fábio NunesWidzew Łódź,26
62,tomas-pekhart,legia-warszawa,Tomáš PekhartLegia Warszawa,26
62,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,26
62,ukasz-zwolinski,rakow-czestochowa,Łukasz Piotr ZwolińskiRaków Częstochowa,26
66,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,25
66,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,25
66,juan-munoz,zagebie-lubin,Juan Muñoz MuñozKGHM Zagłębie Lubin,25
66,dominick-lukasz-zator,korona-kielce,Dominick Lukasz ZatorKorona Kielce,25
71,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,24
71,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,24
71,david-gonzalez-plata,korona-kielce,NonoKorona Kielce,24
71,soma-novothny,ruch-chorzow,Soma Zsombor NovothnyRuch Chorzów,24
71,damian-rasak,gornik-zabrze,Damian RasakGórnik Zabrze,24
71,maciej-rosoek,legia-warszawa,Maciej RosołekLegia Warszawa,24
71,artur-siemaszko,puszcza-niepolomice,Artur SiemaszkoPuszcza Niepołomice,24
71,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,24
71,lisandro-pedro-varela-semedo,radomiak-radom,Lisandro SemedoRadomiak Radom,24
71,bartomiej-wdowik,jagiellonia-bialystok,Bartłomiej WdowikJagiellonia Białystok,24
82,antoni-klimek,widzew-lodz,Antoni KlimekWidzew Łódź,23
82,filip-szymczak,lech-poznan,Filip SzymczakLech Poznań,23
82,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,23
85,krzysztof-wokowicz,stal-mielec,Krzysztof WołkowiczStal Mielec,22
85,maciej-zurawski,warta-poznan,Maciej Stanisław ŻurawskiWarta Poznań,22
87,adrian-dalmau-vaquer,korona-kielce,Adrián Dalmau VaquerKorona Kielce,21
87,mateusz-kupczak,warta-poznan,Mateusz KupczakWarta Poznań,21
87,juliusz-letniowski,ruch-chorzow,Juliusz LetniowskiRuch Chorzów,21
87,filip-starzynski,ruch-chorzow,Filip StarzyńskiRuch Chorzów,21
91,adriel-ba-loua,lech-poznan,Adriel D'Avila Ba LouaLech Poznań,20
91,micha-jan-nalepa,zagebie-lubin,Michał Jan NalepaKGHM Zagłębie Lubin,20
91,fabian-piasecki,piast-gliwice,Fabian PiaseckiPiast Gliwice,20
91,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,20
91,bartosz-slisz,legia-warszawa,Bartosz Piotr SliszLegia Warszawa,20
91,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,20
91,roman-yakuba,puszcza-niepolomice,Roman YakubaPuszcza Niepołomice,20
98,serhii-buletsa,zagebie-lubin,Serhii BuletsaKGHM Zagłębie Lubin,19
98,marton-eppel-1,warta-poznan,Márton EppelWarta Poznań,19
98,aleks-awniczak,zagebie-lubin,Aleks ŁawniczakKGHM Zagłębie Lubin,19
98,micha-mokrzycki,lks-lodz,Michał MokrzyckiŁKS Łódź,19
98,piotr-mrozinski,puszcza-niepolomice,Piotr MrozińskiPuszcza Niepołomice,19
103,rafa-sylwester-augustyniak,legia-warszawa,Rafał Sylwester AugustyniakLegia Warszawa,18
103,ronaldo-deaconu,korona-kielce,Ronaldo Octavian Andrei DeaconuKorona Kielce,18
103,miguel-luis,warta-poznan,Miguel LuísWarta Poznań,18
103,jacek-podgorski,korona-kielce,Jacek PodgórskiKorona Kielce,18
103,bogdan-racovitan,rakow-czestochowa,Bogdan RacovițanRaków Częstochowa,18
103,jose-antonio-ruiz-lopez-1,lks-lodz,PiruloŁKS Łódź,18
109,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,17
109,robert-dadok,ruch-chorzow,Robert DadokRuch Chorzów,17
109,kamil-dankowski,lks-lodz,Kamil DankowskiŁKS Łódź,17
109,christos-donis,radomiak-radom,Christos DonisRadomiak Radom,17
109,dawid-drachal,rakow-czestochowa,Dawid DrachalRaków Częstochowa,17
109,kamil-lukoszek,gornik-zabrze,Kamil LukoszekGórnik Zabrze,17
109,ariel-pawe-mosor,piast-gliwice,Ariel Paweł MosórPiast Gliwice,17
109,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,17
109,miosz-szczepanski,piast-gliwice,Miłosz SzczepańskiPiast Gliwice,17
109,luka-vuskovic,radomiak-radom,Luka VuškovićRadomiak Radom,17
119,karol-knap,cracovia,Karol KnapCracovia,16
119,serhij-krykun,piast-gliwice,Serhii Krykun WiktorowyczPiast Gliwice,16
119,antonio-milic,lech-poznan,Antonio MilićLech Poznań,16
119,bartosz-szeliga,lks-lodz,Bartosz SzeligaŁKS Łódź,16
119,dario-vizinger,warta-poznan,Dario VizingerWarta Poznań,16
119,daisuke-yokota,gornik-zabrze,Daisuke YokotaGórnik Zabrze,16
125,adrian-dieguez-grande,jagiellonia-bialystok,Adrián Diéguez GrandeJagiellonia Białystok,15
125,juergen-farid-elitim-sepulveda,legia-warszawa,Juergen Farid Elitim SepúlvedaLegia Warszawa,15
125,marcin-flis,lks-lodz,Marcin FlisŁKS Łódź,15
125,damian-kadzior,piast-gliwice,Damian KądziorPiast Gliwice,15
125,jesper-karlstrom,lech-poznan,Jesper Kewe KarlströmLech Poznań,15
125,tomasz-makowski,zagebie-lubin,Tomasz MakowskiKGHM Zagłębie Lubin,15
125,yehor-matsenko,slask-wroclaw,Yehor MatsenkoŚląsk Wrocław,15
125,pawe-mirosaw-olkowski,gornik-zabrze,Paweł Mirosław OlkowskiGórnik Zabrze,15
125,daniel-pacheco-lobato,gornik-zabrze,Dani PachecoGórnik Zabrze,15
125,giannis-papanikolaou,rakow-czestochowa,Giannis PapanikolaouRaków Częstochowa,15
125,jakub-serafin,puszcza-niepolomice,Jakub SerafinPuszcza Niepołomice,15
125,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,15
138,husein-balic,lks-lodz,Husein BalićŁKS Łódź,14
138,jakub-bartosz,puszcza-niepolomice,Jakub BartoszPuszcza Niepołomice,14
138,karl-gustav-vilhelm-berggren,rakow-czestochowa,Karl Gustav Vilhelm BerggrenRaków Częstochowa,14
138,mateusz-czyzycki,korona-kielce,Mateusz CzyżyckiKorona Kielce,14
138,blaz-kramer,legia-warszawa,Blaž KramerLegia Warszawa,14
138,rafa-maciej-kurzawa,pogon-szczecin,Rafał Maciej KurzawaPogoń Szczecin,14
138,peter-pokorny,slask-wroclaw,Peter PokornýŚląsk Wrocław,14
138,marko-poletanovic,zagebie-lubin,Marko PoletanovićKGHM Zagłębie Lubin,14
138,tomasz-swedrowski,ruch-chorzow,Tomasz SwędrowskiRuch Chorzów,14
138,luis-machado,radomiak-radom,Luís MachadoRadomiak Radom,14
138,tomasz-wojtowicz,ruch-chorzow,Tomasz WójtowiczRuch Chorzów,14
149,joao-pedro-da-costa-gamboa,pogon-szczecin,João GamboaPogoń Szczecin,13
149,mariusz-fornalczyk,pogon-szczecin,Mariusz FornalczykPogoń Szczecin,13
149,arttu-hoskonen,cracovia,Arttu HoskonenCracovia,13
149,bartosz-kopacz,zagebie-lubin,Bartosz KopaczKGHM Zagłębie Lubin,13
149,luis-silva,widzew-lodz,Luís SilvaWidzew Łódź,13
149,yuri-ribeiro,legia-warszawa,Yuri RibeiroLegia Warszawa,13
149,arkadiusz-pyrka,piast-gliwice,Arkadiusz PyrkaPiast Gliwice,13
149,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,13
149,kamil-wilczek,piast-gliwice,Kamil Antoni WilczekPiast Gliwice,13
149,luka-zahovic,pogon-szczecin,Luka ZahovićPogoń Szczecin,13
159,frank-castaneda,radomiak-radom,Frank Andersson Castañeda VélezRadomiak Radom,12
159,afonso-gamelas-de-pinho-sousa,lech-poznan,Afonso SousaLech Poznań,12
159,mateusz-grzybek,zagebie-lubin,Mateusz GrzybekKGHM Zagłębie Lubin,12
159,matthew-guillaumier,stal-mielec,Matthew GuillaumierStal Mielec,12
159,marek-hanousek,widzew-lodz,Marek HanousekWidzew Łódź,12
159,otar-kakabadze,cracovia,Otar KakabadzeCracovia,12
159,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,12
159,dominik-kun,widzew-lodz,Dominik KunWidzew Łódź,12
159,bartosz-kwiecien,korona-kielce,Bartosz KwiecieńKorona Kielce,12
159,ukasz-moneta,ruch-chorzow,Łukasz MonetaRuch Chorzów,12
159,radosaw-pawe-murawski,lech-poznan,Radosław Paweł MurawskiLech Poznań,12
159,tomas-prikryl,warta-poznan,Tomáš PřikrylWarta Poznań,12
159,adrian-przyborek,pogon-szczecin,Adrian PrzyborekPogoń Szczecin,12
159,stefan-savic,warta-poznan,Stefan SavićWarta Poznań,12
159,patryk-sikora,ruch-chorzow,Patryk SikoraRuch Chorzów,12
159,konrad-stepien,puszcza-niepolomice,Konrad StępieńPuszcza Niepołomice,12
159,micha-walski,puszcza-niepolomice,Michał WalskiPuszcza Niepołomice,12
176,miha-blazic,lech-poznan,Miha BlažičLech Poznań,11
176,mateusz-cholewiak,puszcza-niepolomice,Mateusz CholewiakPuszcza Niepołomice,11
176,andrejs-ciganiks,widzew-lodz,Andrejs CigaņiksWidzew Łódź,11
176,patryk-janasik,slask-wroclaw,Patryk JanasikŚląsk Wrocław,11
176,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,11
176,kai-meriluoto,stal-mielec,Kai MeriluotoStal Mielec,11
176,marek-mroz,zagebie-lubin,Marek MrózKGHM Zagłębie Lubin,11
176,radovan-pankov,legia-warszawa,Radovan PankovLegia Warszawa,11
176,wiktor-plesnierowicz,warta-poznan,Wiktor Marek PleśnierowiczWarta Poznań,11
176,patryk-sokoowski,legia-warszawa,Patryk SokołowskiLegia Warszawa,11
176,dimitrios-stavropoulos,warta-poznan,Dimitris StavropoulosWarta Poznań,11
176,hubert-tomalski,puszcza-niepolomice,Hubert TomalskiPuszcza Niepołomice,11
176,mateusz-zyro,widzew-lodz,Mateusz ŻyroWidzew Łódź,11
189,leonardo-borges-da-silva,pogon-szczecin,Léo BorgesPogoń Szczecin,10
189,bert-esselink,stal-mielec,Bert Johan EsselinkStal Mielec,10
189,juan-fernandez-blanco,widzew-lodz,Juan IbizaWidzew Łódź,10
189,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,10
189,yoav-hofmeister,korona-kielce,Yoav HofmeisterKorona Kielce,10
189,piotr-janczukowicz,lks-lodz,Piotr Marek JanczukowiczŁKS Łódź,10
189,rafa-janicki,gornik-zabrze,Rafał JanickiGórnik Zabrze,10
189,patryk-klimala,slask-wroclaw,Patryk KlimalaŚląsk Wrocław,10
189,bartomiej-kudka,zagebie-lubin,Bartłomiej KłudkaKGHM Zagłębie Lubin,10
189,rahil-mmmdov,lks-lodz,Rahil MəmmədovŁKS Łódź,10
189,ryoya-morishita,legia-warszawa,Ryoya MorishitaLegia Warszawa,10
189,takuto-oshima,cracovia,Takuto OshimaCracovia,10
189,cornel-rapa,cracovia,Cornel Emilian RâpăCracovia,10
189,ukasz-soowiej,puszcza-niepolomice,Łukasz SołowiejPuszcza Niepołomice,10
189,ernest-terpiowski,widzew-lodz,Ernest TerpiłowskiWidzew Łódź,10
189,micha-trabka,stal-mielec,Michał TrąbkaStal Mielec,10
205,mateusz-bartolewski,ruch-chorzow,Mateusz BartolewskiRuch Chorzów,9
205,mateusz-bochnak,cracovia,Mateusz BochnakCracovia,9
205,damjan-bohar,zagebie-lubin,Damjan BoharKGHM Zagłębie Lubin,9
205,micha-feliks,ruch-chorzow,Michał FeliksRuch Chorzów,9
205,ukasz-gerstenstein,stal-mielec,Łukasz GerstensteinStal Mielec,9
205,piotr-gowacki,lks-lodz,Piotr GłowackiŁKS Łódź,9
205,wojciech-hajda,puszcza-niepolomice,Wojciech HajdaPuszcza Niepołomice,9
205,pawe-jaroszynski,cracovia,Paweł Kamil JaroszyńskiCracovia,9
205,sonny-kittel,rakow-czestochowa,Sonny Andreas KittelRaków Częstochowa,9
205,jarosaw-kubicki,jagiellonia-bialystok,Jarosław KubickiJagiellonia Białystok,9
205,patryk-kun,legia-warszawa,Patryk KunLegia Warszawa,9
205,jakub-ukowski,korona-kielce,Jakub ŁukowskiKorona Kielce,9
205,jordan-aleksander-majchrzak,puszcza-niepolomice,Jordan Aleksander MajchrzakPuszcza Niepołomice,9
205,kacper-michalski,ruch-chorzow,Kacper MichalskiRuch Chorzów,9
205,luiz-gustavo-novaes-palhares,radomiak-radom,LuizãoRadomiak Radom,9
205,patrick-olsen,slask-wroclaw,Patrick Haakon OlsenŚląsk Wrocław,9
205,michal-sacek,jagiellonia-bialystok,Michal SáčekJagiellonia Białystok,9
205,dawid-tkacz,widzew-lodz,Dawid TkaczWidzew Łódź,9
205,adam-zrelak,warta-poznan,Adam ZreľákWarta Poznań,9
226,bartomiej-pawe-baranski,ruch-chorzow,Bartłomiej Paweł BarańskiRuch Chorzów,8
226,marcin-cebula,rakow-czestochowa,Marcin CebulaRaków Częstochowa,8
226,alan-czerwinski,lech-poznan,Alan CzerwińskiLech Poznań,8
226,kamil-jacek-glik,cracovia,Kamil Jacek GlikCracovia,8
226,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,8
226,micha-kaput,radomiak-radom,Michał KaputRadomiak Radom,8
226,gabriel-kirejczyk,piast-gliwice,Gabriel KirejczykPiast Gliwice,8
226,martin-konczkowski,slask-wroclaw,Martin KonczkowskiŚląsk Wrocław,8
226,piotr-malarczyk,korona-kielce,Piotr Kamil MalarczykKorona Kielce,8
226,konrad-matuszewski,warta-poznan,Konrad MatuszewskiWarta Poznań,8
226,erick-ouma-otieno,rakow-czestochowa,Erick Ouma OtienoRaków Częstochowa,8
226,mateusz-skrzypczak,jagiellonia-bialystok,Mateusz SkrzypczakJagiellonia Białystok,8
226,kryspin-szczesniak,gornik-zabrze,Kryspin SzcześniakGórnik Zabrze,8
226,szymon-szymanski,ruch-chorzow,Szymon SzymańskiRuch Chorzów,8
226,miosz-trojak,korona-kielce,Miłosz TrojakKorona Kielce,8
226,adam-vlkanova,ruch-chorzow,Adam VlkanovaRuch Chorzów,8
243,filip-borowski,warta-poznan,Filip BorowskiWarta Poznań,7
243,kaan-caliskaner,jagiellonia-bialystok,Kaan ÇalışkanerJagiellonia Białystok,7
243,mateusz-cichocki,radomiak-radom,Mateusz CichockiRadomiak Radom,7
243,vagner-dias,radomiak-radom,VagnerRadomiak Radom,7
243,tomas-huk,piast-gliwice,Tomáš HukPiast Gliwice,7
243,artur-marcin-jedrzejczyk,legia-warszawa,Artur Marcin JędrzejczykLegia Warszawa,7
243,rok-kidric-1,puszcza-niepolomice,Rok KidričPuszcza Niepołomice,7
243,aleks-milenov-petkov,slask-wroclaw,Aleks Milenov PetkovŚląsk Wrocław,7
243,antoni-mynarczyk,lks-lodz,Antoni MłynarczykŁKS Łódź,7
243,maciej-sadlok,ruch-chorzow,Maciej SadlokRuch Chorzów,7
243,deian-sorescu,rakow-czestochowa,Deian Cristian SorescuRaków Częstochowa,7
243,patryk-stepinski,widzew-lodz,Patryk StępińskiWidzew Łódź,7
243,marcel-wedrychowski,pogon-szczecin,Marcel WędrychowskiPogoń Szczecin,7
243,tomasz-wojcinowicz,puszcza-niepolomice,Tomasz WojcinowiczPuszcza Niepołomice,7
260,gil-dias,legia-warszawa,Gil DiasLegia Warszawa,6
260,ukasz-bejger,slask-wroclaw,Łukasz BejgerŚląsk Wrocław,6
260,jakub-holubek,piast-gliwice,Jakub HolúbekPiast Gliwice,6
260,jakub-konstantyn,korona-kielce,Jakub KonstantynKorona Kielce,6
260,jakub-lewicki,jagiellonia-bialystok,Jakub LewickiJagiellonia Białystok,6
260,adrien-louveau,lks-lodz,Adrien LouveauŁKS Łódź,6
260,niilo-maenpaa,warta-poznan,Niilo Juhani MäenpääWarta Poznań,6
260,mikkel-maigaard-jakobsen,cracovia,Mikkel Maigaard JakobsenCracovia,6
260,mateusz-matras,stal-mielec,Mateusz MatrasStal Mielec,6
260,mohamed-mezghrani,warta-poznan,Mohamed Amin MezghraniWarta Poznań,6
260,sran-plavsic,rakow-czestochowa,Srđan PlavšićRaków Częstochowa,6
260,bartomiej-poczobut,puszcza-niepolomice,Bartłomiej PoczobutPuszcza Niepołomice,6
260,micha-rzuchowski,slask-wroclaw,Michał RzuchowskiŚląsk Wrocław,6
260,bartosz-salamon,lech-poznan,Bartosz SalamonLech Poznań,6
260,dawid-szymonowicz,warta-poznan,Dawid SzymonowiczWarta Poznań,6
260,dalibor-takac,korona-kielce,Dalibor TakáčKorona Kielce,6
260,bogdan-tiru,warta-poznan,Bogdan Ionuț ȚîruWarta Poznań,6
260,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,6
278,makana-baku,legia-warszawa,Makana Nsimba BakuLegia Warszawa,5
278,bruno-andre-cavaco-jordao,radomiak-radom,Bruno JordãoRadomiak Radom,5
278,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,5
278,levent-gulen,lks-lodz,Levent GülenŁKS Łódź,5
278,burak-ince,slask-wroclaw,Burak InceŚląsk Wrocław,5
278,damian-jakubik,radomiak-radom,Damian JakubikRadomiak Radom,5
278,alvis-jaunzems,stal-mielec,Alvis JaunzemsStal Mielec,5
278,adnan-kovacevic,rakow-czestochowa,Adnan KovačevićRaków Częstochowa,5
278,piotr-krawczyk,gornik-zabrze,Piotr KrawczykGórnik Zabrze,5
278,fredrik-krogstad,korona-kielce,Fredrik KrogstadKorona Kielce,5
278,muris-mesanovic,puszcza-niepolomice,Muris MešanovićPuszcza Niepołomice,5
278,ignacio-monsalve-vicente,lks-lodz,Ignacio Monsalve VicenteŁKS Łódź,5
278,marcel-pieczek,puszcza-niepolomice,Marcel PięczekPuszcza Niepołomice,5
278,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,5
278,maciej-sliwa,lks-lodz,Maciej ŚliwaŁKS Łódź,5
278,dominik-steczyk,ruch-chorzow,Dominik Patryk SteczykRuch Chorzów,5
