pozycja,player_slug,klub_slug,nazwa,wartosc
1,aleks-milenov-petkov,slask-wroclaw,Aleks Milenov PetkovŚląsk Wrocław,198
2,rafa-janicki,gornik-zabrze,Rafał JanickiGórnik Zabrze,181
3,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,158
4,mateusz-matras,stal-mielec,Mateusz MatrasStal Mielec,150
5,aleks-awniczak,zagebie-lubin,Aleks ŁawniczakKGHM Zagłębie Lubin,139
6,roman-yakuba,puszcza-niepolomice,Roman YakubaPuszcza Niepołomice,135
7,ariel-pawe-mosor,piast-gliwice,Ariel Paweł MosórPiast Gliwice,126
7,mateusz-zyro,widzew-lodz,Mateusz ŻyroWidzew Łódź,126
9,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,114
10,dawid-szymonowicz,warta-poznan,Dawid SzymonowiczWarta Poznań,113
11,bartosz-kopacz,zagebie-lubin,Bartosz KopaczKGHM Zagłębie Lubin,112
11,kryspin-szczesniak,gornik-zabrze,Kryspin SzcześniakGórnik Zabrze,112
14,ukasz-bejger,slask-wroclaw,Łukasz BejgerŚląsk Wrocław,98
14,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,98
14,dominick-lukasz-zator,korona-kielce,Dominick Lukasz ZatorKorona Kielce,98
17,miosz-trojak,korona-kielce,Miłosz TrojakKorona Kielce,97
18,szymon-szymanski,ruch-chorzow,Szymon SzymańskiRuch Chorzów,96
19,mariusz-malec,pogon-szczecin,Mariusz MalecPogoń Szczecin,94
20,jakub-bartkowski,warta-poznan,Jakub BartkowskiWarta Poznań,93
21,rahil-mmmdov,lks-lodz,Rahil MəmmədovŁKS Łódź,90
22,benedikt-zech,pogon-szczecin,Benedikt ZechPogoń Szczecin,88
23,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,87
24,bogdan-racovitan,rakow-czestochowa,Bogdan RacovițanRaków Częstochowa,86
25,miha-blazic,lech-poznan,Miha BlažičLech Poznań,85
25,piotr-malarczyk,korona-kielce,Piotr Kamil MalarczykKorona Kielce,85
27,rafa-sylwester-augustyniak,legia-warszawa,Rafał Sylwester AugustyniakLegia Warszawa,82
27,virgil-ghita,cracovia,Virgil Eugen GhițăCracovia,82
29,bert-esselink,stal-mielec,Bert Johan EsselinkStal Mielec,81
30,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,80
30,dimitrios-stavropoulos,warta-poznan,Dimitris StavropoulosWarta Poznań,80
32,adrian-dieguez-grande,jagiellonia-bialystok,Adrián Diéguez GrandeJagiellonia Białystok,78
32,arttu-hoskonen,cracovia,Arttu HoskonenCracovia,78
34,levent-gulen,lks-lodz,Levent GülenŁKS Łódź,77
34,antonio-milic,lech-poznan,Antonio MilićLech Poznań,77
36,bogdan-tiru,warta-poznan,Bogdan Ionuț ȚîruWarta Poznań,76
37,marcin-flis,lks-lodz,Marcin FlisŁKS Łódź,75
38,juan-fernandez-blanco,widzew-lodz,Juan IbizaWidzew Łódź,74
38,bartosz-salamon,lech-poznan,Bartosz SalamonLech Poznań,74
40,dawid-abramowicz,radomiak-radom,Dawid AbramowiczRadomiak Radom,71
40,piotr-mrozinski,puszcza-niepolomice,Piotr MrozińskiPuszcza Niepołomice,71
42,eneo-bitri,cracovia,Eneo BitriCracovia,70
42,maciej-sadlok,ruch-chorzow,Maciej SadlokRuch Chorzów,70
44,adrien-louveau,lks-lodz,Adrien LouveauŁKS Łódź,69
44,micha-jan-nalepa,zagebie-lubin,Michał Jan NalepaKGHM Zagłębie Lubin,69
44,ukasz-soowiej,puszcza-niepolomice,Łukasz SołowiejPuszcza Niepołomice,69
47,konrad-stepien,puszcza-niepolomice,Konrad StępieńPuszcza Niepołomice,68
47,luka-vuskovic,radomiak-radom,Luka VuškovićRadomiak Radom,68
49,steve-nkanu-kapuadi,legia-warszawa,Steve Nkanu KapuadiLegia Warszawa,66
50,luiz-gustavo-novaes-palhares,radomiak-radom,LuizãoRadomiak Radom,65
51,mateusz-bartolewski,ruch-chorzow,Mateusz BartolewskiRuch Chorzów,64
51,patryk-janasik,slask-wroclaw,Patryk JanasikŚląsk Wrocław,64
53,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,63
54,kamil-dankowski,lks-lodz,Kamil DankowskiŁKS Łódź,60
54,mateusz-kupczak,warta-poznan,Mateusz KupczakWarta Poznań,60
54,luis-silva,widzew-lodz,Luís SilvaWidzew Łódź,60
54,radovan-pankov,legia-warszawa,Radovan PankovLegia Warszawa,60
54,mateusz-skrzypczak,jagiellonia-bialystok,Mateusz SkrzypczakJagiellonia Białystok,60
54,serafin-jan-szota,widzew-lodz,Serafin Jan SzotaWidzew Łódź,60
60,michal-sacek,jagiellonia-bialystok,Michal SáčekJagiellonia Białystok,59
61,damian-rasak,gornik-zabrze,Damian RasakGórnik Zabrze,58
61,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,58
63,mateusz-grzybek,zagebie-lubin,Mateusz GrzybekKGHM Zagłębie Lubin,57
63,yuri-ribeiro,legia-warszawa,Yuri RibeiroLegia Warszawa,57
65,wiktor-plesnierowicz,warta-poznan,Wiktor Marek PleśnierowiczWarta Poznań,56
65,andreas-skovgaard-larsen,cracovia,Andreas Skovgaard LarsenCracovia,56
