pozycja,player_slug,klub_slug,nazwa,wartosc
1,kacper-trelowski,rakow-czestochowa,Kacper TrelowskiRaków Częstochowa,17
2,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,14
2,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,14
4,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,11
5,sawomir-abramowicz,jagiellonia-bialystok,Sławomir AbramowiczJagiellonia Białystok,10
6,dawid-kuda,gks-katowice,Dawid KudłaGKS Katowice,9
7,rafa-tadeusz-gikiewicz,widzew-lodz,Rafał Tadeusz GikiewiczWidzew Łódź,8
8,dominik-hadun,zagebie-lubin,Dominik HładunKGHM Zagłębie Lubin,6
8,kewin-komar,puszcza-niepolomice,Kewin KomarPuszcza Niepołomice,6
8,micha-szromnik,gornik-zabrze,Michał SzromnikGórnik Zabrze,6
11,maciej-kikolski,radomiak-radom,Maciej KikolskiRadomiak Radom,5
12,ivan-brkic,motor-lublin,Ivan BrkićMotor Lublin,4
12,xavier-dziekonski,korona-kielce,Xavier DziekońskiKorona Kielce,4
12,rafa-leszczynski,slask-wroclaw,Rafał LeszczyńskiŚląsk Wrocław,4
12,jakub-madrzyk,stal-mielec,Jakub MądrzykStal Mielec,4
12,filip-majchrowicz,gornik-zabrze,Filip MajchrowiczGórnik Zabrze,4
12,rafa-mamla,korona-kielce,Rafał MamlaKorona Kielce,4
12,kacper-tobiasz,legia-warszawa,Kacper TobiaszLegia Warszawa,4
19,sebastian-madejski,cracovia,Sebastian MadejskiCracovia,3
19,henrich-ravas,cracovia,Henrich RavasCracovia,3
19,bohdan-sarnavskyi,lechia-gdansk,Bohdan SarnavskyiLechia Gdańsk,3
19,szymon-weirauch,lechia-gdansk,Szymon WeirauchLechia Gdańsk,3
23,gabriel-kobylak,legia-warszawa,Gabriel KobylakLegia Warszawa,2
23,kacper-rosa,motor-lublin,Kacper RosaMotor Lublin,2
25,vladan-kovacevic,legia-warszawa,Vladan KovačevićLegia Warszawa,1
25,maksymilian-stryjek,jagiellonia-bialystok,Maksymilian StryjekJagiellonia Białystok,1
25,gasper-tratnik,motor-lublin,Gašper TratnikMotor Lublin,1
