pozycja,player_slug,klub_slug,nazwa,wartosc
1,kewin-komar,puszcza-niepolomice,Kewin KomarPuszcza Niepołomice,300
2,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,242
3,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,196
3,maciej-kikolski,radomiak-radom,Maciej KikolskiRadomiak Radom,196
5,rafa-tadeusz-gikiewicz,widzew-lodz,Rafał Tadeusz GikiewiczWidzew Łódź,191
6,rafa-leszczynski,slask-wroclaw,Rafał LeszczyńskiŚląsk Wrocław,180
7,dawid-kuda,gks-katowice,Dawid KudłaGKS Katowice,179
8,kacper-trelowski,rakow-czestochowa,Kacper TrelowskiRaków Częstochowa,178
9,jakub-madrzyk,stal-mielec,Jakub MądrzykStal Mielec,165
10,dominik-hadun,zagebie-lubin,Dominik HładunKGHM Zagłębie Lubin,149
11,sawomir-abramowicz,jagiellonia-bialystok,Sławomir AbramowiczJagiellonia Białystok,116
12,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,107
13,henrich-ravas,cracovia,Henrich RavasCracovia,100
14,micha-szromnik,gornik-zabrze,Michał SzromnikGórnik Zabrze,98
15,kacper-tobiasz,legia-warszawa,Kacper TobiaszLegia Warszawa,87
16,rafa-mamla,korona-kielce,Rafał MamlaKorona Kielce,83
17,xavier-dziekonski,korona-kielce,Xavier DziekońskiKorona Kielce,77
18,bohdan-sarnavskyi,lechia-gdansk,Bohdan SarnavskyiLechia Gdańsk,71
18,szymon-weirauch,lechia-gdansk,Szymon WeirauchLechia Gdańsk,71
20,kacper-rosa,motor-lublin,Kacper RosaMotor Lublin,65
21,filip-majchrowicz,gornik-zabrze,Filip MajchrowiczGórnik Zabrze,59
22,sebastian-madejski,cracovia,Sebastian MadejskiCracovia,55
23,ivan-brkic,motor-lublin,Ivan BrkićMotor Lublin,33
24,mateusz-kochalski,stal-mielec,Mateusz KochalskiStal Mielec,31
25,vladan-kovacevic,legia-warszawa,Vladan KovačevićLegia Warszawa,29
26,micha-perchel,puszcza-niepolomice,Michał PerchelPuszcza Niepołomice,26
27,jasmin-buric,zagebie-lubin,Jasmin BurićKGHM Zagłębie Lubin,25
28,gabriel-kobylak,legia-warszawa,Gabriel KobylakLegia Warszawa,22
29,gasper-tratnik,motor-lublin,Gašper TratnikMotor Lublin,20
30,maksymilian-stryjek,jagiellonia-bialystok,Maksymilian StryjekJagiellonia Białystok,17
31,wiktor-koptas,radomiak-radom,Wiktor KoptasRadomiak Radom,13
32,konrad-jaocha,stal-mielec,Konrad JałochaStal Mielec,7
33,tomasz-loska,slask-wroclaw,Tomasz LoskaŚląsk Wrocław,6
