pozycja,player_slug,klub_slug,nazwa,wartosc
1,rafa-tadeusz-gikiewicz,widzew-lodz,Rafał Tadeusz GikiewiczWidzew Łódź,1401
2,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,1107
3,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,1104
4,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,1085
5,jakub-madrzyk,stal-mielec,Jakub MądrzykStal Mielec,942
6,dawid-kuda,gks-katowice,Dawid KudłaGKS Katowice,916
7,rafa-leszczynski,slask-wroclaw,Rafał LeszczyńskiŚląsk Wrocław,910
8,kewin-komar,puszcza-niepolomice,Kewin KomarPuszcza Niepołomice,891
9,kacper-trelowski,rakow-czestochowa,Kacper TrelowskiRaków Częstochowa,886
10,maciej-kikolski,radomiak-radom,Maciej KikolskiRadomiak Radom,866
11,sawomir-abramowicz,jagiellonia-bialystok,Sławomir AbramowiczJagiellonia Białystok,832
12,dominik-hadun,zagebie-lubin,Dominik HładunKGHM Zagłębie Lubin,749
13,micha-szromnik,gornik-zabrze,Michał SzromnikGórnik Zabrze,702
14,kacper-tobiasz,legia-warszawa,Kacper TobiaszLegia Warszawa,564
15,xavier-dziekonski,korona-kielce,Xavier DziekońskiKorona Kielce,556
16,kacper-rosa,motor-lublin,Kacper RosaMotor Lublin,504
17,henrich-ravas,cracovia,Henrich RavasCracovia,499
18,szymon-weirauch,lechia-gdansk,Szymon WeirauchLechia Gdańsk,459
19,rafa-mamla,korona-kielce,Rafał MamlaKorona Kielce,420
20,bohdan-sarnavskyi,lechia-gdansk,Bohdan SarnavskyiLechia Gdańsk,384
21,filip-majchrowicz,gornik-zabrze,Filip MajchrowiczGórnik Zabrze,371
22,sebastian-madejski,cracovia,Sebastian MadejskiCracovia,253
23,ivan-brkic,motor-lublin,Ivan BrkićMotor Lublin,237
24,gasper-tratnik,motor-lublin,Gašper TratnikMotor Lublin,211
25,vladan-kovacevic,legia-warszawa,Vladan KovačevićLegia Warszawa,179
26,gabriel-kobylak,legia-warszawa,Gabriel KobylakLegia Warszawa,157
27,mateusz-kochalski,stal-mielec,Mateusz KochalskiStal Mielec,136
28,jasmin-buric,zagebie-lubin,Jasmin BurićKGHM Zagłębie Lubin,116
29,micha-perchel,puszcza-niepolomice,Michał PerchelPuszcza Niepołomice,99
30,maksymilian-stryjek,jagiellonia-bialystok,Maksymilian StryjekJagiellonia Białystok,77
31,wiktor-koptas,radomiak-radom,Wiktor KoptasRadomiak Radom,64
32,konrad-jaocha,stal-mielec,Konrad JałochaStal Mielec,48
33,tomasz-loska,slask-wroclaw,Tomasz LoskaŚląsk Wrocław,27
