pozycja,player_slug,klub_slug,nazwa,wartosc
1,rafa-tadeusz-gikiewicz,widzew-lodz,Rafał Tadeusz GikiewiczWidzew Łódź,9
2,rafa-mamla,korona-kielce,Rafał MamlaKorona Kielce,6
3,rafa-leszczynski,slask-wroclaw,Rafał LeszczyńskiŚląsk Wrocław,5
3,jakub-madrzyk,stal-mielec,Jakub MądrzykStal Mielec,5
3,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,5
3,kacper-tobiasz,legia-warszawa,Kacper TobiaszLegia Warszawa,5
3,kacper-trelowski,rakow-czestochowa,Kacper TrelowskiRaków Częstochowa,5
8,sawomir-abramowicz,jagiellonia-bialystok,Sławomir AbramowiczJagiellonia Białystok,4
8,maciej-kikolski,radomiak-radom,Maciej KikolskiRadomiak Radom,4
8,szymon-weirauch,lechia-gdansk,Szymon WeirauchLechia Gdańsk,4
11,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,3
11,dominik-hadun,zagebie-lubin,Dominik HładunKGHM Zagłębie Lubin,3
11,kewin-komar,puszcza-niepolomice,Kewin KomarPuszcza Niepołomice,3
11,dawid-kuda,gks-katowice,Dawid KudłaGKS Katowice,3
11,filip-majchrowicz,gornik-zabrze,Filip MajchrowiczGórnik Zabrze,3
11,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,3
11,micha-perchel,puszcza-niepolomice,Michał PerchelPuszcza Niepołomice,3
11,henrich-ravas,cracovia,Henrich RavasCracovia,3
11,bohdan-sarnavskyi,lechia-gdansk,Bohdan SarnavskyiLechia Gdańsk,3
20,ivan-brkic,motor-lublin,Ivan BrkićMotor Lublin,2
20,xavier-dziekonski,korona-kielce,Xavier DziekońskiKorona Kielce,2
20,mateusz-kochalski,stal-mielec,Mateusz KochalskiStal Mielec,2
20,wiktor-koptas,radomiak-radom,Wiktor KoptasRadomiak Radom,2
20,kacper-rosa,motor-lublin,Kacper RosaMotor Lublin,2
20,micha-szromnik,gornik-zabrze,Michał SzromnikGórnik Zabrze,2
26,gabriel-kobylak,legia-warszawa,Gabriel KobylakLegia Warszawa,1
26,vladan-kovacevic,legia-warszawa,Vladan KovačevićLegia Warszawa,1
26,sebastian-madejski,cracovia,Sebastian MadejskiCracovia,1
26,maksymilian-stryjek,jagiellonia-bialystok,Maksymilian StryjekJagiellonia Białystok,1
26,gasper-tratnik,motor-lublin,Gašper TratnikMotor Lublin,1
