pozycja,player_slug,klub_slug,nazwa,wartosc
1,hubert-adamczyk,zagebie-lubin,Hubert AdamczykKGHM Zagłębie Lubin,100%
1,jean-kevin-augustin,motor-lublin,Jean-Kévin AugustinMotor Lublin,100%
1,ukasz-bejger,slask-wroclaw,Łukasz BejgerŚląsk Wrocław,100%
1,fabio-nunes,widzew-lodz,Fábio NunesWidzew Łódź,100%
1,jean-franco-sarmiento,radomiak-radom,Jean Franco Sarmiento CampoRadomiak Radom,100%
1,konrad-jan-gruszkowski,gks-katowice,Konrad Jan GruszkowskiGKS Katowice,100%
1,wojciech-hajda,puszcza-niepolomice,Wojciech HajdaPuszcza Niepołomice,100%
1,arttu-hoskonen,cracovia,Arttu HoskonenCracovia,100%
1,wojciech-kaminski,korona-kielce,Wojciech KamińskiKorona Kielce,100%
1,andreas-katsantonis,piast-gliwice,Andreas KatsantonisPiast Gliwice,100%
1,jakub-lis,pogon-szczecin,Jakub LisPogoń Szczecin,100%
1,filipe-nascimento,gornik-zabrze,Filipe NascimentoGórnik Zabrze,100%
1,ivan-ricardo-neves-abreu-cavaleiro,stal-mielec,Ivan CavaleiroStal Mielec,100%
1,miguel-nobrega,piast-gliwice,Miguel NóbregaPiast Gliwice,100%
1,bogdan-racovitan,rakow-czestochowa,Bogdan RacovițanRaków Częstochowa,100%
1,yehor-sharabura,slask-wroclaw,Yehor SharaburaŚląsk Wrocław,100%
1,artur-siemaszko,puszcza-niepolomice,Artur SiemaszkoPuszcza Niepołomice,100%
1,gasper-tratnik,motor-lublin,Gašper TratnikMotor Lublin,100%
1,karl-sydney-wendt,lechia-gdansk,Karl Sydney WendtLechia Gdańsk,100%
24,mateusz-mak,gks-katowice,Mateusz MakGKS Katowice,83%
25,mateusz-bochnak,cracovia,Mateusz BochnakCracovia,80%
25,marco-burch,legia-warszawa,Marco BurchLegia Warszawa,80%
25,alexander-gorgon,pogon-szczecin,Alexander GorgonPogoń Szczecin,80%
28,wojciech-urbanski,legia-warszawa,Wojciech UrbanskiLegia Warszawa,78%
29,ante-crnac,rakow-czestochowa,Ante CrnacRaków Częstochowa,77%
30,kornel-lisman,lech-poznan,Kornel LismanLech Poznań,75%
30,luis-silva,widzew-lodz,Luís SilvaWidzew Łódź,75%
30,konrad-matuszewski,korona-kielce,Konrad MatuszewskiKorona Kielce,75%
30,miguel-munoz,piast-gliwice,Miguel Muñoz FernándezPiast Gliwice,75%
34,afonso-gamelas-de-pinho-sousa,lech-poznan,Afonso SousaLech Poznań,73%
35,jakov-blagaic,puszcza-niepolomice,Jakov BlagaićPuszcza Niepołomice,71%
35,patryk-paryzek,pogon-szczecin,Patryk ParyzekPogoń Szczecin,71%
35,kamil-pestka,radomiak-radom,Kamil PestkaRadomiak Radom,71%
38,rafa-sylwester-augustyniak,legia-warszawa,Rafał Sylwester AugustyniakLegia Warszawa,67%
38,sergio-barcia-laranxeira,legia-warszawa,Sergio Barcia LaranxeiraLegia Warszawa,67%
38,marcin-cebula,slask-wroclaw,Marcin CebulaŚląsk Wrocław,67%
38,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,67%
38,antoni-klimek,puszcza-niepolomice,Antoni KlimekPuszcza Niepołomice,67%
38,dominik-marczuk,jagiellonia-bialystok,Dominik MarczukJagiellonia Białystok,67%
38,ariel-pawe-mosor,piast-gliwice,Ariel Paweł MosórPiast Gliwice,67%
38,tomas-pekhart,legia-warszawa,Tomáš PekhartLegia Warszawa,67%
38,mateusz-radecki,puszcza-niepolomice,Mateusz RadeckiPuszcza Niepołomice,67%
38,bradly-van-hoeven,motor-lublin,Bradly van HoevenMotor Lublin,67%
38,kacper-weniak,motor-lublin,Kacper WełniakMotor Lublin,67%
38,adam-zrelak,gks-katowice,Adam ZreľákGKS Katowice,67%
51,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,66%
52,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,64%
53,aleksander-buksa,gornik-zabrze,Aleksander BuksaGórnik Zabrze,63%
53,marten-kuusk,gks-katowice,Märten KuuskGKS Katowice,63%
53,yehor-matsenko,slask-wroclaw,Yehor MatsenkoŚląsk Wrocław,63%
56,lucas-lima-linhares,legia-warszawa,LuquinhasLegia Warszawa,61%
57,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,61%
58,joao-gervasio-braganca-moutinho,jagiellonia-bialystok,João MoutinhoJagiellonia Białystok,60%
58,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,60%
58,matias-nahuel-leiva-esquivel,slask-wroclaw,Matías Nahuel Leiva EsquivelŚląsk Wrocław,60%
58,kacper-ukasiak,pogon-szczecin,Kacper ŁukasiakPogoń Szczecin,60%
58,jakub-ukowski,widzew-lodz,Jakub ŁukowskiWidzew Łódź,60%
58,arkadiusz-najemski,motor-lublin,Arkadiusz NajemskiMotor Lublin,60%
58,mauro-perkovic,cracovia,Mauro PerkovićCracovia,60%
58,jose-manuel-sanchez-guillen,gornik-zabrze,JosemaGórnik Zabrze,60%
58,ukasz-soowiej,puszcza-niepolomice,Łukasz SołowiejPuszcza Niepołomice,60%
58,marcel-wedrychowski,pogon-szczecin,Marcel WędrychowskiPogoń Szczecin,60%
58,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,60%
69,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,59%
70,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,59%
71,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,59%
72,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,59%
73,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,59%
73,samuel-mraz,motor-lublin,Samuel MrázMotor Lublin,59%
73,marvin-senger-1,stal-mielec,Marvin SengerStal Mielec,59%
76,filip-wojciech-jagieo,lech-poznan,Filip Wojciech JagiełłoLech Poznań,58%
76,michalis-kosidis,puszcza-niepolomice,Michalis KosidisPuszcza Niepołomice,58%
76,jakub-swierczok,slask-wroclaw,Jakub ŚwierczokŚląsk Wrocław,58%
76,jens-patrik-walemark,lech-poznan,Jens Patrik WålemarkLech Poznań,58%
80,ukasz-jozef-podolski,gornik-zabrze,Łukasz Józef PodolskiGórnik Zabrze,58%
81,osvaldo-pedro-capemba,radomiak-radom,CapitaRadomiak Radom,58%
82,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,57%
82,kajetan-szmyt,zagebie-lubin,Kajetan SzmytKGHM Zagłębie Lubin,57%
84,darko-churlinov,jagiellonia-bialystok,Darko ChurlinovJagiellonia Białystok,57%
85,blaz-kramer,legia-warszawa,Blaž KramerLegia Warszawa,56%
85,mateusz-matras,stal-mielec,Mateusz MatrasStal Mielec,56%
85,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,56%
88,adriano-luis-amorim-santos,rakow-czestochowa,AdrianoRaków Częstochowa,56%
88,jesus-antonio-diaz-gomez,rakow-czestochowa,Jesús Antonio Díaz GómezRaków Częstochowa,56%
88,burak-ince,slask-wroclaw,Burak InceŚląsk Wrocław,56%
88,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,56%
92,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,55%
92,ruben-goncalo-da-silva-nascimento-vinagre,legia-warszawa,Rúben VinagreLegia Warszawa,55%
94,sylvester-jasper,slask-wroclaw,Sylvester Alexander Enitombra JasperŚląsk Wrocław,54%
94,steve-nkanu-kapuadi,legia-warszawa,Steve Nkanu KapuadiLegia Warszawa,54%
94,damian-rasak,gornik-zabrze,Damian RasakGórnik Zabrze,54%
94,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,54%
98,micha-krol,motor-lublin,Michał KrólMotor Lublin,54%
99,mateusz-wdowiak,zagebie-lubin,Mateusz WdowiakKGHM Zagłębie Lubin,53%
100,imad-rondic,widzew-lodz,Imad RondićWidzew Łódź,53%
101,dawid-abramowicz,puszcza-niepolomice,Dawid AbramowiczPuszcza Niepołomice,53%
101,tomas-huk,piast-gliwice,Tomáš HukPiast Gliwice,53%
103,piotr-ceglarz,motor-lublin,Piotr CeglarzMotor Lublin,53%
103,serhij-krykun,piast-gliwice,Serhii Krykun WiktorowyczPiast Gliwice,53%
103,ousmane-sow,gornik-zabrze,Ousmane SowGórnik Zabrze,53%
103,miosz-szczepanski,piast-gliwice,Miłosz SzczepańskiPiast Gliwice,53%
107,mateusz-zukowski,slask-wroclaw,Mateusz ŻukowskiŚląsk Wrocław,53%
108,adrian-dalmau-vaquer,korona-kielce,Adrián Dalmau VaquerKorona Kielce,52%
108,vaclav-sejk,zagebie-lubin,Václav SejkKGHM Zagłębie Lubin,52%
110,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,52%
110,dawid-kurminowski,zagebie-lubin,Dawid KurminowskiKGHM Zagłębie Lubin,52%
110,jakub-sypek,widzew-lodz,Jakub SypekWidzew Łódź,52%
113,maksym-khlan,lechia-gdansk,Maksym KhlanLechia Gdańsk,51%
113,luka-zahovic,gornik-zabrze,Luka ZahovićGórnik Zabrze,51%
115,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,51%
116,allan-migouel-alfarela,legia-warszawa,Allan Migouel AlfarelaLegia Warszawa,50%
116,adriel-ba-loua,lech-poznan,Adriel D'Avila Ba LouaLech Poznań,50%
116,daniel-bak,korona-kielce,Daniel BąkKorona Kielce,50%
116,peter-barath,rakow-czestochowa,Péter BaráthRaków Częstochowa,50%
116,jean-david-beauguel,stal-mielec,Jean-David BeauguelStal Mielec,50%
116,rasmus-carstensen,lech-poznan,Rasmus Bjerregaard CarstensenLech Poznań,50%
116,leonardo-borges-da-silva,pogon-szczecin,Léo BorgesPogoń Szczecin,50%
116,fabian-bzdyl,cracovia,Fabian BzdylCracovia,50%
116,kamil-cybulski,widzew-lodz,Kamil CybulskiWidzew Łódź,50%
116,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,50%
116,rui-filipe-da-cunha-correia,jagiellonia-bialystok,NenéJagiellonia Białystok,50%
116,renat-dadasov,radomiak-radom,Renat DadaşovRadomiak Radom,50%
116,adrian-dieguez-grande,jagiellonia-bialystok,Adrián Diéguez GrandeJagiellonia Białystok,50%
116,dawid-drachal,rakow-czestochowa,Dawid DrachalRaków Częstochowa,50%
116,paulius-golubickas,radomiak-radom,Paulius GolubickasRadomiak Radom,50%
116,david-gonzalez-plata,korona-kielce,NonoKorona Kielce,50%
116,gustav-niklas-henriksson,cracovia,Gustav Niklas HenrikssonCracovia,50%
116,damian-jakubik,radomiak-radom,Damian JakubikRadomiak Radom,50%
116,jakub-jezierski-1,slask-wroclaw,Jakub JezierskiŚląsk Wrocław,50%
116,antoni-klukowski,pogon-szczecin,Antoni KlukowskiPogoń Szczecin,50%
116,matus-kmet,gornik-zabrze,Matúš KmeťGórnik Zabrze,50%
116,karol-knap,stal-mielec,Karol KnapStal Mielec,50%
116,olaf-korczakowski,pogon-szczecin,Olaf Igor KorczakowskiPogoń Szczecin,50%
116,peter-kovacik,jagiellonia-bialystok,Peter KováčikJagiellonia Białystok,50%
116,lazaros-lamprou,rakow-czestochowa,Lazaros LamprouRaków Częstochowa,50%
116,wojciech-lisowski,pogon-szczecin,Wojciech LisowskiPogoń Szczecin,50%
116,marc-llinares-barragan,slask-wroclaw,Marc Llinares BarragánŚląsk Wrocław,50%
116,ivan-lopez-alvarez,rakow-czestochowa,Ivi LópezRaków Częstochowa,50%
