pozycja,player_slug,klub_slug,nazwa,wartosc
1,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,62
2,radosaw-pawe-murawski,lech-poznan,Radosław Paweł MurawskiLech Poznań,54
3,karl-gustav-vilhelm-berggren,rakow-czestochowa,Karl Gustav Vilhelm BerggrenRaków Częstochowa,52
3,mateusz-kowalczyk,gks-katowice,Mateusz KowalczykGKS Katowice,52
3,jakub-serafin,puszcza-niepolomice,Jakub SerafinPuszcza Niepołomice,52
6,filip-rozga,cracovia,Filip Jan RózgaCracovia,50
7,peter-pokorny,slask-wroclaw,Peter PokornýŚląsk Wrocław,48
8,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,45
9,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,43
9,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,43
9,bohdan-viunnyk,lechia-gdansk,Bohdan ViunnykLechia Gdańsk,43
12,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,42
12,igor-drapinski,piast-gliwice,Igor DrapińskiPiast Gliwice,42
14,otar-kakabadze,cracovia,Otar KakabadzeCracovia,41
14,dominik-pia,lechia-gdansk,Dominik PiłaLechia Gdańsk,41
16,abdoul-fessal-tapsoba,radomiak-radom,Abdoul Fessal TapsobaRadomiak Radom,40
17,joao-pedro-da-costa-gamboa,pogon-szczecin,João GamboaPogoń Szczecin,39
17,adrian-dalmau-vaquer,korona-kielce,Adrián Dalmau VaquerKorona Kielce,39
19,steve-nkanu-kapuadi,legia-warszawa,Steve Nkanu KapuadiLegia Warszawa,38
19,michalis-kosidis,puszcza-niepolomice,Michalis KosidisPuszcza Niepołomice,38
19,paulo-henrique-rodrigues-cabral,radomiak-radom,Paulo HenriqueRadomiak Radom,38
19,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,38
23,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,37
23,piotr-mrozinski,puszcza-niepolomice,Piotr MrozińskiPuszcza Niepołomice,37
23,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,37
26,matthew-guillaumier,stal-mielec,Matthew GuillaumierStal Mielec,36
26,maksym-khlan,lechia-gdansk,Maksym KhlanLechia Gdańsk,36
28,tomas-huk,piast-gliwice,Tomáš HukPiast Gliwice,35
28,filip-luberecki,motor-lublin,Filip LubereckiMotor Lublin,35
28,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,35
28,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,35
32,leonardo-borges-da-silva,pogon-szczecin,Léo BorgesPogoń Szczecin,34
32,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,34
32,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,34
32,wiktor-dugosz,korona-kielce,Wiktor DługoszKorona Kielce,34
32,tommaso-guercio,slask-wroclaw,Tommaso GuercioŚląsk Wrocław,34
32,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,34
32,samuel-mraz,motor-lublin,Samuel MrázMotor Lublin,34
32,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,34
32,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,34
41,adriano-luis-amorim-santos,rakow-czestochowa,AdrianoRaków Częstochowa,33
41,roberto-emanuel-oliveira-alves,radomiak-radom,Roberto Emanuel Oliveira AlvesRadomiak Radom,33
41,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,33
41,mateusz-zukowski,slask-wroclaw,Mateusz ŻukowskiŚląsk Wrocław,33
45,joao-gervasio-braganca-moutinho,jagiellonia-bialystok,João MoutinhoJagiellonia Białystok,32
46,tihomir-kostadinov,piast-gliwice,Tihomir KostadinovPiast Gliwice,31
46,mbaye-jacques-ndiaye,motor-lublin,Mbaye Jacques N'DiayeMotor Lublin,31
46,arkadiusz-najemski,motor-lublin,Arkadiusz NajemskiMotor Lublin,31
46,adam-radwanski,zagebie-lubin,Adam RadwańskiKGHM Zagłębie Lubin,31
46,roman-yakuba,puszcza-niepolomice,Roman YakubaPuszcza Niepołomice,31
51,radovan-pankov,legia-warszawa,Radovan PankovLegia Warszawa,30
51,bujar-pllana,lechia-gdansk,Bujar PllanaLechia Gdańsk,30
53,sebastian-bergier,gks-katowice,Sebastian BergierGKS Katowice,29
53,ruben-goncalo-da-silva-nascimento-vinagre,legia-warszawa,Rúben VinagreLegia Warszawa,29
53,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,29
53,rafa-maciej-kurzawa,pogon-szczecin,Rafał Maciej KurzawaPogoń Szczecin,29
53,antonio-milic,lech-poznan,Antonio MilićLech Poznań,29
53,tomasz-neugebauer,lechia-gdansk,Tomasz NeugebauerLechia Gdańsk,29
53,maciej-rosoek,legia-warszawa,Maciej RosołekLegia Warszawa,29
53,mathieu-scalet,motor-lublin,Mathieu ScaletMotor Lublin,29
53,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,29
63,bruno-andre-cavaco-jordao,radomiak-radom,Bruno JordãoRadomiak Radom,28
63,jesus-antonio-diaz-gomez,rakow-czestochowa,Jesús Antonio Díaz GómezRaków Częstochowa,28
63,alex-raymond-douglas,lech-poznan,Alex Raymond DouglasLech Poznań,28
63,virgil-ghita,cracovia,Virgil Eugen GhițăCracovia,28
63,micha-gurgul,lech-poznan,Michał GurgulLech Poznań,28
63,wojciech-hajda,puszcza-niepolomice,Wojciech HajdaPuszcza Niepołomice,28
63,marcel-krajewski,widzew-lodz,Marcel KrajewskiWidzew Łódź,28
63,aleks-milenov-petkov,slask-wroclaw,Aleks Milenov PetkovŚląsk Wrocław,28
63,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,28
72,rafa-sylwester-augustyniak,legia-warszawa,Rafał Sylwester AugustyniakLegia Warszawa,27
72,robert-dadok,stal-mielec,Robert DadokStal Mielec,27
72,mariusz-fornalczyk,korona-kielce,Mariusz FornalczykKorona Kielce,27
72,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,27
72,marek-hanousek,widzew-lodz,Marek HanousekWidzew Łódź,27
72,yoav-hofmeister,korona-kielce,Yoav HofmeisterKorona Kielce,27
72,tomasz-makowski,zagebie-lubin,Tomasz MakowskiKGHM Zagłębie Lubin,27
72,yehor-matsenko,slask-wroclaw,Yehor MatsenkoŚląsk Wrocław,27
72,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,27
72,miosz-trojak,korona-kielce,Miłosz TrojakKorona Kielce,27
72,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,27
72,filip-wojcik,motor-lublin,Filip WójcikMotor Lublin,27
72,luka-zahovic,gornik-zabrze,Luka ZahovićGórnik Zabrze,27
72,jan-ziokowski,legia-warszawa,Jan ZiółkowskiLegia Warszawa,27
86,dawid-abramowicz,puszcza-niepolomice,Dawid AbramowiczPuszcza Niepołomice,26
86,bert-esselink,stal-mielec,Bert Johan EsselinkStal Mielec,26
86,miosz-kaahur,lechia-gdansk,Miłosz KałahurLechia Gdańsk,26
86,joao-peglow,radomiak-radom,PeglowRadomiak Radom,26
86,elias-oskar-olsson,lechia-gdansk,Elias Oskar OlssonLechia Gdańsk,26
86,igor-orlikowski,zagebie-lubin,Igor OrlikowskiKGHM Zagłębie Lubin,26
86,erick-ouma-otieno,rakow-czestochowa,Erick Ouma OtienoRaków Częstochowa,26
86,aleksander-paluszek,slask-wroclaw,Aleksander PaluszekŚląsk Wrocław,26
86,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,26
86,petr-schwarz,slask-wroclaw,Petr SchwarzŚląsk Wrocław,26
86,kryspin-szczesniak,gornik-zabrze,Kryspin SzcześniakGórnik Zabrze,26
86,dawid-szymonowicz,puszcza-niepolomice,Dawid SzymonowiczPuszcza Niepołomice,26
98,jani-atanasov,puszcza-niepolomice,Jani AtanasovPuszcza Niepołomice,25
