pozycja,player_slug,klub_slug,nazwa,wartosc
1,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,8
2,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,6
3,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,5
3,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,5
5,pedro-nuno-fernandes-ferreira,korona-kielce,Pedro NunoKorona Kielce,4
5,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,4
7,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,3
7,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,3
7,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,3
10,rafa-sylwester-augustyniak,legia-warszawa,Rafał Sylwester AugustyniakLegia Warszawa,2
10,piotr-ceglarz,motor-lublin,Piotr CeglarzMotor Lublin,2
10,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,2
10,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,2
10,leonardo-miramar-rocha,radomiak-radom,Leonardo RochaRadomiak Radom,2
10,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,2
10,imad-rondic,widzew-lodz,Imad RondićWidzew Łódź,2
10,petr-schwarz,slask-wroclaw,Petr SchwarzŚląsk Wrocław,2
18,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,1
18,adrian-dalmau-vaquer,korona-kielce,Adrián Dalmau VaquerKorona Kielce,1
18,marc-gual-huguet,legia-warszawa,Marc Gual HuguetLegia Warszawa,1
18,ajdin-hasic,cracovia,Ajdin HasićCracovia,1
18,tomas-huk,piast-gliwice,Tomáš HukPiast Gliwice,1
18,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,1
18,michalis-kosidis,puszcza-niepolomice,Michalis KosidisPuszcza Niepołomice,1
18,blaz-kramer,legia-warszawa,Blaž KramerLegia Warszawa,1
18,dawid-kurminowski,zagebie-lubin,Dawid KurminowskiKGHM Zagłębie Lubin,1
18,ivan-lopez-alvarez,rakow-czestochowa,Ivi LópezRaków Częstochowa,1
18,kamil-lukoszek,gornik-zabrze,Kamil LukoszekGórnik Zabrze,1
18,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,1
18,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,1
18,rafael-avelino-pereira-pinto-barbosa,radomiak-radom,Rafael BarbosaRadomiak Radom,1
18,mateusz-skrzypczak,jagiellonia-bialystok,Mateusz SkrzypczakJagiellonia Białystok,1
18,bohdan-viunnyk,lechia-gdansk,Bohdan ViunnykLechia Gdańsk,1
18,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,1
18,ukasz-wolsztynski,stal-mielec,Łukasz WolsztyńskiStal Mielec,1
18,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,1
18,luka-zahovic,gornik-zabrze,Luka ZahovićGórnik Zabrze,1
18,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,1
