pozycja,player_slug,klub_slug,nazwa,wartosc
1,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,28
2,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,21
3,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,18
4,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,16
4,samuel-mraz,motor-lublin,Samuel MrázMotor Lublin,16
6,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,14
7,afonso-gamelas-de-pinho-sousa,lech-poznan,Afonso SousaLech Poznań,13
8,leonardo-miramar-rocha,radomiak-radom,Leonardo RochaRadomiak Radom,11
9,adrian-dalmau-vaquer,korona-kielce,Adrián Dalmau VaquerKorona Kielce,10
9,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,10
9,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,10
12,sebastian-bergier,gks-katowice,Sebastian BergierGKS Katowice,9
12,marc-gual-huguet,legia-warszawa,Marc Gual HuguetLegia Warszawa,9
12,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,9
12,imad-rondic,widzew-lodz,Imad RondićWidzew Łódź,9
16,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,8
16,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,8
16,michalis-kosidis,puszcza-niepolomice,Michalis KosidisPuszcza Niepołomice,8
16,ivan-lopez-alvarez,rakow-czestochowa,Ivi LópezRaków Częstochowa,8
16,oskar-repka,gks-katowice,Oskar RepkaGKS Katowice,8
16,jens-patrik-walemark,lech-poznan,Jens Patrik WålemarkLech Poznań,8
16,luka-zahovic,gornik-zabrze,Luka ZahovićGórnik Zabrze,8
23,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,7
23,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,7
23,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,7
23,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,7
23,bohdan-viunnyk,lechia-gdansk,Bohdan ViunnykLechia Gdańsk,7
29,osvaldo-pedro-capemba,radomiak-radom,CapitaRadomiak Radom,6
29,piotr-ceglarz,motor-lublin,Piotr CeglarzMotor Lublin,6
29,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,6
29,lucas-lima-linhares,legia-warszawa,LuquinhasLegia Warszawa,6
29,mikkel-maigaard-jakobsen,cracovia,Mikkel Maigaard JakobsenCracovia,6
29,ryoya-morishita,legia-warszawa,Ryoya MorishitaLegia Warszawa,6
29,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,6
36,darko-churlinov,jagiellonia-bialystok,Darko ChurlinovJagiellonia Białystok,5
36,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,5
36,pedro-nuno-fernandes-ferreira,korona-kielce,Pedro NunoKorona Kielce,5
