pozycja,player_slug,klub_slug,nazwa,wartosc
1,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,1319
2,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,1162
3,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,1156
4,ruben-goncalo-da-silva-nascimento-vinagre,legia-warszawa,Rúben VinagreLegia Warszawa,1137
5,mikkel-maigaard-jakobsen,cracovia,Mikkel Maigaard JakobsenCracovia,1113
6,patrik-hellebrand,gornik-zabrze,Patrik HellebrandGórnik Zabrze,1109
7,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,1040
8,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,1028
9,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,1024
10,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,1014
11,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,955
12,radosaw-pawe-murawski,lech-poznan,Radosław Paweł MurawskiLech Poznań,943
13,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,903
14,micha-gurgul,lech-poznan,Michał GurgulLech Poznań,886
15,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,880
16,joao-gervasio-braganca-moutinho,jagiellonia-bialystok,João MoutinhoJagiellonia Białystok,850
17,otar-kakabadze,cracovia,Otar KakabadzeCracovia,829
18,oskar-repka,gks-katowice,Oskar RepkaGKS Katowice,826
19,petr-schwarz,slask-wroclaw,Petr SchwarzŚląsk Wrocław,817
20,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,814
21,antonio-milic,lech-poznan,Antonio MilićLech Poznań,813
22,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,801
23,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,793
24,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,791
25,dominik-pia,lechia-gdansk,Dominik PiłaLechia Gdańsk,790
26,ukasz-jozef-podolski,gornik-zabrze,Łukasz Józef PodolskiGórnik Zabrze,783
27,rafa-maciej-kurzawa,pogon-szczecin,Rafał Maciej KurzawaPogoń Szczecin,769
28,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,765
29,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,759
30,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,750
31,afonso-gamelas-de-pinho-sousa,lech-poznan,Afonso SousaLech Poznań,747
32,grzegorz-tomasiewicz,piast-gliwice,Grzegorz TomasiewiczPiast Gliwice,742
33,matthew-guillaumier,stal-mielec,Matthew GuillaumierStal Mielec,741
33,miosz-trojak,korona-kielce,Miłosz TrojakKorona Kielce,741
35,steve-nkanu-kapuadi,legia-warszawa,Steve Nkanu KapuadiLegia Warszawa,732
35,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,732
37,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,730
38,maciej-domanski,stal-mielec,Maciej DomańskiStal Mielec,729
39,karl-gustav-vilhelm-berggren,rakow-czestochowa,Karl Gustav Vilhelm BerggrenRaków Częstochowa,727
40,leonardo-borges-da-silva,pogon-szczecin,Léo BorgesPogoń Szczecin,725
41,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,724
42,roberto-emanuel-oliveira-alves,radomiak-radom,Roberto Emanuel Oliveira AlvesRadomiak Radom,715
43,ajdin-hasic,cracovia,Ajdin HasićCracovia,709
44,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,705
45,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,694
46,alan-czerwinski,gks-katowice,Alan CzerwińskiGKS Katowice,686
47,virgil-ghita,cracovia,Virgil Eugen GhițăCracovia,685
48,ryoya-morishita,legia-warszawa,Ryoya MorishitaLegia Warszawa,675
48,zie-mohamed-ouattara,radomiak-radom,Zié Mohamed OuattaraRadomiak Radom,675
50,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,670
50,jakub-serafin,puszcza-niepolomice,Jakub SerafinPuszcza Niepołomice,670
52,adrian-bad,gks-katowice,Adrian BłądGKS Katowice,667
53,mateusz-skrzypczak,jagiellonia-bialystok,Mateusz SkrzypczakJagiellonia Białystok,661
54,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,649
55,sebastian-kerk,widzew-lodz,Sebastian KerkWidzew Łódź,637
56,kewin-komar,puszcza-niepolomice,Kewin KomarPuszcza Niepołomice,614
57,mateusz-zyro,widzew-lodz,Mateusz ŻyroWidzew Łódź,613
58,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,611
59,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,595
60,sergi-samper-montana,motor-lublin,Sergi Samper MontañaMotor Lublin,593
61,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,592
62,marek-mroz,zagebie-lubin,Marek MrózKGHM Zagłębie Lubin,585
63,taofeek-ajibade-ismaheel,gornik-zabrze,Taofeek Ajibade IsmaheelGórnik Zabrze,583
64,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,572
65,michal-sacek,jagiellonia-bialystok,Michal SáčekJagiellonia Białystok,571
66,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,568
67,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,566
68,arkadiusz-pyrka,piast-gliwice,Arkadiusz PyrkaPiast Gliwice,565
69,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,557
70,ivan-lopez-alvarez,rakow-czestochowa,Ivi LópezRaków Częstochowa,556
71,kacper-chodyna,legia-warszawa,Kacper ChodynaLegia Warszawa,553
71,maksym-khlan,lechia-gdansk,Maksym KhlanLechia Gdańsk,553
73,igor-drapinski,piast-gliwice,Igor DrapińskiPiast Gliwice,551
74,tomas-huk,piast-gliwice,Tomáš HukPiast Gliwice,545
75,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,541
75,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,541
77,miosz-szczepanski,piast-gliwice,Miłosz SzczepańskiPiast Gliwice,537
78,elias-oskar-olsson,lechia-gdansk,Elias Oskar OlssonLechia Gdańsk,535
79,alvis-jaunzems,stal-mielec,Alvis JaunzemsStal Mielec,533
80,damian-rasak,gornik-zabrze,Damian RasakGórnik Zabrze,531
81,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,530
81,aleks-awniczak,zagebie-lubin,Aleks ŁawniczakKGHM Zagłębie Lubin,530
83,jose-manuel-sanchez-guillen,gornik-zabrze,JosemaGórnik Zabrze,527
84,alex-raymond-douglas,lech-poznan,Alex Raymond DouglasLech Poznań,526
85,samuel-kozlovsky,widzew-lodz,Samuel KozlovskýWidzew Łódź,521
