pozycja,player_slug,klub_slug,nazwa,wartosc
1,antonio-milic,lech-poznan,Antonio MilićLech Poznań,2161
2,patrik-hellebrand,gornik-zabrze,Patrik HellebrandGórnik Zabrze,2154
3,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,1885
4,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,1859
5,mateusz-zyro,widzew-lodz,Mateusz ŻyroWidzew Łódź,1837
6,leonardo-borges-da-silva,pogon-szczecin,Léo BorgesPogoń Szczecin,1833
7,mateusz-skrzypczak,jagiellonia-bialystok,Mateusz SkrzypczakJagiellonia Białystok,1769
8,micha-gurgul,lech-poznan,Michał GurgulLech Poznań,1708
9,rafa-janicki,gornik-zabrze,Rafał JanickiGórnik Zabrze,1696
10,miosz-trojak,korona-kielce,Miłosz TrojakKorona Kielce,1656
11,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,1647
12,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,1621
13,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,1614
14,steve-nkanu-kapuadi,legia-warszawa,Steve Nkanu KapuadiLegia Warszawa,1606
15,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,1605
16,mikkel-maigaard-jakobsen,cracovia,Mikkel Maigaard JakobsenCracovia,1601
17,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,1556
18,ruben-goncalo-da-silva-nascimento-vinagre,legia-warszawa,Rúben VinagreLegia Warszawa,1529
19,radosaw-pawe-murawski,lech-poznan,Radosław Paweł MurawskiLech Poznań,1513
20,oskar-repka,gks-katowice,Oskar RepkaGKS Katowice,1510
21,jose-manuel-sanchez-guillen,gornik-zabrze,JosemaGórnik Zabrze,1482
22,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,1469
23,virgil-ghita,cracovia,Virgil Eugen GhițăCracovia,1467
24,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,1440
24,elias-oskar-olsson,lechia-gdansk,Elias Oskar OlssonLechia Gdańsk,1440
26,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,1437
27,rafa-tadeusz-gikiewicz,widzew-lodz,Rafał Tadeusz GikiewiczWidzew Łódź,1401
28,kryspin-szczesniak,gornik-zabrze,Kryspin SzcześniakGórnik Zabrze,1399
29,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,1372
30,matthew-guillaumier,stal-mielec,Matthew GuillaumierStal Mielec,1331
31,aleks-awniczak,zagebie-lubin,Aleks ŁawniczakKGHM Zagłębie Lubin,1328
32,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,1291
33,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,1290
34,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,1279
35,mateusz-matras,stal-mielec,Mateusz MatrasStal Mielec,1268
36,bert-esselink,stal-mielec,Bert Johan EsselinkStal Mielec,1265
37,joao-gervasio-braganca-moutinho,jagiellonia-bialystok,João MoutinhoJagiellonia Białystok,1263
