pozycja,player_slug,klub_slug,nazwa,wartosc
1,miosz-trojak,korona-kielce,Miłosz TrojakKorona Kielce,56
2,virgil-ghita,cracovia,Virgil Eugen GhițăCracovia,51
3,dominik-pia,lechia-gdansk,Dominik PiłaLechia Gdańsk,50
4,mateusz-kowalczyk,gks-katowice,Mateusz KowalczykGKS Katowice,48
4,aleks-awniczak,zagebie-lubin,Aleks ŁawniczakKGHM Zagłębie Lubin,48
6,patrik-hellebrand,gornik-zabrze,Patrik HellebrandGórnik Zabrze,47
7,matthew-guillaumier,stal-mielec,Matthew GuillaumierStal Mielec,45
7,otar-kakabadze,cracovia,Otar KakabadzeCracovia,45
9,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,44
9,samuel-kozlovsky,widzew-lodz,Samuel KozlovskýWidzew Łódź,44
9,efstratios-svarnas,rakow-czestochowa,Efstratios SvarnasRaków Częstochowa,44
12,jakub-serafin,puszcza-niepolomice,Jakub SerafinPuszcza Niepołomice,43
13,karl-gustav-vilhelm-berggren,rakow-czestochowa,Karl Gustav Vilhelm BerggrenRaków Częstochowa,42
13,radosaw-pawe-murawski,lech-poznan,Radosław Paweł MurawskiLech Poznań,42
15,leonardo-borges-da-silva,pogon-szczecin,Léo BorgesPogoń Szczecin,41
16,zie-mohamed-ouattara,radomiak-radom,Zié Mohamed OuattaraRadomiak Radom,40
16,petr-schwarz,slask-wroclaw,Petr SchwarzŚląsk Wrocław,40
18,jose-manuel-sanchez-guillen,gornik-zabrze,JosemaGórnik Zabrze,39
19,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,38
19,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,38
21,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,37
21,norbert-wojtuszek,jagiellonia-bialystok,Norbert WojtuszekJagiellonia Białystok,37
23,antonio-milic,lech-poznan,Antonio MilićLech Poznań,36
23,roman-yakuba,puszcza-niepolomice,Roman YakubaPuszcza Niepołomice,36
25,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,35
25,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,35
25,mateusz-zyro,widzew-lodz,Mateusz ŻyroWidzew Łódź,35
28,zoran-arsenic,rakow-czestochowa,Zoran ArsenićRaków Częstochowa,34
28,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,34
28,paulo-henrique-rodrigues-cabral,radomiak-radom,Paulo HenriqueRadomiak Radom,34
31,joao-pedro-da-costa-gamboa,pogon-szczecin,João GamboaPogoń Szczecin,33
31,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,33
33,igor-drapinski,piast-gliwice,Igor DrapińskiPiast Gliwice,32
33,alvis-jaunzems,stal-mielec,Alvis JaunzemsStal Mielec,32
33,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,32
33,michal-sacek,jagiellonia-bialystok,Michal SáčekJagiellonia Białystok,32
33,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,32
33,dawid-szymonowicz,puszcza-niepolomice,Dawid SzymonowiczPuszcza Niepołomice,32
39,rafa-janicki,gornik-zabrze,Rafał JanickiGórnik Zabrze,31
39,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,31
39,patryk-sokoowski,cracovia,Patryk SokołowskiCracovia,31
39,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,31
43,arkadiusz-najemski,motor-lublin,Arkadiusz NajemskiMotor Lublin,30
43,micha-jan-nalepa,zagebie-lubin,Michał Jan NalepaKGHM Zagłębie Lubin,30
43,pau-resta-tell,korona-kielce,Pau Resta TellKorona Kielce,30
43,kryspin-szczesniak,gornik-zabrze,Kryspin SzcześniakGórnik Zabrze,30
47,joao-gervasio-braganca-moutinho,jagiellonia-bialystok,João MoutinhoJagiellonia Białystok,29
47,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,29
47,ruben-goncalo-da-silva-nascimento-vinagre,legia-warszawa,Rúben VinagreLegia Warszawa,29
47,bujar-pllana,lechia-gdansk,Bujar PllanaLechia Gdańsk,29
51,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,28
51,bert-esselink,stal-mielec,Bert Johan EsselinkStal Mielec,28
51,lukas-rafael-klemenz,gks-katowice,Lukas Rafael KlemenzGKS Katowice,28
51,marvin-senger-1,stal-mielec,Marvin SengerStal Mielec,28
55,tudor-baluta,slask-wroclaw,Tudor Cristian BăluțăŚląsk Wrocław,27
55,filip-luberecki,motor-lublin,Filip LubereckiMotor Lublin,27
55,mateusz-matras,stal-mielec,Mateusz MatrasStal Mielec,27
55,aleks-milenov-petkov,slask-wroclaw,Aleks Milenov PetkovŚląsk Wrocław,27
59,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,26
60,tommaso-guercio,slask-wroclaw,Tommaso GuercioŚląsk Wrocław,25
60,piotr-mrozinski,puszcza-niepolomice,Piotr MrozińskiPuszcza Niepołomice,25
60,oskar-repka,gks-katowice,Oskar RepkaGKS Katowice,25
60,sebastian-rudol,motor-lublin,Sebastian RudolMotor Lublin,25
60,grzegorz-tomasiewicz,piast-gliwice,Grzegorz TomasiewiczPiast Gliwice,25
65,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,24
65,juan-fernandez-blanco,widzew-lodz,Juan IbizaWidzew Łódź,24
65,tomas-huk,piast-gliwice,Tomáš HukPiast Gliwice,24
65,joao-peglow,radomiak-radom,PeglowRadomiak Radom,24
65,peter-pokorny,slask-wroclaw,Peter PokornýŚląsk Wrocław,24
65,konrad-stepien,puszcza-niepolomice,Konrad StępieńPuszcza Niepołomice,24
71,marek-kristian-bartos,motor-lublin,Marek Kristián BartošMotor Lublin,23
71,micha-gurgul,lech-poznan,Michał GurgulLech Poznań,23
71,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,23
71,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,23
71,yehor-matsenko,slask-wroclaw,Yehor MatsenkoŚląsk Wrocław,23
71,elias-oskar-olsson,lechia-gdansk,Elias Oskar OlssonLechia Gdańsk,23
71,sergi-samper-montana,motor-lublin,Sergi Samper MontañaMotor Lublin,23
71,miguel-villar-alonso,jagiellonia-bialystok,Miguel Villar AlonsoJagiellonia Białystok,23
79,christos-donis,radomiak-radom,Christos DonisRadomiak Radom,22
79,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,22
79,jakub-jezierski-1,slask-wroclaw,Jakub JezierskiŚląsk Wrocław,22
79,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,22
79,rafa-maciej-kurzawa,pogon-szczecin,Rafał Maciej KurzawaPogoń Szczecin,22
79,marten-kuusk,gks-katowice,Märten KuuskGKS Katowice,22
79,mikkel-maigaard-jakobsen,cracovia,Mikkel Maigaard JakobsenCracovia,22
79,miguel-munoz,piast-gliwice,Miguel Muñoz FernándezPiast Gliwice,22
79,marcel-pieczek,korona-kielce,Marcel PięczekKorona Kielce,22
79,martin-christophe-jannick-remacle,korona-kielce,Martin Christophe Jannick RemacleKorona Kielce,22
79,ioan-calin-revenco-1,puszcza-niepolomice,Ioan-Călin RevencoPuszcza Niepołomice,22
79,dominik-jerzy-szala,gornik-zabrze,Dominik Jerzy SzalaGórnik Zabrze,22
79,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,22
92,david-gonzalez-plata,korona-kielce,NonoKorona Kielce,21
92,yoav-hofmeister,korona-kielce,Yoav HofmeisterKorona Kielce,21
92,marc-llinares-barragan,slask-wroclaw,Marc Llinares BarragánŚląsk Wrocław,21
92,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,21
92,tomasz-neugebauer,lechia-gdansk,Tomasz NeugebauerLechia Gdańsk,21
92,igor-orlikowski,zagebie-lubin,Igor OrlikowskiKGHM Zagłębie Lubin,21
92,radovan-pankov,legia-warszawa,Radovan PankovLegia Warszawa,21
92,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,21
100,leon-maximilian-flach,jagiellonia-bialystok,Leon Maximilian FlachJagiellonia Białystok,20
100,bartomiej-kudka,zagebie-lubin,Bartłomiej KłudkaKGHM Zagłębie Lubin,20
100,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,20
103,rafa-sylwester-augustyniak,legia-warszawa,Rafał Sylwester AugustyniakLegia Warszawa,19
103,wiktor-dugosz,korona-kielce,Wiktor DługoszKorona Kielce,19
103,roberto-emanuel-oliveira-alves,radomiak-radom,Roberto Emanuel Oliveira AlvesRadomiak Radom,19
103,aleksander-paluszek,slask-wroclaw,Aleksander PaluszekŚląsk Wrocław,19
103,matej-rodin,rakow-czestochowa,Matej RodinRaków Częstochowa,19
103,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,19
103,mateusz-zukowski,slask-wroclaw,Mateusz ŻukowskiŚląsk Wrocław,19
111,marcel-krajewski,widzew-lodz,Marcel KrajewskiWidzew Łódź,18
111,filip-wojcik,motor-lublin,Filip WójcikMotor Lublin,18
114,dawid-abramowicz,puszcza-niepolomice,Dawid AbramowiczPuszcza Niepołomice,17
114,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,17
114,miosz-kaahur,lechia-gdansk,Miłosz KałahurLechia Gdańsk,17
114,steve-nkanu-kapuadi,legia-warszawa,Steve Nkanu KapuadiLegia Warszawa,17
114,marek-mroz,zagebie-lubin,Marek MrózKGHM Zagłębie Lubin,17
114,mateusz-skrzypczak,jagiellonia-bialystok,Mateusz SkrzypczakJagiellonia Białystok,17
114,jan-ziokowski,legia-warszawa,Jan ZiółkowskiLegia Warszawa,17
122,taofeek-ajibade-ismaheel,gornik-zabrze,Taofeek Ajibade IsmaheelGórnik Zabrze,16
122,robert-dadok,stal-mielec,Robert DadokStal Mielec,16
122,damian-rasak,gornik-zabrze,Damian RasakGórnik Zabrze,16
122,mathieu-scalet,motor-lublin,Mathieu ScaletMotor Lublin,16
122,dusan-stojinovic,jagiellonia-bialystok,Dušan StojinovićJagiellonia Białystok,16
127,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,15
127,adrian-dieguez-grande,jagiellonia-bialystok,Adrián Diéguez GrandeJagiellonia Białystok,15
127,filip-wojciech-jagieo,lech-poznan,Filip Wojciech JagiełłoLech Poznań,15
127,maksym-khlan,lechia-gdansk,Maksym KhlanLechia Gdańsk,15
127,jakub-kolan,zagebie-lubin,Jakub KolanKGHM Zagłębie Lubin,15
127,tihomir-kostadinov,piast-gliwice,Tihomir KostadinovPiast Gliwice,15
127,danijel-loncar,pogon-szczecin,Danijel LončarPogoń Szczecin,15
127,erick-ouma-otieno,rakow-czestochowa,Erick Ouma OtienoRaków Częstochowa,15
127,mateusz-wdowiak,zagebie-lubin,Mateusz WdowiakKGHM Zagłębie Lubin,15
127,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,15
127,hubert-zwozny,korona-kielce,Hubert ZwoźnyKorona Kielce,15
138,amir-fouad-aboud-al-ammari,cracovia,Amir Al AmmariCracovia,14
138,adriano-luis-amorim-santos,rakow-czestochowa,AdrianoRaków Częstochowa,14
138,mateusz-cholewiak,puszcza-niepolomice,Mateusz CholewiakPuszcza Niepołomice,14
138,josip-corluka,zagebie-lubin,Josip ĆorlukaKGHM Zagłębie Lubin,14
138,alex-raymond-douglas,lech-poznan,Alex Raymond DouglasLech Poznań,14
138,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,14
138,marek-hanousek,widzew-lodz,Marek HanousekWidzew Łódź,14
138,jarosaw-kubicki,jagiellonia-bialystok,Jarosław KubickiJagiellonia Białystok,14
138,luis-silva,widzew-lodz,Luís SilvaWidzew Łódź,14
138,kristoffer-hansen,jagiellonia-bialystok,Kristoffer Normann HansenJagiellonia Białystok,14
138,bartomiej-smolarczyk,korona-kielce,Bartłomiej SmolarczykKorona Kielce,14
149,jani-atanasov,puszcza-niepolomice,Jani AtanasovPuszcza Niepołomice,13
149,adrian-bad,gks-katowice,Adrian BłądGKS Katowice,13
149,marco-burch,legia-warszawa,Marco BurchLegia Warszawa,13
149,juergen-farid-elitim-sepulveda,legia-warszawa,Juergen Farid Elitim SepúlvedaLegia Warszawa,13
149,kamil-jacek-glik,cracovia,Kamil Jacek GlikCracovia,13
149,artur-marcin-jedrzejczyk,legia-warszawa,Artur Marcin JędrzejczykLegia Warszawa,13
149,davi-kristjan-olafsson,cracovia,Davíð Kristján ÓlafssonCracovia,13
149,krystian-palacz,motor-lublin,Krystian PalaczMotor Lublin,13
149,filip-rozga,cracovia,Filip Jan RózgaCracovia,13
149,christopher-serge-simon,motor-lublin,Christopher Serge SimonMotor Lublin,13
149,konstantinos-sotiriou,korona-kielce,Konstantinos SotiriouKorona Kielce,13
149,jakub-sypek,widzew-lodz,Jakub SypekWidzew Łódź,13
149,akim-zedadka,piast-gliwice,Akim ZedadkaPiast Gliwice,13
163,bartosz-biedrzycki,cracovia,Bartosz BiedrzyckiCracovia,12
163,rasmus-carstensen,lech-poznan,Rasmus Bjerregaard CarstensenLech Poznań,12
163,enzo-ebosse,jagiellonia-bialystok,Enzo Jacques Rodolphe EbosseJagiellonia Białystok,12
163,herve-jean-matthys,motor-lublin,Hervé Jean MatthysMotor Lublin,12
163,konrad-matuszewski,korona-kielce,Konrad MatuszewskiKorona Kielce,12
163,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,12
163,peter-nysted-therkildsen,widzew-lodz,Peter Nysted TherkildsenWidzew Łódź,12
163,michal-siplak,puszcza-niepolomice,Michal SipľakPuszcza Niepołomice,12
163,serafin-jan-szota,slask-wroclaw,Serafin Jan SzotaŚląsk Wrocław,12
163,benedikt-zech,pogon-szczecin,Benedikt ZechPogoń Szczecin,12
174,saad-agouzoul,radomiak-radom,Saad AgouzoulRadomiak Radom,11
174,jakov-blagaic,puszcza-niepolomice,Jakov BlagaićPuszcza Niepołomice,11
174,kaan-caliskaner,motor-lublin,Kaan ÇalışkanerMotor Lublin,11
174,darko-churlinov,jagiellonia-bialystok,Darko ChurlinovJagiellonia Białystok,11
174,joaquim-claude-goncalves-araujo,legia-warszawa,Claude GonçalvesLegia Warszawa,11
174,alexander-gorgon,pogon-szczecin,Alexander GorgonPogoń Szczecin,11
174,wojciech-hajda,puszcza-niepolomice,Wojciech HajdaPuszcza Niepołomice,11
174,jin-hyun-lee,puszcza-niepolomice,Lee Jin-HyunPuszcza Niepołomice,11
174,kamil-pestka,radomiak-radom,Kamil PestkaRadomiak Radom,11
