pozycja,player_slug,klub_slug,nazwa,wartosc
1,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,155
2,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,139
3,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,118
4,ruben-goncalo-da-silva-nascimento-vinagre,legia-warszawa,Rúben VinagreLegia Warszawa,110
5,petr-schwarz,slask-wroclaw,Petr SchwarzŚląsk Wrocław,107
6,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,104
7,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,83
8,roberto-emanuel-oliveira-alves,radomiak-radom,Roberto Emanuel Oliveira AlvesRadomiak Radom,80
9,ivan-lopez-alvarez,rakow-czestochowa,Ivi LópezRaków Częstochowa,77
9,jakub-serafin,puszcza-niepolomice,Jakub SerafinPuszcza Niepołomice,77
11,mikkel-maigaard-jakobsen,cracovia,Mikkel Maigaard JakobsenCracovia,73
12,sebastian-kerk,widzew-lodz,Sebastian KerkWidzew Łódź,71
13,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,69
14,maciej-domanski,stal-mielec,Maciej DomańskiStal Mielec,68
15,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,66
16,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,64
16,ajdin-hasic,cracovia,Ajdin HasićCracovia,64
18,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,60
18,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,60
18,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,60
21,joao-gervasio-braganca-moutinho,jagiellonia-bialystok,João MoutinhoJagiellonia Białystok,55
22,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,50
23,vahan-bichakhchyan,legia-warszawa,Vahan BichakhchyanLegia Warszawa,48
23,kristoffer-hansen,jagiellonia-bialystok,Kristoffer Normann HansenJagiellonia Białystok,48
25,marcel-pieczek,korona-kielce,Marcel PięczekKorona Kielce,45
26,pedro-nuno-fernandes-ferreira,korona-kielce,Pedro NunoKorona Kielce,40
26,damian-kadzior,piast-gliwice,Damian KądziorPiast Gliwice,40
26,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,40
29,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,39
29,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,39
31,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,38
33,jarosaw-kubicki,jagiellonia-bialystok,Jarosław KubickiJagiellonia Białystok,26
33,rafa-maciej-kurzawa,pogon-szczecin,Rafał Maciej KurzawaPogoń Szczecin,26
33,ukasz-jozef-podolski,gornik-zabrze,Łukasz Józef PodolskiGórnik Zabrze,26
36,darko-churlinov,jagiellonia-bialystok,Darko ChurlinovJagiellonia Białystok,24
36,juergen-farid-elitim-sepulveda,legia-warszawa,Juergen Farid Elitim SepúlvedaLegia Warszawa,24
36,arkadiusz-pyrka,piast-gliwice,Arkadiusz PyrkaPiast Gliwice,24
36,kajetan-szmyt,zagebie-lubin,Kajetan SzmytKGHM Zagłębie Lubin,24
40,piotr-samiec-talar,slask-wroclaw,Piotr Samiec-TalarŚląsk Wrocław,23
40,luka-zahovic,gornik-zabrze,Luka ZahovićGórnik Zabrze,23
42,alan-czerwinski,gks-katowice,Alan CzerwińskiGKS Katowice,22
43,kacper-chodyna,legia-warszawa,Kacper ChodynaLegia Warszawa,21
43,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,21
45,jens-patrik-walemark,lech-poznan,Jens Patrik WålemarkLech Poznań,18
46,christos-donis,radomiak-radom,Christos DonisRadomiak Radom,17
47,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,16
