pozycja,player_slug,klub_slug,nazwa,wartosc
1,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,24
2,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,22
3,adam-zrelak,gks-katowice,Adam ZreľákGKS Katowice,16
4,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,15
4,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,15
4,ryoya-morishita,legia-warszawa,Ryoya MorishitaLegia Warszawa,15
7,piotr-ceglarz,motor-lublin,Piotr CeglarzMotor Lublin,14
7,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,14
7,luka-zahovic,gornik-zabrze,Luka ZahovićGórnik Zabrze,14
10,samuel-mraz,motor-lublin,Samuel MrázMotor Lublin,12
12,erik-jirka,piast-gliwice,Erik JirkaPiast Gliwice,11
12,mbaye-jacques-ndiaye,motor-lublin,Mbaye Jacques N'DiayeMotor Lublin,11
12,jakub-swierczok,slask-wroclaw,Jakub ŚwierczokŚląsk Wrocław,11
15,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,10
15,michalis-kosidis,puszcza-niepolomice,Michalis KosidisPuszcza Niepołomice,10
15,imad-rondic,widzew-lodz,Imad RondićWidzew Łódź,10
15,abdoul-fessal-tapsoba,radomiak-radom,Abdoul Fessal TapsobaRadomiak Radom,10
19,darko-churlinov,jagiellonia-bialystok,Darko ChurlinovJagiellonia Białystok,9
19,adrian-dalmau-vaquer,korona-kielce,Adrián Dalmau VaquerKorona Kielce,9
19,afonso-gamelas-de-pinho-sousa,lech-poznan,Afonso SousaLech Poznań,9
19,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,9
19,micha-krol,motor-lublin,Michał KrólMotor Lublin,9
19,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,9
25,sebastian-bergier,gks-katowice,Sebastian BergierGKS Katowice,8
25,adrian-bad,gks-katowice,Adrian BłądGKS Katowice,8
25,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,8
25,maciej-domanski,stal-mielec,Maciej DomańskiStal Mielec,8
25,damian-kadzior,piast-gliwice,Damian KądziorPiast Gliwice,8
25,fabian-piasecki,piast-gliwice,Fabian PiaseckiPiast Gliwice,8
25,maciej-rosoek,legia-warszawa,Maciej RosołekLegia Warszawa,8
25,bradly-van-hoeven,motor-lublin,Bradly van HoevenMotor Lublin,8
25,bohdan-viunnyk,lechia-gdansk,Bohdan ViunnykLechia Gdańsk,8
34,taofeek-ajibade-ismaheel,gornik-zabrze,Taofeek Ajibade IsmaheelGórnik Zabrze,7
34,michael-ameyaw,piast-gliwice,Michael AmeyawPiast Gliwice,7
34,german-barkovskiy,puszcza-niepolomice,German BarkovskiyPuszcza Niepołomice,7
34,kamil-cybulski,widzew-lodz,Kamil CybulskiWidzew Łódź,7
34,mariusz-fornalczyk,korona-kielce,Mariusz FornalczykKorona Kielce,7
34,maksym-khlan,lechia-gdansk,Maksym KhlanLechia Gdańsk,7
34,evgeni-shikavka,korona-kielce,Evgeni ShikavkaKorona Kielce,7
34,lubomir-tupta,widzew-lodz,Ľubomír TuptaWidzew Łódź,7
34,ukasz-wolsztynski,stal-mielec,Łukasz WolsztyńskiStal Mielec,7
34,mateusz-zukowski,slask-wroclaw,Mateusz ŻukowskiŚląsk Wrocław,7
44,adriano-luis-amorim-santos,rakow-czestochowa,AdrianoRaków Częstochowa,6
44,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,6
44,marc-gual-huguet,legia-warszawa,Marc Gual HuguetLegia Warszawa,6
44,serhij-krykun,piast-gliwice,Serhii Krykun WiktorowyczPiast Gliwice,6
44,sebastian-musiolik,slask-wroclaw,Sebastian Karol MusiolikŚląsk Wrocław,6
44,mateusz-radecki,puszcza-niepolomice,Mateusz RadeckiPuszcza Niepołomice,6
44,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,6
51,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,5
51,kacper-chodyna,legia-warszawa,Kacper ChodynaLegia Warszawa,5
51,daniel-noel-mikael-hakans,lech-poznan,Daniel Noel Mikael HåkansLech Poznań,5
51,jin-hyun-lee,puszcza-niepolomice,Lee Jin-HyunPuszcza Niepołomice,5
51,ivan-lopez-alvarez,rakow-czestochowa,Ivi LópezRaków Częstochowa,5
51,patryk-makuch,rakow-czestochowa,Patryk MakuchRaków Częstochowa,5
51,piotr-mrozinski,puszcza-niepolomice,Piotr MrozińskiPuszcza Niepołomice,5
51,kristoffer-hansen,jagiellonia-bialystok,Kristoffer Normann HansenJagiellonia Białystok,5
51,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,5
51,jean-pierre-junior-nsame,legia-warszawa,Jean-Pierre Junior NsameLegia Warszawa,5
51,filip-rozga,cracovia,Filip Jan RózgaCracovia,5
51,piotr-samiec-talar,slask-wroclaw,Piotr Samiec-TalarŚląsk Wrocław,5
51,mick-van-buren,cracovia,Mick van BurenCracovia,5
64,sinan-baks,gornik-zabrze,Sinan BakışGórnik Zabrze,4
64,mateusz-cholewiak,puszcza-niepolomice,Mateusz CholewiakPuszcza Niepołomice,4
64,robert-dadok,stal-mielec,Robert DadokStal Mielec,4
64,mohamed-lamine-diaby-fadiga,jagiellonia-bialystok,Mohamed Lamine Diaby-FadigaJagiellonia Białystok,4
64,fryderyk-gerbowski,stal-mielec,Fryderyk GerbowskiStal Mielec,4
64,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,4
64,ajdin-hasic,cracovia,Ajdin HasićCracovia,4
64,tomas-huk,piast-gliwice,Tomáš HukPiast Gliwice,4
64,jakub-jugas,cracovia,Jakub JugasCracovia,4
64,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,4
64,andreas-katsantonis,piast-gliwice,Andreas KatsantonisPiast Gliwice,4
64,antoni-klimek,puszcza-niepolomice,Antoni KlimekPuszcza Niepołomice,4
64,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,4
64,dawid-kurminowski,zagebie-lubin,Dawid KurminowskiKGHM Zagłębie Lubin,4
64,marten-kuusk,gks-katowice,Märten KuuskGKS Katowice,4
64,mateusz-matras,stal-mielec,Mateusz MatrasStal Mielec,4
64,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,4
64,davi-kristjan-olafsson,cracovia,Davíð Kristján ÓlafssonCracovia,4
64,pawe-mirosaw-olkowski,gornik-zabrze,Paweł Mirosław OlkowskiGórnik Zabrze,4
64,adam-radwanski,zagebie-lubin,Adam RadwańskiKGHM Zagłębie Lubin,4
64,petr-schwarz,slask-wroclaw,Petr SchwarzŚląsk Wrocław,4
64,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,4
64,ilya-shkurin,legia-warszawa,Ilya ShkurinLegia Warszawa,4
64,jakub-sypek,widzew-lodz,Jakub SypekWidzew Łódź,4
64,kajetan-szmyt,zagebie-lubin,Kajetan SzmytKGHM Zagłębie Lubin,4
64,miosz-trojak,korona-kielce,Miłosz TrojakKorona Kielce,4
64,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,4
91,dawid-abramowicz,puszcza-niepolomice,Dawid AbramowiczPuszcza Niepołomice,3
91,lukas-ambros,gornik-zabrze,Lukáš AmbrosGórnik Zabrze,3
91,aleksander-buksa,gornik-zabrze,Aleksander BuksaGórnik Zabrze,3
91,alan-czerwinski,gks-katowice,Alan CzerwińskiGKS Katowice,3
91,dawid-drachal,rakow-czestochowa,Dawid DrachalRaków Częstochowa,3
91,yosuke-furukawa,gornik-zabrze,Yosuke FurukawaGórnik Zabrze,3
91,thierry-gale,piast-gliwice,Thierry Mikael GalePiast Gliwice,3
91,said-hamulic,widzew-lodz,Saïd HamulićWidzew Łódź,3
91,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,3
91,lukas-rafael-klemenz,gks-katowice,Lukas Rafael KlemenzGKS Katowice,3
91,daniel-mikoajewski-1,zagebie-lubin,Daniel MikołajewskiKGHM Zagłębie Lubin,3
91,leonardo-miramar-rocha,radomiak-radom,Leonardo RochaRadomiak Radom,3
91,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,3
91,arnau-ortiz,slask-wroclaw,Arnau Ortiz SánchezŚląsk Wrocław,3
91,erick-ouma-otieno,rakow-czestochowa,Erick Ouma OtienoRaków Częstochowa,3
