pozycja,player_slug,klub_slug,nazwa,wartosc
1,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,21
2,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,13
3,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,12
4,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,9
4,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,9
4,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,9
4,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,9
4,jens-patrik-walemark,lech-poznan,Jens Patrik WålemarkLech Poznań,9
9,taofeek-ajibade-ismaheel,gornik-zabrze,Taofeek Ajibade IsmaheelGórnik Zabrze,8
9,afonso-gamelas-de-pinho-sousa,lech-poznan,Afonso SousaLech Poznań,8
9,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,8
12,adrian-bad,gks-katowice,Adrian BłądGKS Katowice,7
12,damian-kadzior,piast-gliwice,Damian KądziorPiast Gliwice,7
12,michal-sacek,jagiellonia-bialystok,Michal SáčekJagiellonia Białystok,7
12,miguel-villar-alonso,jagiellonia-bialystok,Miguel Villar AlonsoJagiellonia Białystok,7
12,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,7
12,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,7
18,dawid-abramowicz,puszcza-niepolomice,Dawid AbramowiczPuszcza Niepołomice,6
18,mateusz-kowalczyk,gks-katowice,Mateusz KowalczykGKS Katowice,6
18,jarosaw-kubicki,jagiellonia-bialystok,Jarosław KubickiJagiellonia Białystok,6
18,jose-angel-pozo-la-rosa,slask-wroclaw,José Ángel Pozo la RosaŚląsk Wrocław,6
18,jakub-serafin,puszcza-niepolomice,Jakub SerafinPuszcza Niepołomice,6
18,bohdan-viunnyk,lechia-gdansk,Bohdan ViunnykLechia Gdańsk,6
18,luka-zahovic,gornik-zabrze,Luka ZahovićGórnik Zabrze,6
25,vahan-bichakhchyan,legia-warszawa,Vahan BichakhchyanLegia Warszawa,5
25,yosuke-furukawa,gornik-zabrze,Yosuke FurukawaGórnik Zabrze,5
25,daniel-noel-mikael-hakans,lech-poznan,Daniel Noel Mikael HåkansLech Poznań,5
25,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,5
25,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,5
25,serhij-krykun,piast-gliwice,Serhii Krykun WiktorowyczPiast Gliwice,5
25,ukasz-jozef-podolski,gornik-zabrze,Łukasz Józef PodolskiGórnik Zabrze,5
32,lukas-ambros,gornik-zabrze,Lukáš AmbrosGórnik Zabrze,4
32,michael-ameyaw,piast-gliwice,Michael AmeyawPiast Gliwice,4
32,sebastian-bergier,gks-katowice,Sebastian BergierGKS Katowice,4
32,joao-gervasio-braganca-moutinho,jagiellonia-bialystok,João MoutinhoJagiellonia Białystok,4
32,darko-churlinov,jagiellonia-bialystok,Darko ChurlinovJagiellonia Białystok,4
32,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,4
32,tihomir-kostadinov,piast-gliwice,Tihomir KostadinovPiast Gliwice,4
32,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,4
32,antonio-milic,lech-poznan,Antonio MilićLech Poznań,4
32,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,4
32,kristoffer-hansen,jagiellonia-bialystok,Kristoffer Normann HansenJagiellonia Białystok,4
32,dominik-pia,lechia-gdansk,Dominik PiłaLechia Gdańsk,4
45,rasmus-carstensen,lech-poznan,Rasmus Bjerregaard CarstensenLech Poznań,3
45,alan-czerwinski,gks-katowice,Alan CzerwińskiGKS Katowice,3
45,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,3
45,maksym-khlan,lechia-gdansk,Maksym KhlanLechia Gdańsk,3
45,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,3
45,rafa-maciej-kurzawa,pogon-szczecin,Rafał Maciej KurzawaPogoń Szczecin,3
45,jin-hyun-lee,puszcza-niepolomice,Lee Jin-HyunPuszcza Niepołomice,3
45,kamil-lukoszek,gornik-zabrze,Kamil LukoszekGórnik Zabrze,3
45,piotr-mrozinski,puszcza-niepolomice,Piotr MrozińskiPuszcza Niepołomice,3
45,oskar-pietuszewski,jagiellonia-bialystok,Oskar PietuszewskiJagiellonia Białystok,3
45,bujar-pllana,lechia-gdansk,Bujar PllanaLechia Gdańsk,3
45,damian-rasak,gornik-zabrze,Damian RasakGórnik Zabrze,3
45,taras-romanczuk,jagiellonia-bialystok,Taras RomanczukJagiellonia Białystok,3
45,maciej-rosoek,legia-warszawa,Maciej RosołekLegia Warszawa,3
45,konrad-stepien,puszcza-niepolomice,Konrad StępieńPuszcza Niepołomice,3
45,mateusz-stepien,stal-mielec,Mateusz StępieńStal Mielec,3
45,miosz-szczepanski,piast-gliwice,Miłosz SzczepańskiPiast Gliwice,3
45,anton-tsarenko,lechia-gdansk,Anton TsarenkoLechia Gdańsk,3
45,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,3
45,adam-zrelak,gks-katowice,Adam ZreľákGKS Katowice,3
65,jani-atanasov,puszcza-niepolomice,Jani AtanasovPuszcza Niepołomice,2
65,german-barkovskiy,puszcza-niepolomice,German BarkovskiyPuszcza Niepołomice,2
65,leonardo-borges-da-silva,pogon-szczecin,Léo BorgesPogoń Szczecin,2
65,artur-craciun,puszcza-niepolomice,Artur CrăciunPuszcza Niepołomice,2
65,joao-pedro-da-costa-gamboa,pogon-szczecin,João GamboaPogoń Szczecin,2
65,mohamed-lamine-diaby-fadiga,jagiellonia-bialystok,Mohamed Lamine Diaby-FadigaJagiellonia Białystok,2
65,patryk-dziczek,piast-gliwice,Patryk DziczekPiast Gliwice,2
65,leon-maximilian-flach,jagiellonia-bialystok,Leon Maximilian FlachJagiellonia Białystok,2
65,erik-jirka,piast-gliwice,Erik JirkaPiast Gliwice,2
65,danijel-loncar,pogon-szczecin,Danijel LončarPogoń Szczecin,2
65,kacper-ukasiak,pogon-szczecin,Kacper ŁukasiakPogoń Szczecin,2
65,dominik-marczuk,jagiellonia-bialystok,Dominik MarczukJagiellonia Białystok,2
65,radosaw-pawe-murawski,lech-poznan,Radosław Paweł MurawskiLech Poznań,2
65,filipe-nascimento,gornik-zabrze,Filipe NascimentoGórnik Zabrze,2
65,fabian-piasecki,piast-gliwice,Fabian PiaseckiPiast Gliwice,2
65,adrian-przyborek,pogon-szczecin,Adrian PrzyborekPogoń Szczecin,2
65,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,2
65,dominik-sarapata,gornik-zabrze,Dominik SarapataGórnik Zabrze,2
65,ukasz-soowiej,puszcza-niepolomice,Łukasz SołowiejPuszcza Niepołomice,2
65,grzegorz-tomasiewicz,piast-gliwice,Grzegorz TomasiewiczPiast Gliwice,2
65,norbert-wojtuszek,jagiellonia-bialystok,Norbert WojtuszekJagiellonia Białystok,2
65,akim-zedadka,piast-gliwice,Akim ZedadkaPiast Gliwice,2
87,adriel-ba-loua,lech-poznan,Adriel D'Avila Ba LouaLech Poznań,1
87,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,1
87,mateusz-cholewiak,puszcza-niepolomice,Mateusz CholewiakPuszcza Niepołomice,1
87,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,1
87,jakub-czerwinski,piast-gliwice,Jakub CzerwińskiPiast Gliwice,1
87,rui-filipe-da-cunha-correia,jagiellonia-bialystok,NenéJagiellonia Białystok,1
87,adrian-dieguez-grande,jagiellonia-bialystok,Adrián Diéguez GrandeJagiellonia Białystok,1
87,dawid-drachal,rakow-czestochowa,Dawid DrachalRaków Częstochowa,1
87,thierry-gale,piast-gliwice,Thierry Mikael GalePiast Gliwice,1
87,filip-wojciech-jagieo,lech-poznan,Filip Wojciech JagiełłoLech Poznań,1
87,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,1
87,jesper-karlstrom,lech-poznan,Jesper Kewe KarlströmLech Poznań,1
87,andreas-katsantonis,piast-gliwice,Andreas KatsantonisPiast Gliwice,1
87,antoni-klimek,puszcza-niepolomice,Antoni KlimekPuszcza Niepołomice,1
87,matus-kmet,gornik-zabrze,Matúš KmeťGórnik Zabrze,1
87,aleksander-komor,gks-katowice,Aleksander KomorGKS Katowice,1
87,michalis-kosidis,puszcza-niepolomice,Michalis KosidisPuszcza Niepołomice,1
87,marten-kuusk,gks-katowice,Märten KuuskGKS Katowice,1
87,oskar-lesniak,piast-gliwice,Oskar LeśniakPiast Gliwice,1
87,jakub-lis,pogon-szczecin,Jakub LisPogoń Szczecin,1
87,sondre-liseth,gornik-zabrze,Sondre LisethGórnik Zabrze,1
87,kornel-lisman,lech-poznan,Kornel LismanLech Poznań,1
87,mateusz-marzec,gks-katowice,Mateusz MarzecGKS Katowice,1
87,sebastian-milewski,gks-katowice,Sebastian MilewskiGKS Katowice,1
87,wojciech-monka,lech-poznan,Wojciech MońkaLech Poznań,1
87,tomasz-neugebauer,lechia-gdansk,Tomasz NeugebauerLechia Gdańsk,1
87,aurelien-thomas-nguiamba,jagiellonia-bialystok,Aurélien Thomas NguiambaJagiellonia Białystok,1
87,pawe-mirosaw-olkowski,gornik-zabrze,Paweł Mirosław OlkowskiGórnik Zabrze,1
87,patryk-paryzek,pogon-szczecin,Patryk ParyzekPogoń Szczecin,1
87,cezary-polak,jagiellonia-bialystok,Cezary PolakJagiellonia Białystok,1
87,oskar-repka,gks-katowice,Oskar RepkaGKS Katowice,1
87,bartosz-salamon,lech-poznan,Bartosz SalamonLech Poznań,1
87,manuel-sanchez,gornik-zabrze,Manuel Sánchez GarcíaGórnik Zabrze,1
87,jose-manuel-sanchez-guillen,gornik-zabrze,JosemaGórnik Zabrze,1
87,kacper-sezonienko,lechia-gdansk,Kacper SezonienkoLechia Gdańsk,1
87,kacper-smolinski,pogon-szczecin,Kacper SmolińskiPogoń Szczecin,1
87,micha-szromnik,gornik-zabrze,Michał SzromnikGórnik Zabrze,1
87,dawid-szymonowicz,puszcza-niepolomice,Dawid SzymonowiczPuszcza Niepołomice,1
87,tomasz-wojtowicz,lechia-gdansk,Tomasz WójtowiczLechia Gdańsk,1
87,ivan-zhelizko,lechia-gdansk,Ivan ZhelizkoLechia Gdańsk,1
87,georgy-zhukov,puszcza-niepolomice,Georgy ZhukovPuszcza Niepołomice,1
