pozycja,player_slug,klub_slug,nazwa,wartosc
1,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,10.8
2,ruben-goncalo-da-silva-nascimento-vinagre,legia-warszawa,Rúben VinagreLegia Warszawa,8.9
3,bartosz-wolski,motor-lublin,Bartosz WolskiMotor Lublin,7.8
4,pawe-marek-wszoek,legia-warszawa,Paweł Marek WszołekLegia Warszawa,6.6
5,bartosz-nowak,rakow-czestochowa,Bartosz NowakRaków Częstochowa,6.6
6,roberto-emanuel-oliveira-alves,radomiak-radom,Roberto Emanuel Oliveira AlvesRadomiak Radom,6.5
7,petr-schwarz,slask-wroclaw,Petr SchwarzŚląsk Wrocław,6.2
8,damian-dabrowski,zagebie-lubin,Damian DąbrowskiKGHM Zagłębie Lubin,5.9
9,erik-janza,gornik-zabrze,Erik JanžaGórnik Zabrze,5.9
10,ajdin-hasic,cracovia,Ajdin HasićCracovia,5.9
11,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,5.9
12,mikkel-maigaard-jakobsen,cracovia,Mikkel Maigaard JakobsenCracovia,5.6
13,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,5.3
14,vladyslav-kochergin,rakow-czestochowa,Vladyslav KocherginRaków Częstochowa,5.2
15,joel-vieira-pereira,lech-poznan,Joel PereiraLech Poznań,5.2
16,rifet-kapic,lechia-gdansk,Rifet KapičLechia Gdańsk,5.2
17,sebastian-kerk,widzew-lodz,Sebastian KerkWidzew Łódź,5.0
18,mateusz-zukowski,slask-wroclaw,Mateusz ŻukowskiŚląsk Wrocław,4.9
19,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,4.8
20,afonso-gamelas-de-pinho-sousa,lech-poznan,Afonso SousaLech Poznań,4.8
21,joao-gervasio-braganca-moutinho,jagiellonia-bialystok,João MoutinhoJagiellonia Białystok,4.8
22,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,4.7
23,marc-gual-huguet,legia-warszawa,Marc Gual HuguetLegia Warszawa,4.7
24,jean-carlos-silva-rocha,rakow-czestochowa,Jean Carlos Silva RochaRaków Częstochowa,4.5
25,krystian-getinger,stal-mielec,Krystian GetingerStal Mielec,4.5
26,leonardo-pablo-koutris,pogon-szczecin,Leonárdo Páblo KoútrisPogoń Szczecin,4.4
27,antoni-kozubal,lech-poznan,Antoni KozubalLech Poznań,4.4
28,taofeek-ajibade-ismaheel,gornik-zabrze,Taofeek Ajibade IsmaheelGórnik Zabrze,4.3
29,borja-galan-gonzalez,gks-katowice,Borja Galán GonzálezGKS Katowice,4.2
30,dawid-abramowicz,puszcza-niepolomice,Dawid AbramowiczPuszcza Niepołomice,4.2
31,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,4.1
32,marcin-wasielewski,gks-katowice,Marcin WasielewskiGKS Katowice,4.1
33,jarosaw-kubicki,jagiellonia-bialystok,Jarosław KubickiJagiellonia Białystok,4.1
34,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,4.1
35,kacper-chodyna,legia-warszawa,Kacper ChodynaLegia Warszawa,4.0
36,piotr-samiec-talar,slask-wroclaw,Piotr Samiec-TalarŚląsk Wrocław,3.9
37,yosuke-furukawa,gornik-zabrze,Yosuke FurukawaGórnik Zabrze,3.9
38,rolf-linus-wahlqvist-egnell,pogon-szczecin,Rolf Linus Wahlqvist EgnellPogoń Szczecin,3.8
39,jakub-serafin,puszcza-niepolomice,Jakub SerafinPuszcza Niepołomice,3.8
40,rafa-wolski,radomiak-radom,Rafał WolskiRadomiak Radom,3.8
41,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,3.8
42,dawid-banik,korona-kielce,Dawid BłanikKorona Kielce,3.8
43,miosz-szczepanski,piast-gliwice,Miłosz SzczepańskiPiast Gliwice,3.7
44,adrian-bad,gks-katowice,Adrian BłądGKS Katowice,3.7
45,mariusz-fornalczyk,korona-kielce,Mariusz FornalczykKorona Kielce,3.7
46,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,3.6
47,ryoya-morishita,legia-warszawa,Ryoya MorishitaLegia Warszawa,3.6
48,alan-czerwinski,gks-katowice,Alan CzerwińskiGKS Katowice,3.5
49,maciej-domanski,stal-mielec,Maciej DomańskiStal Mielec,3.5
51,miguel-villar-alonso,jagiellonia-bialystok,Miguel Villar AlonsoJagiellonia Białystok,3.5
52,piotr-ceglarz,motor-lublin,Piotr CeglarzMotor Lublin,3.4
53,otar-kakabadze,cracovia,Otar KakabadzeCracovia,3.4
54,fran-tudor,rakow-czestochowa,Fran TudorRaków Częstochowa,3.4
55,robert-dadok,stal-mielec,Robert DadokStal Mielec,3.3
56,samuel-kozlovsky,widzew-lodz,Samuel KozlovskýWidzew Łódź,3.3
57,dominik-pia,lechia-gdansk,Dominik PiłaLechia Gdańsk,3.2
58,arnau-ortiz,slask-wroclaw,Arnau Ortiz SánchezŚląsk Wrocław,3.2
59,maksym-khlan,lechia-gdansk,Maksym KhlanLechia Gdańsk,3.2
60,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,3.1
61,adrian-przyborek,pogon-szczecin,Adrian PrzyborekPogoń Szczecin,3.1
62,mateusz-wdowiak,zagebie-lubin,Mateusz WdowiakKGHM Zagłębie Lubin,3.0
63,darko-churlinov,jagiellonia-bialystok,Darko ChurlinovJagiellonia Białystok,3.0
64,kristoffer-hansen,jagiellonia-bialystok,Kristoffer Normann HansenJagiellonia Białystok,2.9
65,joao-peglow,radomiak-radom,PeglowRadomiak Radom,2.8
66,jens-patrik-walemark,lech-poznan,Jens Patrik WålemarkLech Poznań,2.8
67,jose-angel-pozo-la-rosa,slask-wroclaw,José Ángel Pozo la RosaŚląsk Wrocław,2.8
68,erick-ouma-otieno,rakow-czestochowa,Erick Ouma OtienoRaków Częstochowa,2.8
