pozycja,player_slug,klub_slug,nazwa,wartosc
1,efthymios-koulouris,pogon-szczecin,Efthymios KoulourisPogoń Szczecin,27.1
2,mikael-ishak,lech-poznan,Mikael IshakLech Poznań,20.2
3,samuel-mraz,motor-lublin,Samuel MrázMotor Lublin,17.6
4,jesus-imaz-balleste,jagiellonia-bialystok,Jesús Imaz BallestéJagiellonia Białystok,15.4
5,benjamin-kallman,cracovia,Paul Benjamin Sven-Eber KällmanCracovia,12.9
6,afonso-gamelas-de-pinho-sousa,lech-poznan,Afonso SousaLech Poznań,11.1
7,jonatan-braut-brunes,rakow-czestochowa,Jonatan Braut BrunesRaków Częstochowa,10.8
8,tomasz-pienko,zagebie-lubin,Tomasz PieńkoKGHM Zagłębie Lubin,9.3
9,luka-zahovic,gornik-zabrze,Luka ZahovićGórnik Zabrze,9.2
10,afimico-pululu,jagiellonia-bialystok,Afimico PululuJagiellonia Białystok,8.9
11,piotr-ceglarz,motor-lublin,Piotr CeglarzMotor Lublin,8.9
12,sebastian-bergier,gks-katowice,Sebastian BergierGKS Katowice,8.8
13,imad-rondic,widzew-lodz,Imad RondićWidzew Łódź,8.5
14,marc-gual-huguet,legia-warszawa,Marc Gual HuguetLegia Warszawa,8.5
15,leonardo-miramar-rocha,radomiak-radom,Leonardo RochaRadomiak Radom,8.4
16,piotr-wlazo,stal-mielec,Piotr WlazłoStal Mielec,8.4
17,adrian-dalmau-vaquer,korona-kielce,Adrián Dalmau VaquerKorona Kielce,8.1
18,bohdan-viunnyk,lechia-gdansk,Bohdan ViunnykLechia Gdańsk,8.1
19,tomas-bobcek,lechia-gdansk,Tomáš BobčekLechia Gdańsk,7.6
20,ukasz-wolsztynski,stal-mielec,Łukasz WolsztyńskiStal Mielec,7.1
21,ivan-lopez-alvarez,rakow-czestochowa,Ivi LópezRaków Częstochowa,7.0
22,ali-gholizadeh-nojedeh,lech-poznan,Ali Gholizadeh NojedehLech Poznań,7.0
23,kamil-pawe-grosicki,pogon-szczecin,Kamil Paweł GrosickiPogoń Szczecin,6.9
24,mateusz-wdowiak,zagebie-lubin,Mateusz WdowiakKGHM Zagłębie Lubin,6.5
25,mbaye-jacques-ndiaye,motor-lublin,Mbaye Jacques N'DiayeMotor Lublin,6.1
26,bartosz-kapustka,legia-warszawa,Bartosz KapustkaLegia Warszawa,5.9
27,maksym-khlan,lechia-gdansk,Maksym KhlanLechia Gdańsk,5.9
28,michalis-kosidis,puszcza-niepolomice,Michalis KosidisPuszcza Niepołomice,5.9
29,ryoya-morishita,legia-warszawa,Ryoya MorishitaLegia Warszawa,5.8
30,camilo-andres-mena-marquez,lechia-gdansk,Camilo Andrés Mena MárquezLechia Gdańsk,5.8
31,ajdin-hasic,cracovia,Ajdin HasićCracovia,5.6
32,fredrik-stense-ulvestad,pogon-szczecin,Fredrik Stensøe UlvestadPogoń Szczecin,5.6
33,osvaldo-pedro-capemba,radomiak-radom,CapitaRadomiak Radom,5.5
34,adam-zrelak,gks-katowice,Adam ZreľákGKS Katowice,5.5
35,taofeek-ajibade-ismaheel,gornik-zabrze,Taofeek Ajibade IsmaheelGórnik Zabrze,5.5
36,ukasz-jozef-podolski,gornik-zabrze,Łukasz Józef PodolskiGórnik Zabrze,5.5
38,jens-patrik-walemark,lech-poznan,Jens Patrik WålemarkLech Poznań,5.4
39,maciej-rosoek,legia-warszawa,Maciej RosołekLegia Warszawa,5.3
40,kristoffer-hansen,jagiellonia-bialystok,Kristoffer Normann HansenJagiellonia Białystok,5.2
41,oskar-repka,gks-katowice,Oskar RepkaGKS Katowice,5.2
42,robert-dadok,stal-mielec,Robert DadokStal Mielec,5.2
43,blaz-kramer,legia-warszawa,Blaž KramerLegia Warszawa,5.2
44,pedro-nuno-fernandes-ferreira,korona-kielce,Pedro NunoKorona Kielce,5.1
45,darko-churlinov,jagiellonia-bialystok,Darko ChurlinovJagiellonia Białystok,5.0
46,arkadiusz-jedrych,gks-katowice,Arkadiusz JędrychGKS Katowice,5.0
47,juljan-shehu,widzew-lodz,Juljan ShehuWidzew Łódź,4.9
48,micha-ukasz-chrapek,piast-gliwice,Michał Łukasz ChrapekPiast Gliwice,4.9
49,jan-grzesik,radomiak-radom,Jan GrzesikRadomiak Radom,4.8
50,lucas-lima-linhares,legia-warszawa,LuquinhasLegia Warszawa,4.7
51,francisco-javier-alvarez-rodriguez,widzew-lodz,Francisco Javier Álvarez RodríguezWidzew Łódź,4.6
52,dawid-kurminowski,zagebie-lubin,Dawid KurminowskiKGHM Zagłębie Lubin,4.6
53,aleksander-buksa,gornik-zabrze,Aleksander BuksaGórnik Zabrze,4.5
54,pau-resta-tell,korona-kielce,Pau Resta TellKorona Kielce,4.4
55,matthew-guillaumier,stal-mielec,Matthew GuillaumierStal Mielec,4.4
56,mariusz-fornalczyk,korona-kielce,Mariusz FornalczykKorona Kielce,4.2
57,jakub-sypek,widzew-lodz,Jakub SypekWidzew Łódź,4.2
58,jorge-felix-munoz-garcia,piast-gliwice,Jorge Félix Muñoz GarcíaPiast Gliwice,4.1
