pozycja,player_slug,klub_slug,nazwa,wartosc
1,xavier-dziekonski,korona-kielce,Xavier DziekońskiKorona Kielce,3060
1,filip-majchrowicz,radomiak-radom,Filip MajchrowiczRadomiak Radom,3060
3,rafa-leszczynski,wisla-plock,Rafał LeszczyńskiWisła Płock,2970
3,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,2970
5,marcel-ubik,gornik-zabrze,Marcel ŁubikGórnik Zabrze,2937
6,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,2775
7,sawomir-abramowicz,jagiellonia-bialystok,Sławomir AbramowiczJagiellonia Białystok,2700
7,sebastian-madejski,cracovia,Sebastian MadejskiCracovia,2700
9,damian-weglarz,arka-gdynia,Damian WęglarzArka Gdynia,2430
10,ivan-brkic,motor-lublin,Ivan BrkićMotor Lublin,2363
11,alexander-noah-paulsen,lechia-gdansk,Alexander Noah PaulsenLechia Gdańsk,2160
11,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,2160
13,jasmin-buric,zagebie-lubin,Jasmin BurićKGHM Zagłębie Lubin,2083
14,adrian-chovan,nieciecza,Adrián ChovanNieciecza,1980
14,rafa-straczek,gks-katowice,Rafał StrączekGKS Katowice,1980
16,kacper-tobiasz,legia-warszawa,Kacper TobiaszLegia Warszawa,1895
17,oliwier-zych,rakow-czestochowa,Oliwier ZychRaków Częstochowa,1643
18,kacper-trelowski,rakow-czestochowa,Kacper TrelowskiRaków Częstochowa,1417
19,bartomiej-dragowski,widzew-lodz,Bartłomiej DrągowskiWidzew Łódź,1350
20,otto-hindrich,legia-warszawa,Ottó HindrichLegia Warszawa,1165
21,dawid-kuda,gks-katowice,Dawid KudłaGKS Katowice,1080
21,miosz-stefan-mleczko,nieciecza,Miłosz Stefan MleczkoNieciecza,1080
23,dominik-hadun,zagebie-lubin,Dominik HładunKGHM Zagłębie Lubin,977
24,maciej-kikolski,widzew-lodz,Maciej KikolskiWidzew Łódź,810
24,szymon-weirauch,lechia-gdansk,Szymon WeirauchLechia Gdańsk,810
26,veljko-ilic,widzew-lodz,Veljko IlićWidzew Łódź,720
27,gasper-tratnik,motor-lublin,Gašper TratnikMotor Lublin,697
28,jedrzej-grobelny,arka-gdynia,Jędrzej GrobelnyArka Gdynia,630
29,dominik-holec,piast-gliwice,Dominik HolecPiast Gliwice,540
30,henrich-ravas,cracovia,Henrich RavasCracovia,360
30,karol-szymanski,piast-gliwice,Karol SzymańskiPiast Gliwice,360
32,krzysztof-kaminski,pogon-szczecin,Krzysztof KamińskiPogoń Szczecin,285
33,rafa-tadeusz-gikiewicz,zagebie-lubin,Rafał Tadeusz GikiewiczKGHM Zagłębie Lubin,180
34,tomasz-loska,gornik-zabrze,Tomasz LoskaGórnik Zabrze,123
35,jakub-burek,wisla-plock,Jakub BurekWisła Płock,90
35,miosz-piekutowski,jagiellonia-bialystok,Miłosz PiekutowskiJagiellonia Białystok,90
35,plamen-plamenov-andreev,lech-poznan,Plamen Plamenov AndreevLech Poznań,90
35,bohdan-sarnavskyi,lechia-gdansk,Bohdan SarnavskyiLechia Gdańsk,90
