pozycja,player_slug,klub_slug,nazwa,wartosc
1,rafa-leszczynski,wisla-plock,Rafał LeszczyńskiWisła Płock,792
2,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,747
3,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,740
4,xavier-dziekonski,korona-kielce,Xavier DziekońskiKorona Kielce,666
5,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,639
6,sawomir-abramowicz,jagiellonia-bialystok,Sławomir AbramowiczJagiellonia Białystok,615
7,ivan-brkic,motor-lublin,Ivan BrkićMotor Lublin,579
8,marcel-ubik,gornik-zabrze,Marcel ŁubikGórnik Zabrze,559
9,filip-majchrowicz,radomiak-radom,Filip MajchrowiczRadomiak Radom,550
10,damian-weglarz,arka-gdynia,Damian WęglarzArka Gdynia,482
11,sebastian-madejski,cracovia,Sebastian MadejskiCracovia,470
12,kacper-tobiasz,legia-warszawa,Kacper TobiaszLegia Warszawa,395
13,jasmin-buric,zagebie-lubin,Jasmin BurićKGHM Zagłębie Lubin,370
14,adrian-chovan,nieciecza,Adrián ChovanNieciecza,354
15,alexander-noah-paulsen,lechia-gdansk,Alexander Noah PaulsenLechia Gdańsk,336
16,rafa-straczek,gks-katowice,Rafał StrączekGKS Katowice,314
17,oliwier-zych,rakow-czestochowa,Oliwier ZychRaków Częstochowa,313
18,kacper-trelowski,rakow-czestochowa,Kacper TrelowskiRaków Częstochowa,310
19,bartomiej-dragowski,widzew-lodz,Bartłomiej DrągowskiWidzew Łódź,215
20,dawid-kuda,gks-katowice,Dawid KudłaGKS Katowice,210
21,otto-hindrich,legia-warszawa,Ottó HindrichLegia Warszawa,207
22,gasper-tratnik,motor-lublin,Gašper TratnikMotor Lublin,200
23,miosz-stefan-mleczko,nieciecza,Miłosz Stefan MleczkoNieciecza,190
24,dominik-hadun,zagebie-lubin,Dominik HładunKGHM Zagłębie Lubin,182
24,maciej-kikolski,widzew-lodz,Maciej KikolskiWidzew Łódź,182
26,dominik-holec,piast-gliwice,Dominik HolecPiast Gliwice,173
27,veljko-ilic,widzew-lodz,Veljko IlićWidzew Łódź,139
28,jedrzej-grobelny,arka-gdynia,Jędrzej GrobelnyArka Gdynia,119
29,krzysztof-kaminski,pogon-szczecin,Krzysztof KamińskiPogoń Szczecin,85
30,szymon-weirauch,lechia-gdansk,Szymon WeirauchLechia Gdańsk,75
31,rafa-tadeusz-gikiewicz,zagebie-lubin,Rafał Tadeusz GikiewiczKGHM Zagłębie Lubin,62
31,karol-szymanski,piast-gliwice,Karol SzymańskiPiast Gliwice,62
33,henrich-ravas,cracovia,Henrich RavasCracovia,53
34,miosz-piekutowski,jagiellonia-bialystok,Miłosz PiekutowskiJagiellonia Białystok,30
35,bohdan-sarnavskyi,lechia-gdansk,Bohdan SarnavskyiLechia Gdańsk,23
36,tomasz-loska,gornik-zabrze,Tomasz LoskaGórnik Zabrze,20
37,plamen-plamenov-andreev,lech-poznan,Plamen Plamenov AndreevLech Poznań,13
38,jakub-burek,wisla-plock,Jakub BurekWisła Płock,12
