pozycja,player_slug,klub_slug,nazwa,wartosc
1,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,2
1,damian-weglarz,arka-gdynia,Damian WęglarzArka Gdynia,2
3,sawomir-abramowicz,jagiellonia-bialystok,Sławomir AbramowiczJagiellonia Białystok,1
3,ivan-brkic,motor-lublin,Ivan BrkićMotor Lublin,1
3,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,1
3,xavier-dziekonski,korona-kielce,Xavier DziekońskiKorona Kielce,1
3,rafa-leszczynski,wisla-plock,Rafał LeszczyńskiWisła Płock,1
3,marcel-ubik,gornik-zabrze,Marcel ŁubikGórnik Zabrze,1
3,sebastian-madejski,cracovia,Sebastian MadejskiCracovia,1
3,filip-majchrowicz,radomiak-radom,Filip MajchrowiczRadomiak Radom,1
3,kacper-trelowski,rakow-czestochowa,Kacper TrelowskiRaków Częstochowa,1
3,szymon-weirauch,lechia-gdansk,Szymon WeirauchLechia Gdańsk,1
