pozycja,player_slug,klub_slug,nazwa,wartosc
1,valentin-alexandru-cojocaru,pogon-szczecin,Valentin Alexandru CojocaruPogoń Szczecin,132
2,xavier-dziekonski,korona-kielce,Xavier DziekońskiKorona Kielce,117
3,rafa-leszczynski,wisla-plock,Rafał LeszczyńskiWisła Płock,112
4,filip-majchrowicz,radomiak-radom,Filip MajchrowiczRadomiak Radom,97
5,sawomir-abramowicz,jagiellonia-bialystok,Sławomir AbramowiczJagiellonia Białystok,94
6,ivan-brkic,motor-lublin,Ivan BrkićMotor Lublin,92
7,bartosz-mrozek,lech-poznan,Bartosz MrozekLech Poznań,89
8,sebastian-madejski,cracovia,Sebastian MadejskiCracovia,78
9,frantisek-plach,piast-gliwice,František PlachPiast Gliwice,77
10,adrian-chovan,nieciecza,Adrián ChovanNieciecza,76
11,jasmin-buric,zagebie-lubin,Jasmin BurićKGHM Zagłębie Lubin,75
12,damian-weglarz,arka-gdynia,Damian WęglarzArka Gdynia,72
13,alexander-noah-paulsen,lechia-gdansk,Alexander Noah PaulsenLechia Gdańsk,64
14,marcel-ubik,gornik-zabrze,Marcel ŁubikGórnik Zabrze,62
15,rafa-straczek,gks-katowice,Rafał StrączekGKS Katowice,59
16,oliwier-zych,rakow-czestochowa,Oliwier ZychRaków Częstochowa,54
17,miosz-stefan-mleczko,nieciecza,Miłosz Stefan MleczkoNieciecza,47
18,kacper-tobiasz,legia-warszawa,Kacper TobiaszLegia Warszawa,43
19,kacper-trelowski,rakow-czestochowa,Kacper TrelowskiRaków Częstochowa,38
20,otto-hindrich,legia-warszawa,Ottó HindrichLegia Warszawa,33
20,dominik-hadun,zagebie-lubin,Dominik HładunKGHM Zagłębie Lubin,33
22,dawid-kuda,gks-katowice,Dawid KudłaGKS Katowice,32
23,gasper-tratnik,motor-lublin,Gašper TratnikMotor Lublin,28
24,jedrzej-grobelny,arka-gdynia,Jędrzej GrobelnyArka Gdynia,25
25,bartomiej-dragowski,widzew-lodz,Bartłomiej DrągowskiWidzew Łódź,24
25,veljko-ilic,widzew-lodz,Veljko IlićWidzew Łódź,24
27,maciej-kikolski,widzew-lodz,Maciej KikolskiWidzew Łódź,22
27,szymon-weirauch,lechia-gdansk,Szymon WeirauchLechia Gdańsk,22
29,dominik-holec,piast-gliwice,Dominik HolecPiast Gliwice,19
30,krzysztof-kaminski,pogon-szczecin,Krzysztof KamińskiPogoń Szczecin,12
31,henrich-ravas,cracovia,Henrich RavasCracovia,9
32,karol-szymanski,piast-gliwice,Karol SzymańskiPiast Gliwice,8
33,rafa-tadeusz-gikiewicz,zagebie-lubin,Rafał Tadeusz GikiewiczKGHM Zagłębie Lubin,4
33,bohdan-sarnavskyi,lechia-gdansk,Bohdan SarnavskyiLechia Gdańsk,4
35,jakub-burek,wisla-plock,Jakub BurekWisła Płock,2
36,tomasz-loska,gornik-zabrze,Tomasz LoskaGórnik Zabrze,1
36,miosz-piekutowski,jagiellonia-bialystok,Miłosz PiekutowskiJagiellonia Białystok,1
36,plamen-plamenov-andreev,lech-poznan,Plamen Plamenov AndreevLech Poznań,1
